category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Jewelers and Precious Stone and Metal Workers,23.01,2.31,23.01,8.19,284.00,0,320.00,0,226.00,0,370.00,0,0,None (0/4)
"Judges, Magistrates, and Other Judicial Workers",32.61,18.06,18.73,10.74,205.00,0,163.00,0,279.00,0,340.00,0,0,None (0/4)
Laborers and Material Movers,10.45,3.64,10.45,16.74,399.00,0,299.00,0,388.00,0,275.00,0,0,None (0/4)
Laundry and Dry-Cleaning Workers,13.23,0.00,13.23,8.39,373.00,0,346.00,0,348.00,0,366.00,0,0,None (0/4)
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",62.80,60.58,33.45,26.86,26.00,0,11.00,1,109.00,0,184.00,0,1,Single-source (1/4)
Lawyers and Judicial Law Clerks,49.83,28.23,24.13,26.60,81.00,0,111.00,0,216.00,0,187.00,0,0,None (0/4)
Legislators,45.88,5.73,37.59,13.11,105.00,0,273.00,0,78.00,0,309.00,0,0,None (0/4)
Librarians and Media Collections Specialists,40.40,22.66,40.40,42.35,144.00,0,137.00,0,48.00,0,85.00,0,0,None (0/4)
"Library Assistants, Clerical",39.06,9.84,25.78,40.52,153.00,0,222.00,0,199.00,0,92.00,0,0,None (0/4)
Library Technicians,51.99,26.06,40.08,43.32,71.00,0,119.00,0,56.00,0,80.00,0,0,None (0/4)
Licensed Practical and Licensed Vocational Nurses,20.16,13.50,14.11,19.58,312.00,0,195.00,0,336.00,0,249.00,0,0,None (0/4)
"Life Sciences Teachers, Postsecondary",64.53,51.35,31.72,28.03,18.00,1,36.00,0,137.00,0,171.00,0,1,Single-source (1/4)
Line Installers and Repairers,27.63,3.60,26.84,12.27,245.00,0,301.00,0,184.00,0,317.00,0,0,None (0/4)
Loan Interviewers and Clerks,46.37,36.86,33.99,52.36,104.00,0,77.00,0,102.00,0,49.00,0,0,None (0/4)
Locomotive Engineers and Operators,18.43,0.00,16.34,8.21,326.00,0,346.00,0,314.00,0,369.00,0,0,None (0/4)
Lodging Managers,46.64,22.19,33.51,44.13,101.00,0,138.00,0,107.00,0,76.00,0,0,None (0/4)
Logging Workers,11.74,0.00,11.74,7.20,385.00,0,346.00,0,372.00,0,378.00,0,0,None (0/4)
Logisticians and Project Management Specialists,41.09,32.90,20.07,47.26,141.00,0,95.00,0,263.00,0,67.00,0,0,None (0/4)
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",20.50,1.47,19.54,9.55,306.00,0,338.00,0,271.00,0,354.00,0,0,None (0/4)
Machinists,30.94,7.16,26.61,16.50,216.00,0,252.00,0,188.00,0,277.00,0,0,None (0/4)
"Mail Clerks and Mail Machine Operators, Except Postal Service",17.72,8.68,17.72,29.35,335.00,0,235.00,0,295.00,0,163.00,0,0,None (0/4)
"Maintenance and Repair Workers, General",20.80,0.00,20.44,5.63,302.00,0,346.00,0,259.00,0,387.00,0,0,None (0/4)
Management Analysts,68.72,25.41,50.37,35.26,10.00,1,123.00,0,3.00,1,124.00,0,2,Low (2/4)
Marine Engineers and Naval Architects,29.69,5.12,29.69,22.52,224.00,0,281.00,0,159.00,0,223.00,0,0,None (0/4)
Market Research Analysts and Marketing Specialists,80.09,74.11,49.88,58.45,1.00,1,1.00,1,5.00,1,32.00,0,3,Moderate (3/4)
Marketing and Sales Managers,48.81,55.95,26.49,36.79,88.00,0,21.00,0,190.00,0,111.00,0,0,None (0/4)
Massage Therapists,15.75,8.48,7.38,1.72,352.00,0,238.00,0,411.00,0,421.00,0,0,None (0/4)
Materials Engineers,24.60,0.00,24.34,22.90,272.00,0,346.00,0,215.00,0,216.00,0,0,None (0/4)
"Math and Computer Science Teachers, Postsecondary",64.91,52.33,32.53,30.22,15.00,1,33.00,0,123.00,0,157.00,0,1,Single-source (1/4)
Mathematicians,59.52,33.71,51.99,48.39,36.00,0,89.00,0,1.00,1,62.00,0,1,Single-source (1/4)
Mechanical Engineers,40.03,12.99,36.56,29.30,147.00,0,197.00,0,86.00,0,165.00,0,0,None (0/4)
Medical Records Specialists,38.67,0.00,38.67,62.50,156.00,0,346.00,0,64.00,0,27.00,0,0,None (0/4)
Medical Scientists,34.80,6.56,30.05,23.27,194.00,0,259.00,0,154.00,0,212.00,0,0,None (0/4)
Medical and Health Services Managers,44.33,25.69,33.34,35.81,117.00,0,120.00,0,110.00,0,118.00,0,0,None (0/4)
"Meeting, Convention, and Event Planners",51.29,48.73,21.11,29.71,74.00,0,42.00,0,251.00,0,158.00,0,0,None (0/4)
"Metal Furnace Operators, Tenders, Pourers, and Casters",17.61,0.00,17.61,11.35,338.00,0,346.00,0,298.00,0,331.00,0,0,None (0/4)
"Meter Readers, Utilities",29.13,22.84,28.00,32.78,228.00,0,135.00,0,173.00,0,140.00,0,0,None (0/4)
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,0.00,25.19,24.06,263.00,0,346.00,0,203.00,0,204.00,0,0,None (0/4)
Miscellaneous Agricultural Workers,13.37,1.62,12.98,5.05,371.00,0,334.00,0,351.00,0,394.00,0,0,None (0/4)
Miscellaneous Assemblers and Fabricators,13.85,0.00,13.85,13.78,369.00,0,346.00,0,340.00,0,305.00,0,0,None (0/4)
Miscellaneous Business Operations Specialists,64.53,59.46,39.47,74.34,17.00,1,15.00,1,60.00,0,3.00,1,3,Moderate (3/4)
Miscellaneous Community and Social Service Specialists,33.72,7.83,32.00,20.33,201.00,0,246.00,0,133.00,0,245.00,0,0,None (0/4)
Miscellaneous Computer Occupations,50.08,37.63,41.35,63.34,76.00,0,73.00,0,37.00,0,25.00,0,0,None (0/4)
Miscellaneous Construction and Related Workers,14.19,0.00,9.73,10.98,364.00,0,346.00,0,394.00,0,337.00,0,0,None (0/4)
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",27.37,9.77,24.62,16.43,248.00,0,223.00,0,209.00,0,279.00,0,0,None (0/4)
Miscellaneous Engineers,42.02,19.65,31.86,33.54,135.00,0,151.00,0,134.00,0,131.00,0,0,None (0/4)
"Miscellaneous Entertainers and Performers, Sports and Related Workers",25.07,0.00,25.07,29.52,265.00,0,346.00,0,204.00,0,161.00,0,0,None (0/4)
Miscellaneous Entertainment Attendants and Related Workers,34.50,5.30,31.21,23.07,196.00,0,278.00,0,144.00,0,214.00,0,0,None (0/4)
Miscellaneous Financial Specialists,51.91,48.38,37.95,37.81,72.00,0,44.00,0,76.00,0,106.00,0,0,None (0/4)
"Miscellaneous First-Line Supervisors, Protective Service Workers",21.55,0.00,21.55,36.73,295.00,0,346.00,0,245.00,0,112.00,0,0,None (0/4)
Miscellaneous Food Processing Workers,19.12,0.00,12.21,18.18,318.00,0,346.00,0,362.00,0,261.00,0,0,None (0/4)
Miscellaneous Health Practitioners and Technical Workers,21.95,8.63,17.64,12.41,294.00,0,237.00,0,297.00,0,316.00,0,0,None (0/4)
Miscellaneous Health Technologists and Technicians,16.16,9.03,12.94,9.03,349.00,0,230.00,0,352.00,0,361.00,0,0,None (0/4)
Miscellaneous Healthcare Diagnosing or Treating Practitioners,18.11,13.73,10.34,10.16,330.00,0,190.00,0,390.00,0,345.00,0,0,None (0/4)
Miscellaneous Healthcare Support Occupations,24.21,15.92,12.50,24.39,276.00,0,171.00,0,358.00,0,199.00,0,0,None (0/4)
"Miscellaneous Installation, Maintenance, and Repair Workers",21.04,0.00,18.43,10.99,298.00,0,346.00,0,281.00,0,336.00,0,0,None (0/4)
Miscellaneous Legal Support Workers,52.69,38.04,28.02,35.79,67.00,0,70.00,0,172.00,0,119.00,0,0,None (0/4)
"Miscellaneous Life, Physical, and Social Science Technicians",28.76,8.76,25.94,35.53,235.00,0,232.00,0,197.00,0,120.00,0,0,None (0/4)
Miscellaneous Managers,24.93,21.30,18.42,27.41,267.00,0,142.00,0,282.00,0,178.00,0,0,None (0/4)
Miscellaneous Mathematical Science Occupations,77.29,71.09,41.61,74.28,2.00,1,2.00,1,35.00,0,4.00,1,3,Moderate (3/4)
Miscellaneous Media and Communication Workers,53.24,25.07,35.93,51.31,63.00,0,124.00,0,89.00,0,54.00,0,0,None (0/4)
Miscellaneous Metal Workers and Plastic Workers,17.77,2.09,16.92,11.79,333.00,0,325.00,0,307.00,0,324.00,0,0,None (0/4)
Miscellaneous Personal Appearance Workers,14.95,6.53,6.88,9.88,359.00,0,261.00,0,412.00,0,348.00,0,0,None (0/4)
Miscellaneous Physical Scientists,26.35,27.49,14.75,56.08,255.00,0,113.00,0,333.00,0,36.00,0,0,None (0/4)
Miscellaneous Plant and System Operators,17.36,6.17,8.37,19.96,339.00,0,267.00,0,404.00,0,247.00,0,0,None (0/4)
Miscellaneous Postsecondary Teachers,40.41,47.37,32.25,26.80,143.00,0,47.00,0,130.00,0,185.00,0,0,None (0/4)
Miscellaneous Production Workers,13.95,1.26,12.72,11.30,367.00,0,339.00,0,354.00,0,332.00,0,0,None (0/4)
Miscellaneous Protective Service Workers,34.92,7.27,30.55,14.63,193.00,0,249.00,0,148.00,0,293.00,0,0,None (0/4)
"Miscellaneous Sales Representatives, Services",38.31,0.00,38.31,70.78,162.00,0,346.00,0,70.00,0,7.00,1,1,Single-source (1/4)
Miscellaneous Sales and Related Workers,40.73,46.42,40.73,54.66,142.00,0,51.00,0,44.00,0,39.00,0,0,None (0/4)
Miscellaneous Social Scientists and Related Workers,58.51,31.35,46.02,27.36,39.00,0,102.00,0,12.00,1,179.00,0,1,Single-source (1/4)
"Miscellaneous Textile, Apparel, and Furnishings Workers",17.73,1.90,16.71,15.73,334.00,0,331.00,0,310.00,0,281.00,0,0,None (0/4)
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.67,0.00,13.31,3.94,354.00,0,346.00,0,347.00,0,406.00,0,0,None (0/4)
"Model Makers and Patternmakers, Metal and Plastic",23.61,4.95,21.67,24.71,278.00,0,283.00,0,240.00,0,197.00,0,0,None (0/4)
"Model Makers and Patternmakers, Wood",28.07,8.29,24.38,12.76,240.00,0,240.00,0,211.00,0,312.00,0,0,None (0/4)
"Models, Demonstrators, and Product Promoters",53.71,33.21,42.69,33.13,60.00,0,91.00,0,25.00,0,135.00,0,0,None (0/4)
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",8.11,0.00,7.85,7.35,413.00,0,346.00,0,409.00,0,377.00,0,0,None (0/4)
"Morticians, Undertakers, and Funeral Arrangers",22.38,0.00,22.38,18.52,287.00,0,346.00,0,233.00,0,259.00,0,0,None (0/4)
Motion Picture Projectionists,9.83,0.00,5.02,35.46,404.00,0,346.00,0,424.00,0,121.00,0,0,None (0/4)
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,9.86,24.87,11.12,270.00,0,221.00,0,207.00,0,334.00,0,0,None (0/4)
"Musicians, Singers, and Related Workers",25.48,11.63,25.48,30.85,260.00,0,207.00,0,201.00,0,153.00,0,0,None (0/4)
Natural Sciences Managers,34.28,19.83,23.34,31.08,198.00,0,150.00,0,221.00,0,148.00,0,0,None (0/4)
New Accounts Clerks,42.12,10.79,42.12,66.76,133.00,0,216.00,0,30.00,0,15.00,1,1,Single-source (1/4)
"News Analysts, Reporters and Journalists",50.37,46.43,50.37,53.38,75.00,0,50.00,0,2.00,1,44.00,0,1,Single-source (1/4)
Nuclear Engineers,16.68,8.32,15.01,17.67,346.00,0,239.00,0,329.00,0,266.00,0,0,None (0/4)
Nuclear Technicians,27.56,2.69,23.24,16.98,246.00,0,313.00,0,222.00,0,272.00,0,0,None (0/4)
Nurse Anesthetists,16.64,0.00,16.64,7.95,347.00,0,346.00,0,311.00,0,372.00,0,0,None (0/4)
Nurse Midwives,37.08,23.19,13.80,14.03,174.00,0,133.00,0,341.00,0,301.00,0,0,None (0/4)
Nurse Practitioners,28.02,28.27,20.40,17.48,241.00,0,110.00,0,260.00,0,267.00,0,0,None (0/4)
"Nursing Assistants, Orderlies, and Psychiatric Aides",12.74,1.96,9.51,8.99,377.00,0,329.00,0,395.00,0,363.00,0,0,None (0/4)
Occupational Health and Safety Specialists and Technicians,20.52,6.49,18.08,17.28,305.00,0,264.00,0,289.00,0,270.00,0,0,None (0/4)
Occupational Therapy Assistants and Aides,19.54,6.82,15.73,9.33,317.00,0,254.00,0,319.00,0,358.00,0,0,None (0/4)
"Office Clerks, General",65.33,51.24,40.39,69.41,12.00,1,37.00,0,49.00,0,10.00,1,2,Low (2/4)
"Office Machine Operators, Except Computer",45.78,4.80,40.17,34.05,107.00,0,285.00,0,53.00,0,130.00,0,0,None (0/4)
Operations Research Analysts,62.27,41.86,48.09,53.64,28.00,0,64.00,0,7.00,1,43.00,0,1,Single-source (1/4)
"Opticians, Dispensing",20.21,0.00,20.21,7.02,311.00,0,346.00,0,262.00,0,379.00,0,0,None (0/4)
Optometrists,20.88,19.12,18.26,3.82,300.00,0,154.00,0,285.00,0,409.00,0,0,None (0/4)
Order Clerks,45.08,50.27,37.35,52.42,112.00,0,39.00,0,79.00,0,47.00,0,0,None (0/4)
Packaging and Filling Machine Operators and Tenders,5.10,0.00,5.10,20.51,426.00,0,346.00,0,422.00,0,242.00,0,0,None (0/4)
Painters and Paperhangers,20.53,2.49,17.18,1.22,304.00,0,316.00,0,301.00,0,425.00,0,0,None (0/4)
Painting Workers,11.15,1.79,11.15,5.36,393.00,0,333.00,0,378.00,0,393.00,0,0,None (0/4)
Paralegals and Legal Assistants,41.59,29.29,22.01,42.58,136.00,0,107.00,0,237.00,0,84.00,0,0,None (0/4)
Parking Attendants,17.80,5.10,17.80,11.13,332.00,0,282.00,0,294.00,0,333.00,0,0,None (0/4)
Parking Enforcement Workers,18.67,0.00,17.96,26.89,323.00,0,346.00,0,291.00,0,182.00,0,0,None (0/4)
Passenger Attendants,47.01,20.51,47.01,33.12,99.00,0,147.00,0,9.00,1,136.00,0,1,Single-source (1/4)
Passenger Vehicle Drivers,18.87,3.56,18.87,16.86,320.00,0,304.00,0,277.00,0,273.00,0,0,None (0/4)
Payroll and Timekeeping Clerks,42.53,20.64,35.66,61.57,129.00,0,146.00,0,91.00,0,29.00,0,0,None (0/4)
Personal Service Managers,29.08,27.17,15.42,44.75,230.00,0,115.00,0,324.00,0,74.00,0,0,None (0/4)
Pest Control Workers,28.85,18.43,7.97,24.14,234.00,0,160.00,0,407.00,0,203.00,0,0,None (0/4)
Petroleum Engineers,20.42,0.00,19.94,22.78,307.00,0,346.00,0,265.00,0,220.00,0,0,None (0/4)
Pharmacists,42.36,24.97,38.24,22.41,130.00,0,125.00,0,71.00,0,225.00,0,0,None (0/4)
Photographers,54.72,32.66,41.86,39.72,55.00,0,97.00,0,33.00,0,94.00,0,0,None (0/4)
Photographic Process Workers and Processing Machine Operators,20.26,1.53,16.00,53.70,310.00,0,337.00,0,318.00,0,42.00,0,0,None (0/4)
"Physical Sciences Teachers, Postsecondary",60.53,51.46,29.21,29.18,32.00,0,35.00,0,160.00,0,166.00,0,0,None (0/4)
Physical Therapist Assistants and Aides,11.70,0.00,10.09,9.36,386.00,0,346.00,0,392.00,0,356.00,0,0,None (0/4)
Physician Assistants,24.88,24.89,11.01,13.57,269.00,0,126.00,0,380.00,0,306.00,0,0,None (0/4)
Physicians,24.75,13.58,16.14,11.84,271.00,0,193.00,0,316.00,0,322.00,0,0,None (0/4)
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",14.89,5.91,14.89,6.95,360.00,0,271.00,0,331.00,0,380.00,0,0,None (0/4)
Plasterers and Stucco Masons,29.14,0.00,29.14,0.00,227.00,0,346.00,0,161.00,0,432.00,0,0,None (0/4)
Podiatrists,23.08,0.00,23.08,4.92,283.00,0,346.00,0,225.00,0,397.00,0,0,None (0/4)
Police Officers,30.50,14.95,28.33,12.15,218.00,0,179.00,0,168.00,0,318.00,0,0,None (0/4)
Postal Service Workers,22.23,2.69,22.15,37.37,289.00,0,312.00,0,235.00,0,109.00,0,0,None (0/4)
Postmasters and Mail Superintendents,14.87,12.06,12.59,52.38,361.00,0,203.00,0,356.00,0,48.00,0,0,None (0/4)
"Power Plant Operators, Distributors, and Dispatchers",16.68,2.39,11.85,22.40,345.00,0,319.00,0,370.00,0,226.00,0,0,None (0/4)
Precision Instrument and Equipment Repairers,24.42,8.05,23.45,4.09,274.00,0,241.00,0,220.00,0,404.00,0,0,None (0/4)
Preschool and Kindergarten Teachers,49.39,13.72,24.05,15.21,85.00,0,191.00,0,217.00,0,290.00,0,0,None (0/4)
"Pressers, Textile, Garment, and Related Materials",10.75,0.00,10.75,5.02,397.00,0,346.00,0,384.00,0,395.00,0,0,None (0/4)
Printing Workers,22.30,3.60,18.40,26.38,288.00,0,303.00,0,283.00,0,189.00,0,0,None (0/4)
Private Detectives and Investigators,56.83,6.26,38.15,34.52,44.00,0,266.00,0,72.00,0,126.00,0,0,None (0/4)
Procurement Clerks,61.70,34.27,42.02,43.90,30.00,0,86.00,0,31.00,0,77.00,0,0,None (0/4)
"Production, Planning, and Expediting Clerks",42.85,23.16,34.78,40.78,124.00,0,134.00,0,99.00,0,90.00,0,0,None (0/4)
Proofreaders and Copy Markers,53.07,12.53,46.09,51.40,65.00,0,201.00,0,11.00,1,53.00,0,1,Single-source (1/4)
Property Appraisers and Assessors,32.16,18.45,32.16,31.21,207.00,0,159.00,0,132.00,0,146.00,0,0,None (0/4)
"Property, Real Estate, and Community Association Managers",57.07,33.17,17.98,33.22,43.00,0,92.00,0,290.00,0,134.00,0,0,None (0/4)
Psychologists,29.15,24.49,26.27,18.84,226.00,0,127.00,0,191.00,0,254.00,0,0,None (0/4)
Public Relations Specialists,71.32,69.72,40.13,43.85,6.00,1,3.00,1,54.00,0,78.00,0,2,Low (2/4)
Public Relations and Fundraising Managers,17.71,7.84,17.71,38.41,336.00,0,245.00,0,296.00,0,103.00,0,0,None (0/4)
Pumping Station Operators,11.19,0.00,11.19,38.37,391.00,0,346.00,0,376.00,0,104.00,0,0,None (0/4)
Purchasing Managers,45.74,32.83,18.88,34.26,108.00,0,96.00,0,276.00,0,128.00,0,0,None (0/4)
Radio and Telecommunications Equipment Installers and Repairers,31.64,11.61,31.35,13.85,213.00,0,208.00,0,143.00,0,304.00,0,0,None (0/4)
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,0.00,0.77,436.00,0,346.00,0,436.00,0,428.00,0,0,None (0/4)
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,0.00,5.52,5.71,422.00,0,346.00,0,417.00,0,386.00,0,0,None (0/4)
Railroad Conductors and Yardmasters,18.88,0.00,16.01,9.63,319.00,0,346.00,0,317.00,0,351.00,0,0,None (0/4)
Real Estate Brokers and Sales Agents,59.71,59.88,28.78,42.18,34.00,0,13.00,1,167.00,0,86.00,0,1,Single-source (1/4)
Receptionists and Information Clerks,64.28,50.12,32.72,69.52,20.00,1,40.00,0,120.00,0,9.00,1,2,Low (2/4)
Recreation and Fitness Workers,33.53,7.20,32.62,19.06,202.00,0,250.00,0,122.00,0,252.00,0,0,None (0/4)
Refuse and Recyclable Material Collectors,7.76,1.83,6.26,15.41,418.00,0,332.00,0,414.00,0,285.00,0,0,None (0/4)
Registered Nurses,27.64,17.57,15.03,11.87,244.00,0,165.00,0,328.00,0,321.00,0,0,None (0/4)
Reinforcing Iron and Rebar Workers,11.47,0.00,11.47,0.00,388.00,0,346.00,0,373.00,0,432.00,0,0,None (0/4)
Reservation and Transportation Ticket Agents and Travel Clerks,48.11,18.79,42.51,58.43,90.00,0,156.00,0,27.00,0,33.00,0,0,None (0/4)
Residential Advisors,38.53,17.78,28.27,21.23,159.00,0,164.00,0,169.00,0,236.00,0,0,None (0/4)
Retail Salespersons,49.23,37.64,39.99,47.68,86.00,0,72.00,0,57.00,0,65.00,0,0,None (0/4)
"Rock Splitters, Quarry",6.41,0.00,6.41,0.00,420.00,0,346.00,0,413.00,0,432.00,0,0,None (0/4)
Roofers,4.58,5.41,2.77,0.00,428.00,0,276.00,0,432.00,0,432.00,0,0,None (0/4)
"Roustabouts, Oil and Gas",2.46,0.00,2.46,1.09,434.00,0,346.00,0,434.00,0,426.00,0,0,None (0/4)
Sailors and Marine Oilers,8.72,0.00,8.72,7.59,411.00,0,346.00,0,401.00,0,374.00,0,0,None (0/4)
Sales Engineers,60.56,51.57,38.02,41.70,31.00,0,34.00,0,75.00,0,88.00,0,0,None (0/4)
"Sales Representatives, Wholesale and Manufacturing",62.97,56.92,40.80,56.06,25.00,0,18.00,1,43.00,0,37.00,0,1,Single-source (1/4)
Secondary School Teachers,50.04,37.88,26.15,18.82,77.00,0,71.00,0,194.00,0,255.00,0,0,None (0/4)
Secretaries and Administrative Assistants,46.45,45.18,37.11,71.62,103.00,0,55.00,0,81.00,0,6.00,1,1,Single-source (1/4)
"Securities, Commodities, and Financial Services Sales Agents",29.00,52.76,29.00,65.04,232.00,0,32.00,0,165.00,0,20.00,1,1,Single-source (1/4)
Security Guards and Gambling Surveillance Officers,39.70,19.23,32.26,38.43,148.00,0,153.00,0,129.00,0,102.00,0,0,None (0/4)
Self-Enrichment Teachers,27.88,46.27,27.88,20.80,243.00,0,52.00,0,176.00,0,238.00,0,0,None (0/4)
Semiconductor Processing Technicians,20.76,0.00,20.76,20.78,303.00,0,346.00,0,256.00,0,239.00,0,0,None (0/4)
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,0.00,20.54,8.96,297.00,0,346.00,0,258.00,0,364.00,0,0,None (0/4)
Sewing Machine Operators,11.19,0.00,11.19,10.69,392.00,0,346.00,0,377.00,0,341.00,0,0,None (0/4)
Sheet Metal Workers,31.58,14.63,10.90,3.90,214.00,0,181.00,0,382.00,0,407.00,0,0,None (0/4)
Ship Engineers,4.44,5.91,4.44,9.81,429.00,0,272.00,0,425.00,0,350.00,0,0,None (0/4)
Ship and Boat Captains and Operators,15.62,0.00,13.65,17.35,355.00,0,346.00,0,342.00,0,269.00,0,0,None (0/4)
"Shipping, Receiving, and Inventory Clerks",25.81,28.97,25.81,41.24,258.00,0,109.00,0,198.00,0,89.00,0,0,None (0/4)
Shoe and Leather Workers,9.51,0.00,9.51,2.40,406.00,0,346.00,0,396.00,0,419.00,0,0,None (0/4)
Small Engine Mechanics,17.12,2.22,17.00,8.27,342.00,0,322.00,0,306.00,0,368.00,0,0,None (0/4)
Social Science Research Assistants,38.64,33.99,22.43,52.88,157.00,0,87.00,0,232.00,0,46.00,0,0,None (0/4)
"Social Sciences Teachers, Postsecondary",64.45,57.41,32.96,27.99,19.00,1,17.00,1,118.00,0,172.00,0,2,Low (2/4)
Social Workers,38.62,16.66,27.17,20.50,158.00,0,169.00,0,179.00,0,243.00,0,0,None (0/4)
Social and Community Service Managers,34.49,18.17,24.89,20.46,197.00,0,161.00,0,206.00,0,244.00,0,0,None (0/4)
Sociologists,59.14,53.48,32.33,24.19,38.00,0,29.00,0,126.00,0,202.00,0,0,None (0/4)
"Software and Web Developers, Programmers, and Testers",55.78,30.80,48.52,70.72,48.00,0,105.00,0,6.00,1,8.00,1,2,Low (2/4)
Solar Photovoltaic Installers,31.86,19.34,22.26,10.97,210.00,0,152.00,0,234.00,0,338.00,0,0,None (0/4)
Special Education Teachers,31.80,17.16,22.75,13.53,212.00,0,166.00,0,229.00,0,307.00,0,0,None (0/4)
Stationary Engineers and Boiler Operators,20.10,0.00,19.66,21.66,314.00,0,346.00,0,268.00,0,233.00,0,0,None (0/4)
Statistical Assistants,73.56,64.47,40.51,68.54,4.00,1,7.00,1,46.00,0,12.00,1,3,Moderate (3/4)
Statisticians,57.97,53.66,44.40,65.05,41.00,0,27.00,0,17.00,1,19.00,1,2,Low (2/4)
Structural Iron and Steel Workers,8.10,9.21,5.17,3.00,414.00,0,225.00,0,421.00,0,418.00,0,0,None (0/4)
Structural Metal Fabricators and Fitters,8.66,0.00,8.66,1.38,412.00,0,346.00,0,402.00,0,423.00,0,0,None (0/4)
"Substitute Teachers, Short-Term",38.11,0.00,38.11,29.67,166.00,0,346.00,0,74.00,0,159.00,0,0,None (0/4)
Subway and Streetcar Operators,14.09,8.94,12.41,27.51,365.00,0,231.00,0,360.00,0,177.00,0,0,None (0/4)
Supervisors of Food Preparation and Serving Workers,33.35,11.89,25.63,22.44,203.00,0,205.00,0,200.00,0,224.00,0,0,None (0/4)
Surface Mining Machine Operators and Earth Drillers,7.75,0.00,7.75,5.53,419.00,0,346.00,0,410.00,0,389.00,0,0,None (0/4)
Surgeons,12.19,4.64,12.19,10.23,378.00,0,287.00,0,363.00,0,344.00,0,0,None (0/4)
Survey Researchers,52.70,34.71,21.39,27.94,66.00,0,85.00,0,248.00,0,174.00,0,0,None (0/4)
Surveying and Mapping Technicians,29.73,2.41,29.73,38.31,223.00,0,317.00,0,158.00,0,105.00,0,0,None (0/4)
"Surveyors, Cartographers, and Photogrammetrists",34.03,3.84,27.62,46.18,199.00,0,297.00,0,178.00,0,69.00,0,0,None (0/4)
"Switchboard Operators, Including Answering Service",55.34,39.30,40.49,68.98,50.00,0,66.00,0,47.00,0,11.00,1,1,Single-source (1/4)
"Tailors, Dressmakers, and Sewers",15.62,1.56,12.75,3.19,356.00,0,335.00,0,353.00,0,415.00,0,0,None (0/4)
"Tank Car, Truck, and Ship Loaders",14.53,0.00,14.53,17.76,362.00,0,346.00,0,334.00,0,265.00,0,0,None (0/4)
"Tax Examiners, Collectors and Preparers, and Revenue Agents",38.86,14.41,33.46,46.08,155.00,0,186.00,0,108.00,0,70.00,0,0,None (0/4)
Teaching Assistants,30.39,11.27,30.39,22.16,220.00,0,213.00,0,151.00,0,230.00,0,0,None (0/4)
Telemarketers,49.63,68.29,35.43,90.13,82.00,0,4.00,1,94.00,0,1.00,1,2,Low (2/4)
Telephone Operators,49.59,9.05,47.26,62.26,83.00,0,229.00,0,8.00,1,28.00,0,1,Single-source (1/4)
"Television, Video, and Film Camera Operators and Editors",45.67,43.55,24.38,38.88,109.00,0,58.00,0,212.00,0,99.00,0,0,None (0/4)
Tellers,43.99,4.20,40.87,63.08,120.00,0,294.00,0,42.00,0,26.00,0,0,None (0/4)
"Textile Machine Setters, Operators, and Tenders",12.77,3.74,11.33,14.55,376.00,0,298.00,0,375.00,0,295.00,0,0,None (0/4)
Therapists,30.45,12.58,17.02,15.25,219.00,0,200.00,0,305.00,0,289.00,0,0,None (0/4)
Timing Device Assemblers and Adjusters,9.74,2.40,4.05,3.81,405.00,0,318.00,0,427.00,0,410.00,0,0,None (0/4)
Tool and Die Makers,22.89,3.61,22.89,9.34,285.00,0,300.00,0,228.00,0,357.00,0,0,None (0/4)
Tour and Travel Guides,37.64,12.73,31.67,32.31,172.00,0,199.00,0,138.00,0,141.00,0,0,None (0/4)
Traffic Technicians,26.05,0.00,21.51,39.49,257.00,0,346.00,0,246.00,0,96.00,0,0,None (0/4)
Training and Development Managers,76.89,59.78,37.02,30.87,3.00,1,14.00,1,83.00,0,152.00,0,2,Low (2/4)
Training and Development Specialists,51.39,26.37,41.60,18.81,73.00,0,117.00,0,36.00,0,256.00,0,0,None (0/4)
Transportation Inspectors,18.21,3.49,18.21,7.54,329.00,0,305.00,0,286.00,0,375.00,0,0,None (0/4)
Transportation Service Attendants,10.29,6.59,9.04,11.46,401.00,0,258.00,0,398.00,0,329.00,0,0,None (0/4)
"Transportation, Storage, and Distribution Managers",29.78,10.40,26.57,28.17,222.00,0,217.00,0,189.00,0,170.00,0,0,None (0/4)
Travel Agents,63.33,62.84,31.79,50.57,23.00,0,8.00,1,135.00,0,60.00,0,1,Single-source (1/4)
Tutors,67.17,30.80,32.33,31.58,11.00,1,104.00,0,127.00,0,143.00,0,1,Single-source (1/4)
