title_current,pct,skill_similarity,major,job_zone,outlook,emp_nat
Mental Health and Substance Abuse Social Workers,51.92,0.83,Community and Social Service Occupations,5.00,4.00,125910.00
Cost Estimators,59.14,0.83,Business and Financial Operations Occupations,4.00,4.00,219530.00
Occupational Therapists,42.94,0.83,Healthcare Practitioners and Technical Occupations,5.00,5.00,55895.00
Police Identification and Records Officers,41.61,0.83,Protective Service Occupations,3.00,4.00,17928.00
Anesthesiologist Assistants,21.01,0.83,Healthcare Practitioners and Technical Occupations,5.00,5.00,34693.00
Sociologists,71.20,0.83,"Life, Physical, and Social Science Occupations",5.00,3.00,2950.00
Appraisers of Personal and Business Property,56.38,0.83,Business and Financial Operations Occupations,4.00,4.00,29535.00
Archivists,86.87,0.83,Educational Instruction and Library Occupations,5.00,2.00,7050.00
Public Relations Specialists,90.67,0.83,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,280590.00
Clinical and Counseling Psychologists,40.47,0.83,"Life, Physical, and Social Science Occupations",5.00,5.00,72190.00
Computer and Information Research Scientists,79.64,0.83,Computer and Mathematical Occupations,5.00,5.00,38480.00
Budget Analysts,63.33,0.83,Business and Financial Operations Occupations,4.00,4.00,47170.00
Nurse Anesthetists,18.47,0.83,Healthcare Practitioners and Technical Occupations,5.00,3.00,50350.00
"Architecture Teachers, Postsecondary",84.28,0.83,Educational Instruction and Library Occupations,5.00,4.00,9120.00
"Tax Examiners and Collectors, and Revenue Agents",51.23,0.83,Business and Financial Operations Occupations,3.00,3.00,53530.00
Magnetic Resonance Imaging Technologists,34.26,0.83,Healthcare Practitioners and Technical Occupations,3.00,4.00,41530.00
Marriage and Family Therapists,64.88,0.83,Community and Social Service Occupations,5.00,4.00,65870.00
Emergency Medicine Physicians,26.91,0.83,Healthcare Practitioners and Technical Occupations,5.00,0.00,24358.57
Fish and Game Wardens,38.96,0.83,Protective Service Occupations,4.00,4.00,6420.00
"Psychology Teachers, Postsecondary",79.19,0.83,Educational Instruction and Library Occupations,5.00,4.00,41610.00
Executive Secretaries and Executive Administrative Assistants,87.55,0.83,Office and Administrative Support Occupations,3.00,3.00,472770.00
Public Safety Telecommunicators,59.42,0.83,Office and Administrative Support Occupations,2.00,3.00,101140.00
"Credit Authorizers, Checkers, and Clerks",53.51,0.83,Office and Administrative Support Occupations,2.00,2.00,11960.00
Bioinformatics Scientists,78.79,0.83,"Life, Physical, and Social Science Occupations",5.00,4.00,27099.00
Coroners,34.35,0.83,Business and Financial Operations Occupations,3.00,4.00,27241.00
"Dentists, General",33.43,0.83,Healthcare Practitioners and Technical Occupations,5.00,5.00,113490.00
Human Resources Specialists,86.37,0.83,Business and Financial Operations Occupations,4.00,5.00,917460.00
"Physics Teachers, Postsecondary",86.07,0.83,Educational Instruction and Library Occupations,5.00,4.00,13590.00
Sports Medicine Physicians,30.46,0.83,Healthcare Practitioners and Technical Occupations,5.00,2.00,34183.00
"Foreign Language and Literature Teachers, Postsecondary",81.98,0.83,Educational Instruction and Library Occupations,5.00,4.00,21170.00
Atmospheric and Space Scientists,68.49,0.83,"Life, Physical, and Social Science Occupations",4.00,0.00,8780.00
Interior Designers,52.70,0.83,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,69580.00
Landscape Architects,46.66,0.83,Architecture and Engineering Occupations,4.00,4.00,19580.00
Audio and Video Technicians,49.73,0.82,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,70080.00
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",42.80,0.82,Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,124130.00
Forest Fire Inspectors and Prevention Specialists,39.56,0.82,Protective Service Occupations,3.00,3.00,2780.00
Remote Sensing Scientists and Technologists,66.30,0.82,"Life, Physical, and Social Science Occupations",4.00,4.00,22580.00
Traffic Technicians,48.49,0.82,Transportation and Material Moving Occupations,3.00,2.00,7580.00
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",21.46,0.82,"Farming, Fishing, and Forestry Occupations",3.00,3.00,29530.00
"Geoscientists, Except Hydrologists and Geographers",59.55,0.82,"Life, Physical, and Social Science Occupations",5.00,4.00,22510.00
Physician Assistants,48.98,0.82,Healthcare Practitioners and Technical Occupations,5.00,5.00,120847.00
"Art, Drama, and Music Teachers, Postsecondary",79.59,0.82,Educational Instruction and Library Occupations,5.00,4.00,97890.00
Geneticists,64.10,0.82,"Life, Physical, and Social Science Occupations",5.00,4.00,10170.00
"Dispatchers, Except Police, Fire, and Ambulance",81.27,0.82,Office and Administrative Support Occupations,2.00,3.00,211000.00
Aircraft Cargo Handling Supervisors,30.24,0.82,Transportation and Material Moving Occupations,2.00,2.00,10160.00
Police and Sheriff's Patrol Officers,30.37,0.82,Protective Service Occupations,3.00,5.00,138105.00
"First-Line Supervisors of Mechanics, Installers, and Repairers",53.83,0.82,"Installation, Maintenance, and Repair Occupations",3.00,5.00,600680.00
"Buyers and Purchasing Agents, Farm Products",53.87,0.82,Business and Financial Operations Occupations,4.00,4.00,162300.00
Genetic Counselors,53.84,0.82,Healthcare Practitioners and Technical Occupations,5.00,0.00,3510.00
Social Science Research Assistants,68.89,0.82,"Life, Physical, and Social Science Occupations",4.00,2.00,32940.00
Midwives,37.18,0.82,Healthcare Practitioners and Technical Occupations,5.00,2.00,36970.00
Biofuels Production Managers,22.30,0.82,Management Occupations,4.00,5.00,6633.00
Computer Programmers,83.88,0.82,Computer and Mathematical Occupations,4.00,5.00,109870.00
"Biological Science Teachers, Postsecondary",81.60,0.82,Educational Instruction and Library Occupations,5.00,4.00,53250.00
Energy Auditors,45.55,0.82,Construction and Extraction Occupations,3.00,4.00,51428.00
Insurance Claims and Policy Processing Clerks,69.60,0.82,Office and Administrative Support Occupations,2.00,3.00,229070.00
Travel Guides,57.71,0.82,Personal Care and Service Occupations,2.00,2.00,24505.00
Biostatisticians,74.85,0.82,Computer and Mathematical Occupations,5.00,5.00,11132.00
Software Developers,64.68,0.82,Computer and Mathematical Occupations,4.00,5.00,725946.38
Naturopathic Physicians,49.89,0.82,Healthcare Practitioners and Technical Occupations,5.00,5.00,20983.00
Construction and Building Inspectors,40.89,0.82,Construction and Extraction Occupations,3.00,4.00,85782.00
Remote Sensing Technicians,63.81,0.82,"Life, Physical, and Social Science Occupations",4.00,2.00,50542.00
Reservation and Transportation Ticket Agents and Travel Clerks,68.47,0.82,Office and Administrative Support Occupations,2.00,2.00,127440.00
Nurse Midwives,45.91,0.82,Healthcare Practitioners and Technical Occupations,5.00,4.00,8280.00
Labor Relations Specialists,39.28,0.82,Business and Financial Operations Occupations,4.00,4.00,64590.00
"Substitute Teachers, Short-Term",52.79,0.82,Educational Instruction and Library Occupations,4.00,2.00,481300.00
Veterinarians,35.79,0.82,Healthcare Practitioners and Technical Occupations,5.00,5.00,80630.00
Political Scientists,73.36,0.82,"Life, Physical, and Social Science Occupations",5.00,2.00,5950.00
Hearing Aid Specialists,14.11,0.82,Healthcare Practitioners and Technical Occupations,3.00,2.00,10580.00
"Energy Engineers, Except Wind and Solar",43.40,0.82,Architecture and Engineering Occupations,4.00,5.00,25824.00
Phlebotomists,21.13,0.82,Healthcare Support Occupations,3.00,2.00,138880.00
Nuclear Medicine Technologists,49.47,0.82,Healthcare Practitioners and Technical Occupations,3.00,5.00,16960.00
Information Security Engineers,59.76,0.81,Computer and Mathematical Occupations,4.00,5.00,17531.00
First-Line Supervisors of Firefighting and Prevention Workers,19.81,0.81,Protective Service Occupations,3.00,5.00,93680.00
"Chemistry Teachers, Postsecondary",72.80,0.81,Educational Instruction and Library Occupations,5.00,4.00,20390.00
Radiation Therapists,25.64,0.81,Healthcare Practitioners and Technical Occupations,3.00,4.00,18700.00
"Law Teachers, Postsecondary",81.71,0.81,Educational Instruction and Library Occupations,5.00,3.00,22800.00
Cartographers and Photogrammetrists,60.56,0.81,Architecture and Engineering Occupations,4.00,4.00,12790.00
"News Analysts, Reporters, and Journalists",58.29,0.81,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,41550.00
Molecular and Cellular Biologists,61.14,0.81,"Life, Physical, and Social Science Occupations",5.00,4.00,10176.00
Financial Quantitative Analysts,85.89,0.81,Business and Financial Operations Occupations,5.00,4.00,93246.00
Paralegals and Legal Assistants,55.24,0.81,Legal Occupations,3.00,3.00,367220.00
Music Therapists,40.95,0.81,Healthcare Practitioners and Technical Occupations,4.00,4.00,10189.00
Anesthesiologists,10.19,0.81,Healthcare Practitioners and Technical Occupations,5.00,0.00,41890.00
Solar Sales Representatives and Assessors,78.13,0.81,Sales and Related Occupations,3.00,4.00,57697.00
Writers and Authors,62.06,0.81,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,2783.00
Fashion Designers,60.91,0.81,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,20910.00
Bill and Account Collectors,80.11,0.81,Office and Administrative Support Occupations,2.00,3.00,165020.00
Physical Therapist Aides,16.86,0.81,Healthcare Support Occupations,2.00,2.00,44010.00
Online Merchants,96.90,0.81,Business and Financial Operations Occupations,4.00,4.00,316417.00
Customer Service Representatives,85.86,0.81,Office and Administrative Support Occupations,2.00,2.00,2725930.00
Environmental Engineers,40.73,0.81,Architecture and Engineering Occupations,4.00,5.00,37950.00
Sound Engineering Technicians,70.50,0.81,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,13050.00
"Title Examiners, Abstractors, and Searchers",73.31,0.81,Legal Occupations,2.00,3.00,48170.00
Power Distributors and Dispatchers,48.36,0.81,Production Occupations,3.00,4.00,9180.00
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",90.87,0.81,Office and Administrative Support Occupations,2.00,3.00,1737820.00
"Anthropology and Archeology Teachers, Postsecondary",77.58,0.81,Educational Instruction and Library Occupations,5.00,3.00,5260.00
"Mining and Geological Engineers, Including Mining Safety Engineers",36.10,0.81,Architecture and Engineering Occupations,4.00,4.00,6770.00
Transit and Railroad Police,30.28,0.81,Protective Service Occupations,3.00,5.00,3000.00
Industrial Ecologists,37.34,0.81,"Life, Physical, and Social Science Occupations",5.00,4.00,26139.00
Art Therapists,56.74,0.81,Healthcare Practitioners and Technical Occupations,5.00,4.00,9131.00
"Architects, Except Landscape and Naval",71.71,0.81,Architecture and Engineering Occupations,5.00,5.00,111140.00
Athletes and Sports Competitors,46.65,0.80,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,3.00,14370.00
Manufacturing Engineers,63.02,0.80,Architecture and Engineering Occupations,4.00,4.00,87557.50
Electrical Engineers,54.63,0.80,Architecture and Engineering Occupations,4.00,5.00,188790.00
Advertising Sales Agents,83.84,0.80,Sales and Related Occupations,4.00,3.00,97470.00
Actuaries,49.65,0.80,Computer and Mathematical Occupations,4.00,4.00,28340.00
Agricultural Inspectors,31.08,0.80,"Farming, Fishing, and Forestry Occupations",2.00,1.00,12090.00
Wind Energy Operations Managers,40.39,0.80,Management Occupations,3.00,4.00,56843.00
Historians,78.79,0.80,"Life, Physical, and Social Science Occupations",5.00,2.00,3140.00
Anthropologists and Archeologists,42.60,0.80,"Life, Physical, and Social Science Occupations",5.00,3.00,8070.00
Network and Computer Systems Administrators,85.55,0.80,Computer and Mathematical Occupations,4.00,5.00,318570.00
Pest Control Workers,33.79,0.80,Building and Grounds Cleaning and Maintenance Occupations,2.00,1.00,96110.00
Freight Forwarders,68.18,0.80,Office and Administrative Support Occupations,2.00,2.00,67478.00
Order Clerks,75.59,0.80,Office and Administrative Support Occupations,2.00,2.00,83420.00
Microbiologists,57.54,0.80,"Life, Physical, and Social Science Occupations",4.00,3.00,19760.00
"Farmers, Ranchers, and Other Agricultural Managers",20.79,0.80,Management Occupations,4.00,4.00,5910.00
"Political Science Teachers, Postsecondary",85.40,0.80,Educational Instruction and Library Occupations,5.00,3.00,17170.00
Choreographers,52.52,0.80,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,3430.00
Transportation Inspectors,32.65,0.80,Transportation and Material Moving Occupations,4.00,3.00,7773.33
Biologists,59.22,0.80,"Life, Physical, and Social Science Occupations",5.00,4.00,12266.00
Software Quality Assurance Analysts and Testers,75.24,0.80,Computer and Mathematical Occupations,4.00,5.00,725946.38
Nuclear Monitoring Technicians,48.20,0.80,"Life, Physical, and Social Science Occupations",3.00,2.00,5370.00
Video Game Designers,63.62,0.80,Computer and Mathematical Occupations,4.00,5.00,55700.00
Water/Wastewater Engineers,47.81,0.80,Architecture and Engineering Occupations,4.00,5.00,118470.00
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",85.70,0.80,Sales and Related Occupations,4.00,4.00,1266860.00
Physicists,70.15,0.80,"Life, Physical, and Social Science Occupations",5.00,4.00,21340.00
Insurance Sales Agents,72.66,0.80,Sales and Related Occupations,4.00,4.00,469480.00
Fire Inspectors and Investigators,27.90,0.80,Protective Service Occupations,3.00,3.00,14050.00
New Accounts Clerks,75.46,0.80,Office and Administrative Support Occupations,3.00,2.00,38030.00
Statisticians,84.65,0.80,Computer and Mathematical Occupations,5.00,5.00,18668.00
Database Architects,78.71,0.80,Computer and Mathematical Occupations,4.00,5.00,49461.98
Oral and Maxillofacial Surgeons,13.47,0.80,Healthcare Practitioners and Technical Occupations,5.00,5.00,5330.00
"Agents and Business Managers of Artists, Performers, and Athletes",63.29,0.80,Business and Financial Operations Occupations,4.00,3.00,14220.00
Flight Attendants,38.93,0.80,Transportation and Material Moving Occupations,2.00,3.00,130110.00
Non-Destructive Testing Specialists,42.34,0.80,Architecture and Engineering Occupations,2.00,3.00,47697.00
Acupuncturists,24.63,0.79,Healthcare Practitioners and Technical Occupations,5.00,5.00,8440.00
First-Line Supervisors of Housekeeping and Janitorial Workers,50.96,0.79,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,174660.00
Treasurers and Controllers,64.19,0.79,Management Occupations,4.00,5.00,286560.00
Medical Secretaries and Administrative Assistants,73.25,0.79,Office and Administrative Support Occupations,2.00,3.00,830760.00
Materials Engineers,33.29,0.79,Architecture and Engineering Occupations,4.00,4.00,22770.00
Fire-Prevention and Protection Engineers,34.42,0.79,Architecture and Engineering Occupations,4.00,4.00,13114.00
Self-Enrichment Teachers,41.24,0.79,Educational Instruction and Library Occupations,3.00,2.00,308520.00
"Human Resources Assistants, Except Payroll and Timekeeping",89.79,0.79,Office and Administrative Support Occupations,3.00,2.00,92580.00
Bioengineers and Biomedical Engineers,51.82,0.79,Architecture and Engineering Occupations,4.00,5.00,21860.00
Veterinary Technologists and Technicians,30.81,0.79,Healthcare Practitioners and Technical Occupations,3.00,2.00,131320.00
"Engineering Teachers, Postsecondary",85.91,0.79,Educational Instruction and Library Occupations,5.00,4.00,39910.00
Technical Writers,85.88,0.79,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,55530.00
"Makeup Artists, Theatrical and Performance",17.67,0.79,Personal Care and Service Occupations,3.00,2.00,3320.00
Tax Preparers,73.45,0.79,Business and Financial Operations Occupations,3.00,4.00,73570.00
Demonstrators and Product Promoters,69.12,0.79,Sales and Related Occupations,2.00,1.00,64770.00
Astronomers,72.67,0.79,"Life, Physical, and Social Science Occupations",5.00,4.00,1560.00
Environmental Engineering Technologists and Technicians,46.85,0.79,Architecture and Engineering Occupations,4.00,2.00,12500.00
Web Developers,90.77,0.79,Computer and Mathematical Occupations,3.00,5.00,67083.73
Hydrologists,41.48,0.79,"Life, Physical, and Social Science Occupations",5.00,3.00,5720.00
"Hotel, Motel, and Resort Desk Clerks",67.80,0.79,Office and Administrative Support Occupations,2.00,2.00,261430.00
Civil Engineers,40.21,0.79,Architecture and Engineering Occupations,4.00,5.00,118470.00
Water Resource Specialists,38.65,0.79,Management Occupations,4.00,5.00,16173.00
"Economics Teachers, Postsecondary",85.29,0.79,Educational Instruction and Library Occupations,5.00,4.00,12420.00
Bartenders,34.33,0.79,Food Preparation and Serving Related Occupations,2.00,2.00,745610.00
Chemists,66.33,0.78,"Life, Physical, and Social Science Occupations",4.00,4.00,83250.00
Geothermal Production Managers,30.99,0.78,Management Occupations,3.00,5.00,42452.00
Desktop Publishers,80.07,0.78,Office and Administrative Support Occupations,3.00,2.00,4000.00
Loan Officers,59.11,0.78,Business and Financial Operations Occupations,4.00,5.00,290530.00
Psychiatric Aides,29.03,0.78,Healthcare Support Occupations,2.00,2.00,34900.00
Broadcast Announcers and Radio Disc Jockeys,55.70,0.78,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,23880.00
Data Warehousing Specialists,91.95,0.78,Computer and Mathematical Occupations,4.00,5.00,32385.00
"Court, Municipal, and License Clerks",64.37,0.78,Office and Administrative Support Occupations,2.00,2.00,170010.00
Biofuels/Biodiesel Technology and Product Development Managers,29.44,0.78,Management Occupations,4.00,5.00,38238.00
Prosthodontists,18.35,0.78,Healthcare Practitioners and Technical Occupations,5.00,5.00,760.00
Transportation Engineers,61.06,0.78,Architecture and Engineering Occupations,4.00,5.00,118470.00
Judicial Law Clerks,70.16,0.78,Legal Occupations,5.00,0.00,13220.00
Biochemists and Biophysicists,54.12,0.78,"Life, Physical, and Social Science Occupations",5.00,4.00,34520.00
Nanosystems Engineers,48.19,0.78,Architecture and Engineering Occupations,5.00,5.00,21672.00
Operations Research Analysts,74.82,0.78,Computer and Mathematical Occupations,5.00,5.00,107760.00
Cytogenetic Technologists,44.76,0.78,Healthcare Practitioners and Technical Occupations,4.00,4.00,42880.00
Marine Engineers and Naval Architects,38.85,0.78,Architecture and Engineering Occupations,4.00,5.00,8440.00
Biomass Power Plant Managers,34.00,0.78,Management Occupations,4.00,5.00,57123.00
Microsystems Engineers,53.12,0.78,Architecture and Engineering Occupations,5.00,5.00,23080.00
Surveying and Mapping Technicians,46.50,0.77,Architecture and Engineering Occupations,3.00,2.00,56720.00
Animal Trainers,16.60,0.77,Personal Care and Service Occupations,2.00,1.00,20110.00
Mathematicians,76.41,0.77,Computer and Mathematical Occupations,5.00,5.00,2220.00
Set and Exhibit Designers,47.14,0.77,"Arts, Design, Entertainment, Sports, and Media Occupations",5.00,2.00,10850.00
Nuclear Engineers,26.83,0.77,Architecture and Engineering Occupations,4.00,5.00,14740.00
Medical and Clinical Laboratory Technicians,51.19,0.77,Healthcare Practitioners and Technical Occupations,3.00,4.00,85760.00
Surgical Assistants,9.77,0.77,Healthcare Practitioners and Technical Occupations,3.00,3.00,22860.00
"Telecommunications Equipment Installers and Repairers, Except Line Installers",42.48,0.77,"Installation, Maintenance, and Repair Occupations",3.00,4.00,153890.00
Radiologic Technologists and Technicians,33.30,0.77,Healthcare Practitioners and Technical Occupations,3.00,5.00,223460.00
Film and Video Editors,79.84,0.77,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,28860.00
Exercise Trainers and Group Fitness Instructors,38.55,0.77,Personal Care and Service Occupations,3.00,3.00,303620.00
"Medical Scientists, Except Epidemiologists",51.99,0.77,"Life, Physical, and Social Science Occupations",5.00,5.00,156300.00
Skincare Specialists,55.30,0.77,Personal Care and Service Occupations,3.00,2.00,70240.00
Counter and Rental Clerks,83.28,0.77,Sales and Related Occupations,2.00,2.00,398620.00
Computer Network Support Specialists,89.65,0.77,Computer and Mathematical Occupations,4.00,4.00,146450.00
Embalmers,17.14,0.77,Personal Care and Service Occupations,3.00,2.00,3420.00
Agricultural Engineers,42.13,0.77,Architecture and Engineering Occupations,4.00,5.00,1680.00
Medical Appliance Technicians,8.97,0.77,Production Occupations,3.00,2.00,11490.00
Medical and Clinical Laboratory Technologists,56.09,0.77,Healthcare Practitioners and Technical Occupations,4.00,4.00,42880.00
Chemical Technicians,56.76,0.76,"Life, Physical, and Social Science Occupations",3.00,3.00,55640.00
Surgical Technologists,12.58,0.76,Healthcare Practitioners and Technical Occupations,3.00,4.00,113890.00
Architectural and Civil Drafters,62.79,0.76,Architecture and Engineering Occupations,3.00,3.00,109550.00
"Teaching Assistants, Special Education",38.06,0.76,Educational Instruction and Library Occupations,3.00,2.00,382577.50
"Insurance Appraisers, Auto Damage",44.79,0.76,Business and Financial Operations Occupations,3.00,4.00,7790.00
Tellers,71.25,0.76,Office and Administrative Support Occupations,2.00,2.00,339340.00
First-Line Supervisors of Construction Trades and Extraction Workers,61.23,0.76,Construction and Extraction Occupations,3.00,4.00,483212.00
"Radio, Cellular, and Tower Equipment Installers and Repairers",37.99,0.76,"Installation, Maintenance, and Repair Occupations",3.00,2.00,11400.00
Photographers,69.88,0.76,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,51230.00
Aerospace Engineers,35.39,0.76,Architecture and Engineering Occupations,4.00,5.00,68440.00
Graphic Designers,87.30,0.76,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,214260.00
"Umpires, Referees, and Other Sports Officials",30.69,0.76,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,15080.00
Legal Secretaries and Administrative Assistants,74.10,0.76,Office and Administrative Support Occupations,3.00,2.00,154540.00
Correspondence Clerks,71.06,0.76,Office and Administrative Support Occupations,2.00,1.00,6260.00
Museum Technicians and Conservators,65.40,0.76,Educational Instruction and Library Occupations,4.00,1.00,13070.00
Bioinformatics Technicians,89.38,0.76,Computer and Mathematical Occupations,4.00,5.00,4660.00
Wind Energy Engineers,32.49,0.76,Architecture and Engineering Occupations,4.00,5.00,3499.00
Ophthalmic Medical Technicians,3.35,0.76,Healthcare Practitioners and Technical Occupations,3.00,1.00,76520.00
Gambling Cage Workers,46.57,0.76,Office and Administrative Support Occupations,2.00,3.00,13490.00
Dental Assistants,41.18,0.76,Healthcare Support Occupations,3.00,2.00,375430.00
Parts Salespersons,62.45,0.76,Sales and Related Occupations,2.00,2.00,265060.00
Mechanical Engineers,55.70,0.76,Architecture and Engineering Occupations,4.00,5.00,99415.00
Solar Energy Systems Engineers,47.45,0.76,Architecture and Engineering Occupations,4.00,5.00,1591.00
Retail Salespersons,69.00,0.75,Sales and Related Occupations,2.00,2.00,3800250.00
"Production, Planning, and Expediting Clerks",65.36,0.75,Office and Administrative Support Occupations,2.00,3.00,385000.00
"Camera Operators, Television, Video, and Film",47.13,0.75,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,24460.00
Veterinary Assistants and Laboratory Animal Caretakers,30.73,0.75,Healthcare Support Occupations,2.00,2.00,114190.00
Credit Analysts,78.00,0.75,Business and Financial Operations Occupations,4.00,4.00,67370.00
Solar Energy Installation Managers,40.93,0.75,Construction and Extraction Occupations,3.00,4.00,322868.00
Robotics Engineers,64.19,0.75,Architecture and Engineering Occupations,4.00,5.00,24369.00
Library Technicians,68.01,0.75,Educational Instruction and Library Occupations,3.00,1.00,73770.00
Histotechnologists,13.99,0.75,Healthcare Practitioners and Technical Occupations,4.00,4.00,57173.33
Automotive Engineers,53.26,0.75,Architecture and Engineering Occupations,4.00,5.00,141126.00
Electrical and Electronics Drafters,57.61,0.75,Architecture and Engineering Occupations,3.00,3.00,20020.00
Animal Control Workers,53.28,0.75,Protective Service Occupations,2.00,2.00,11790.00
Industrial Engineering Technologists and Technicians,39.93,0.75,Architecture and Engineering Occupations,3.00,4.00,32570.00
Concierges,75.09,0.75,Personal Care and Service Occupations,2.00,1.00,44200.00
Nanotechnology Engineering Technologists and Technicians,31.88,0.75,Architecture and Engineering Occupations,4.00,3.00,40840.00
Postal Service Clerks,51.31,0.75,Office and Administrative Support Occupations,2.00,3.00,78060.00
Mechanical Engineering Technologists and Technicians,44.55,0.75,Architecture and Engineering Occupations,3.00,3.00,14740.00
Commercial Pilots,39.43,0.75,Transportation and Material Moving Occupations,3.00,3.00,51830.00
Food Science Technicians,48.63,0.74,"Life, Physical, and Social Science Occupations",3.00,2.00,9848.10
File Clerks,74.95,0.74,Office and Administrative Support Occupations,2.00,1.00,78980.00
Massage Therapists,22.52,0.74,Healthcare Support Occupations,3.00,4.00,96040.00
Special Effects Artists and Animators,58.54,0.74,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,21280.00
Computer Hardware Engineers,61.46,0.74,Architecture and Engineering Occupations,4.00,4.00,75710.00
Aviation Inspectors,22.75,0.74,Transportation and Material Moving Occupations,3.00,3.00,7773.33
Receptionists and Information Clerks,84.57,0.74,Office and Administrative Support Occupations,2.00,2.00,964530.00
"Geological Technicians, Except Hydrologic Technicians",31.74,0.74,"Life, Physical, and Social Science Occupations",4.00,3.00,7302.89
"Airline Pilots, Copilots, and Flight Engineers",33.76,0.74,Transportation and Material Moving Occupations,4.00,3.00,99300.00
Prepress Technicians and Workers,58.13,0.74,Production Occupations,3.00,1.00,23070.00
Quality Control Analysts,42.59,0.73,"Life, Physical, and Social Science Occupations",3.00,2.00,20858.00
Commercial and Industrial Designers,62.74,0.73,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,30250.00
Materials Scientists,55.91,0.73,"Life, Physical, and Social Science Occupations",4.00,4.00,8330.00
"Bookkeeping, Accounting, and Auditing Clerks",82.82,0.73,Office and Administrative Support Occupations,3.00,3.00,1455770.00
"Electronics Engineers, Except Computer",64.69,0.73,Architecture and Engineering Occupations,4.00,5.00,66013.00
Appraisers and Assessors of Real Estate,41.83,0.73,Business and Financial Operations Occupations,4.00,4.00,29535.00
"Arbitrators, Mediators, and Conciliators",44.24,0.73,Legal Occupations,5.00,4.00,7860.00
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",4.38,0.73,Transportation and Material Moving Occupations,2.00,3.00,12080.00
"Office Clerks, General",82.44,0.73,Office and Administrative Support Occupations,2.00,3.00,2510550.00
"Poets, Lyricists and Creative Writers",88.54,0.73,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,45017.00
Civil Engineering Technologists and Technicians,48.00,0.73,Architecture and Engineering Occupations,3.00,3.00,62130.00
Broadcast Technicians,56.23,0.73,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,21080.00
Firefighters,17.36,0.72,Protective Service Occupations,3.00,3.00,332240.00
Cargo and Freight Agents,66.58,0.72,Office and Administrative Support Occupations,2.00,2.00,30322.00
Dental Hygienists,20.52,0.72,Healthcare Practitioners and Technical Occupations,3.00,5.00,219070.00
"Library Assistants, Clerical",58.46,0.72,Office and Administrative Support Occupations,2.00,1.00,80070.00
Transportation Security Screeners,51.61,0.72,Protective Service Occupations,2.00,2.00,46340.00
"Computer, Automated Teller, and Office Machine Repairers",59.39,0.72,"Installation, Maintenance, and Repair Occupations",3.00,2.00,73010.00
Photonics Technicians,36.05,0.72,Architecture and Engineering Occupations,3.00,3.00,16713.00
Electrical and Electronic Engineering Technologists and Technicians,49.89,0.72,Architecture and Engineering Occupations,3.00,4.00,92710.00
Forest and Conservation Workers,14.95,0.71,"Farming, Fishing, and Forestry Occupations",2.00,1.00,5630.00
Fabric and Apparel Patternmakers,34.20,0.71,Production Occupations,3.00,2.00,2860.00
Fuel Cell Engineers,41.52,0.71,Architecture and Engineering Occupations,4.00,5.00,46219.00
Automotive Engineering Technicians,63.28,0.71,Architecture and Engineering Occupations,3.00,3.00,22710.00
Cytotechnologists,49.87,0.71,Healthcare Practitioners and Technical Occupations,5.00,4.00,42880.00
Parking Enforcement Workers,35.77,0.71,Protective Service Occupations,2.00,2.00,7770.00
Billing and Posting Clerks,66.60,0.71,Office and Administrative Support Occupations,3.00,3.00,417500.00
Nuclear Technicians,31.29,0.71,"Life, Physical, and Social Science Occupations",3.00,2.00,620.00
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",31.20,0.71,Protective Service Occupations,2.00,2.00,143590.00
"Hairdressers, Hairstylists, and Cosmetologists",48.77,0.71,Personal Care and Service Occupations,3.00,2.00,295460.00
Hazardous Materials Removal Workers,17.84,0.71,Construction and Extraction Occupations,3.00,3.00,50570.00
