category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,69613.42,2274270359.90,16.11,84119.94,2748198497.42,2.78,14506.52,473928137.52
Order Clerks,62.94,52502.09,2344743386.87,75.59,63056.64,2816109387.07,12.65,10554.55,471366000.20
Cost Estimators,56.37,123753.07,9537649137.43,59.14,129819.41,10005181864.55,2.76,6066.34,467532727.11
Aircraft Mechanics and Service Technicians,14.03,19133.35,1505412240.17,18.25,24884.75,1957931943.42,4.22,5751.39,452519703.25
Emergency Medical Technicians and Paramedics,10.79,29559.05,1484349117.53,13.97,38412.50,1928937327.55,3.18,8853.45,444588210.02
"Social Sciences Teachers, Postsecondary",76.00,79317.51,7099347233.14,81.41,84266.77,7538654363.31,5.42,4949.25,439307130.17
Miscellaneous Financial Specialists,73.94,102570.39,8225119876.53,82.95,107962.74,8657532499.86,9.02,5392.35,432412623.33
Advertising and Promotions Managers,53.17,11218.05,1424243219.10,68.99,14557.84,1848263989.43,15.83,3339.80,424020770.33
Statisticians,69.01,20040.59,2070193319.86,82.41,24133.75,2493016780.03,13.41,4093.16,422823460.17
Miscellaneous Personal Appearance Workers,23.63,54467.44,2149499862.14,27.93,66286.13,2565444564.51,4.30,11818.68,415944702.38
Sales Engineers,72.01,40822.69,4960773261.81,78.04,44238.08,5375811790.97,6.02,3415.39,415038529.16
Travel Agents,71.20,42117.17,2040577111.31,85.62,50646.14,2453805380.82,14.42,8528.96,413228269.50
Tutors,71.38,124666.70,4997887895.20,77.21,134861.40,5406593351.54,5.84,10194.70,408705456.35
Operations Research Analysts,70.69,76177.41,6954235988.85,74.82,80626.55,7360398199.47,4.13,4449.14,406162210.62
"Mail Clerks and Mail Machine Operators, Except Postal Service",22.21,13935.01,531620614.83,39.02,24476.69,933785775.59,16.80,10541.68,402165160.76
Artists and Related Workers,59.33,50064.08,4908423426.88,65.27,54274.07,5307918576.81,5.94,4209.99,399495149.93
Cutting Workers,14.35,8659.39,390403604.72,28.22,17490.74,789769915.94,13.87,8831.35,399366311.23
Sewing Machine Operators,11.19,12259.74,441350648.43,21.20,23232.76,836379467.39,10.01,10973.02,395028818.96
Budget Analysts,53.93,25440.97,2237024705.43,63.33,29873.85,2626807697.01,9.40,4432.88,389782991.57
Surgeons,12.19,3201.68,814072021.00,18.15,4724.78,1198795221.17,5.96,1523.10,384723200.17
Personal Service Managers,38.05,6982.38,468244375.75,65.44,12309.80,833900814.86,27.39,5327.43,365656439.11
Radio and Telecommunications Equipment Installers and Repairers,38.34,63866.71,4006509733.40,41.50,69700.62,4372106910.82,3.16,5833.91,365597177.42
"Computer, Automated Teller, and Office Machine Repairers",48.83,35653.63,1670728998.72,59.39,43362.00,2031943235.07,10.56,7708.37,361214236.35
"Physical Sciences Teachers, Postsecondary",70.57,36978.84,3430258200.64,78.09,40848.68,3790241074.80,7.52,3869.84,359982874.16
Stationary Engineers and Boiler Operators,20.10,6186.23,465142917.37,35.57,10948.94,823250727.73,15.47,4762.71,358107810.36
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",32.67,16243.61,741520907.91,48.16,23947.12,1093185803.41,15.49,7703.50,351664895.49
"Woodworking Machine Setters, Operators, and Tenders",25.36,26701.74,1073986687.80,33.87,35441.01,1425124263.88,8.50,8739.27,351137576.07
"Human Resources Assistants, Except Payroll and Timekeeping",82.15,76056.39,3760227791.07,89.79,83132.02,4110047310.58,7.64,7075.64,349819519.51
"Life Sciences Teachers, Postsecondary",74.57,47364.91,3988798156.03,80.99,51511.55,4337796075.08,6.42,4146.64,348997919.05
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,10650.94,480676702.00,31.94,18306.51,826172775.25,13.36,7655.57,345496073.25
Miscellaneous Media and Communication Workers,54.81,48899.53,2925878038.92,73.10,54002.16,3266614306.27,18.29,5102.63,340736267.36
Telemarketers,83.26,55310.12,1903221198.93,98.17,65211.45,2243926053.79,14.90,9901.33,340704854.86
Control and Valve Installers and Repairers,17.25,14525.49,1009650231.25,25.65,20026.51,1345925363.33,8.40,5501.02,336275132.08
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",74.16,36930.21,3634236399.69,80.94,40313.52,3960429239.28,6.78,3383.31,326192839.59
Lodging Managers,56.23,23250.77,1584074854.54,67.79,28033.03,1909890175.62,11.57,4782.26,325815321.08
Elevator and Escalator Installers and Repairers,8.02,1870.96,199406933.97,21.05,4914.11,523745605.97,13.04,3043.15,324338672.00
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",20.40,19933.92,947968378.14,28.50,26699.59,1270980754.10,8.11,6765.66,323012375.95
Construction Laborers,11.96,126495.77,5911147361.81,12.60,133293.78,6228818238.19,0.64,6798.01,317670876.39
Residential Advisors,42.88,35510.55,1391303175.39,52.60,43553.93,1706442928.94,9.71,8043.38,315139753.55
Compensation and Benefits Managers,55.61,11160.77,1566525265.20,66.71,13388.81,1879253068.89,11.10,2228.04,312727803.69
Brokerage Clerks,71.34,28602.14,1800218831.48,83.73,33567.86,2112761070.37,12.39,4965.72,312542238.89
Petroleum Engineers,20.42,3873.29,547218150.61,32.02,6073.62,858081555.53,11.60,2200.34,310863404.92
Parking Attendants,17.80,23964.20,829161160.85,24.40,32850.74,1136635640.40,6.60,8886.55,307474479.55
Training and Development Specialists,60.20,262836.61,17307790638.08,61.26,267473.20,17613110192.61,1.06,4636.59,305319554.53
Painting Workers,14.17,24061.24,1137439902.28,17.31,30423.06,1440198731.61,3.14,6361.82,302758829.33
Chemical Engineers,45.78,9307.81,1134249720.69,57.92,11776.05,1435029599.15,12.14,2468.24,300779878.47
Precision Instrument and Equipment Repairers,27.74,25212.66,1541231515.22,30.11,29983.58,1839952158.47,2.37,4770.92,298720643.25
"Models, Demonstrators, and Product Promoters",57.18,40201.37,1682487662.97,66.89,47861.74,1977740763.50,9.70,7660.37,295253100.53
Social Science Research Assistants,53.47,17611.60,1022177256.98,68.89,22691.02,1316986928.41,15.42,5079.42,294809671.42
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,9026.10,541114488.69,38.03,13789.80,826698553.19,13.14,4763.70,285584064.50
Transportation Service Attendants,16.76,21570.20,777750793.06,22.42,29358.47,1053463684.81,5.66,7788.27,275712891.75
Bioengineers and Biomedical Engineers,40.11,8767.64,937699357.97,51.82,11328.68,1211602123.77,11.72,2561.04,273902765.79
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",11.95,6040.14,368974153.89,18.00,10550.25,638882509.59,6.05,4510.11,269908355.70
Library Technicians,58.86,43422.30,1735589411.37,68.01,50168.20,2005222805.37,9.14,6745.89,269633394.00
Miscellaneous Health Practitioners and Technical Workers,24.21,24066.46,1558211874.90,28.57,28226.06,1825723315.97,4.36,4159.61,267511441.07
Ship and Boat Captains and Operators,15.62,7277.40,617455880.52,23.44,10417.63,880822204.83,7.82,3140.23,263366324.31
Environmental Science and Geoscience Technicians,23.55,15259.47,764298739.08,35.85,20188.11,1013023725.58,12.30,4928.64,248724986.50
Miscellaneous Social Scientists and Related Workers,66.31,31613.91,3180702024.15,70.16,34350.15,3427136471.62,3.85,2736.24,246434447.47
"Baggage Porters, Bellhops, and Concierges",42.98,38066.57,1408981117.18,51.61,44727.64,1654233938.73,8.62,6661.07,245252821.55
"Education and Library Science Teachers, Postsecondary",79.77,52316.36,3792311546.83,85.35,55639.94,4033463943.92,5.58,3323.57,241152397.10
Railroad Conductors and Yardmasters,18.88,8062.06,597237591.99,26.48,11310.07,837849802.85,7.60,3248.01,240612210.86
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,2324.66,137921987.11,21.46,6338.33,376053329.01,13.59,4013.68,238131341.89
Urban and Regional Planners,41.57,17893.08,1498008887.48,48.09,20696.99,1732751935.13,6.51,2803.91,234743047.65
Miscellaneous Metal Workers and Plastic Workers,17.77,9817.36,455451132.36,26.72,15023.72,688449301.05,8.96,5206.37,232998168.69
Procurement Clerks,69.39,41564.85,2016310849.08,77.32,46315.56,2246767785.28,7.93,4750.71,230456936.20
"Butchers and Other Meat, Poultry, and Fish Processing Workers",39.41,142389.66,5485781139.36,40.56,148299.14,5716014816.02,1.14,5909.49,230233676.65
Small Engine Mechanics,18.45,12834.74,625963651.45,23.07,17481.78,842507568.49,4.62,4647.03,216543917.04
Astronomers and Physicists,66.69,14815.01,2425005829.10,70.93,16104.47,2639329197.67,4.23,1289.46,214323368.57
Hazardous Materials Removal Workers,9.12,4614.05,223735080.38,17.84,9023.42,437545481.69,8.72,4409.37,213810401.30
"Barbers, Hairdressers, Hairstylists and Cosmetologists",31.89,141750.27,5005256586.32,35.76,147626.47,5216909079.94,3.86,5876.20,211652493.62
Semiconductor Processing Technicians,20.76,6675.18,341635865.47,33.29,10703.53,547806755.41,12.53,4028.35,206170889.94
Crane and Tower Operators,15.25,6403.02,424968572.59,22.62,9498.85,630438533.93,7.37,3095.83,205469961.34
Nurse Anesthetists,16.64,8378.90,1870255380.74,18.47,9299.13,2075659800.16,1.83,920.23,205404419.42
Photographers,60.56,31023.68,1319126934.42,69.88,35797.01,1522088770.89,9.32,4773.33,202961836.47
Computer and Information Research Scientists,75.93,29217.43,4117028448.42,79.64,30645.83,4318303362.26,3.71,1428.39,201274913.83
"News Analysts, Reporters and Journalists",50.37,20929.75,1261645030.05,58.29,24221.55,1460074802.99,7.92,3291.80,198429772.94
Materials Engineers,25.35,5771.79,625142630.57,33.29,7579.31,820914712.15,7.94,1807.52,195772081.58
Flight Attendants,36.73,47790.70,3208189751.53,38.93,50657.03,3400606732.69,2.20,2866.33,192416981.16
"Textile Machine Setters, Operators, and Tenders",13.28,5724.86,216732245.99,23.40,10816.94,408906433.78,10.12,5092.08,192174187.79
"Engineering and Architecture Teachers, Postsecondary",80.55,40142.43,4227098864.18,85.20,41971.18,4418319195.12,4.65,1828.76,191220330.95
Nuclear Engineers,16.68,2458.24,313475286.04,26.83,3954.97,504338034.37,10.15,1496.73,190862748.34
Miscellaneous Legal Support Workers,66.18,31880.07,1752766373.91,73.31,35311.83,1941444337.62,7.12,3431.76,188677963.71
Tool and Die Makers,22.89,12620.15,797340909.35,28.19,15543.64,982047015.51,5.30,2923.49,184706106.16
Home Appliance Repairers,27.39,8746.85,432181652.16,38.87,12416.47,613497956.80,11.49,3669.63,181316304.63
Line Installers and Repairers,29.40,64115.97,5087731194.09,30.29,66135.71,5261171646.73,0.89,2019.74,173440452.65
Conveyor Operators and Tenders,20.08,5232.64,215741822.40,35.52,9256.91,381662340.55,15.44,4024.27,165920518.16
Veterinarians,34.16,27545.77,3457269497.66,35.79,28860.35,3622263094.10,1.63,1314.59,164993596.44
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",25.77,4164.06,195752602.55,47.31,7645.96,359436451.21,21.55,3481.89,163683848.66
Agricultural and Food Science Technicians,34.22,8836.41,419620559.04,48.05,12260.01,581350202.64,13.83,3423.60,161729643.60
"Metal Furnace Operators, Tenders, Pourers, and Casters",17.61,4647.44,252393308.58,27.24,7509.40,409977205.36,9.64,2861.96,157583896.78
"Judges, Magistrates, and Other Judicial Workers",36.03,16199.88,1963492744.37,39.92,17610.01,2120488875.60,3.90,1410.13,156996131.24
Training and Development Managers,85.71,38536.10,4897553549.81,88.25,39679.15,5042823344.03,2.54,1143.05,145269794.22
Miscellaneous Health Technologists and Technicians,18.78,108930.04,5371824611.99,23.09,111657.42,5515678095.22,4.30,2727.38,143853483.23
Gambling Services Workers,44.48,42292.68,1398673241.90,51.21,46643.78,1541421791.27,6.72,4351.10,142748549.37
Actuaries,45.67,12943.55,1627910758.20,49.65,14071.91,1769823667.82,3.98,1128.35,141912909.63
Broadcast Announcers and Radio Disc Jockeys,42.82,10224.78,467067914.81,55.70,13300.35,607560069.09,12.88,3075.57,140492154.28
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,7545.45,726702745.36,63.29,8999.16,866709174.49,10.22,1453.71,140006429.13
"Miscellaneous Textile, Apparel, and Furnishings Workers",20.07,7445.39,354969926.68,28.12,10254.30,489209655.63,8.05,2808.91,134239728.95
Chemical Technicians,52.62,29280.34,1692110881.90,56.76,31583.28,1825197687.17,4.14,2302.94,133086805.26
Tour and Travel Guides,41.66,21318.12,781522247.53,48.85,24888.01,912394475.97,7.20,3569.89,130872228.44
"Switchboard Operators, Including Answering Service",72.58,25931.14,994977971.37,81.88,29256.27,1122563253.60,9.31,3325.13,127585282.23
Structural Iron and Steel Workers,9.69,6272.90,393310609.30,12.69,8211.41,514855105.85,3.00,1938.51,121544496.56
Private Detectives and Investigators,60.57,23438.69,1227483937.34,66.41,25700.62,1345941548.17,5.84,2261.94,118457610.82
Emergency Management Directors,26.92,3383.22,291396661.21,37.78,4749.48,409072828.65,10.87,1366.26,117676167.43
"Tank Car, Truck, and Ship Loaders",14.53,1587.14,92165439.29,33.08,3612.18,209759246.69,18.54,2025.04,117593807.40
Couriers and Messengers,33.87,24357.33,933860091.60,38.11,27406.20,1050753816.07,4.24,3048.87,116893724.47
Locomotive Engineers and Operators,18.43,6611.16,500163840.50,23.05,8159.17,616842213.04,4.62,1548.02,116678372.54
"Graders and Sorters, Agricultural Products",10.06,2701.89,95728014.83,21.78,5851.72,207326604.93,11.72,3149.83,111598590.10
Environmental Engineers,37.92,14389.42,1498945413.87,40.73,15457.13,1610169047.72,2.81,1067.71,111223633.85
Transportation Inspectors,20.83,4715.24,404331895.58,24.58,5997.55,514290150.82,3.76,1282.31,109958255.24
Fire Inspectors,17.97,3361.70,253705862.74,32.34,5020.39,363648998.29,14.36,1658.69,109943135.55
"Credit Authorizers, Checkers, and Clerks",35.11,4198.94,206293903.94,53.51,6400.25,314444363.79,18.41,2201.31,108150459.85
Subway and Streetcar Operators,16.84,1549.30,131427401.49,30.70,2823.95,239555662.08,13.85,1274.65,108128260.60
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,6168.62,303126116.99,28.53,8289.32,407336998.47,7.30,2120.69,104210881.48
"Opticians, Dispensing",20.21,16102.27,749721726.01,22.98,18311.99,852606187.57,2.77,2209.72,102884461.56
Occupational Therapy Assistants and Aides,20.83,9383.47,600368881.05,25.71,11049.49,701839681.29,4.88,1666.01,101470800.24
Sailors and Marine Oilers,8.72,2734.11,135639201.36,15.20,4768.03,236541722.24,6.49,2033.91,100902520.88
Traffic Technicians,26.05,1974.31,115457414.48,48.49,3675.58,214947702.09,22.44,1701.27,99490287.61
"Business Teachers, Postsecondary",80.38,65731.58,6393710512.18,81.60,66728.83,6490713338.80,1.22,997.25,97002826.62
Massage Therapists,20.80,19975.47,1157578282.70,22.52,21628.08,1253347319.14,1.72,1652.61,95769036.44
"Morticians, Undertakers, and Funeral Arrangers",22.38,5752.43,286470831.03,29.57,7598.46,378403415.16,7.18,1846.04,91932584.13
Conservation Scientists and Foresters,30.37,11683.96,797293396.58,34.53,12940.10,882926675.59,4.16,1256.14,85633279.01
"Drywall Installers, Ceiling Tile Installers, and Tapers",12.65,14100.19,827526773.68,13.56,15539.04,911181580.13,0.91,1438.85,83654806.45
Atmospheric and Space Scientists,58.78,5161.19,502957548.59,68.49,6013.74,586039095.13,9.71,852.56,83081546.54
Farm and Home Management Educators,36.57,3751.84,218057136.83,50.40,5170.59,300514711.29,13.83,1418.75,82457574.46
Marine Engineers and Naval Architects,29.69,2505.53,264759060.95,38.85,3279.29,346522111.83,9.17,773.76,81763050.88
Underground Mining Machine Operators,8.05,1670.41,111267922.72,13.52,2900.98,192757048.22,5.47,1230.57,81489125.50
Photographic Process Workers and Processing Machine Operators,20.87,1158.54,46457486.24,57.22,3175.61,127342061.19,36.34,2017.07,80884574.95
Ship Engineers,7.43,637.16,64556662.47,16.55,1420.02,143876614.12,9.12,782.87,79319951.65
Dietitians and Nutritionists,52.54,40226.41,2970720220.44,53.92,41284.39,3048852185.50,1.38,1057.98,78131965.06
Forest and Conservation Technicians,22.14,6880.15,373661045.10,26.68,8291.85,450330618.43,4.54,1411.70,76669573.33
Gambling Cage Workers,31.39,4234.91,156649465.60,46.57,6282.70,232397061.48,15.18,2047.79,75747595.89
Logging Workers,11.74,1916.46,96207306.52,17.94,3459.01,171386806.83,6.20,1542.55,75179500.30
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,1705.08,172247661.32,36.10,2444.10,246902907.74,10.92,739.01,74655246.42
Chiropractors,36.39,13694.86,1081893856.02,38.87,14626.50,1155493240.57,2.48,931.64,73599384.55
Miscellaneous Construction and Related Workers,14.19,4595.21,221121362.14,18.99,6116.78,294339672.32,4.80,1521.58,73218310.18
Agricultural and Food Scientists,43.06,14798.88,1161838706.79,45.59,15784.27,1232446248.81,2.52,985.39,70607542.02
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.67,17258.19,723925205.36,17.23,19028.77,791613416.93,1.56,1770.57,67688211.57
"Office Machine Operators, Except Computer",46.41,11481.15,447994386.29,53.09,13133.70,512476796.91,6.68,1652.55,64482410.62
Parking Enforcement Workers,18.67,1450.84,68407079.89,35.77,2779.45,131051239.92,17.10,1328.61,62644160.03
Passenger Attendants,47.01,11913.27,447462237.47,53.50,13557.71,509227626.39,6.49,1644.45,61765388.92
Correspondence Clerks,50.43,3157.19,147567116.07,71.06,4448.15,207906556.55,20.62,1290.96,60339440.48
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,594.00,35262244.26,13.67,1607.41,95422073.70,8.62,1013.41,60159829.44
"Miscellaneous Entertainers and Performers, Sports and Related Workers",25.07,2048.18,87717883.81,42.15,3443.77,147487216.54,17.08,1395.59,59769332.73
Surface Mining Machine Operators and Earth Drillers,7.75,4481.41,239895656.77,12.75,5452.01,297514478.65,5.00,970.61,57618821.88
Audiologists,21.24,3129.33,288274061.65,25.48,3753.54,345776244.99,4.24,624.21,57502183.33
Clergy,72.16,41912.64,2549126559.92,73.75,42832.66,2605082517.91,1.58,920.03,55955957.98
"Meter Readers, Utilities",42.77,8390.83,412660815.90,48.12,9441.03,464309712.82,5.35,1050.20,51648896.92
"Archivists, Curators, and Museum Technicians",74.82,24023.01,1374305321.51,77.90,25024.73,1422230594.48,3.08,1001.72,47925272.97
"Pressers, Textile, Garment, and Related Materials",10.75,2885.35,97755580.03,15.78,4233.15,143419223.31,5.02,1347.81,45663643.28
"Farmers, Ranchers, and Other Agricultural Managers",12.11,715.88,62983117.81,20.79,1228.55,108087776.62,8.67,512.67,45104658.81
Nuclear Technicians,27.56,2378.27,247910514.47,38.00,2782.60,290057993.13,10.44,404.33,42147478.67
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,687.70,45030593.96,10.36,1291.30,84554209.86,4.84,603.60,39523615.90
Glaziers,15.47,8817.47,488840598.19,16.68,9506.93,527064271.23,1.21,689.46,38223673.03
Bridge and Lock Tenders,0.00,0.00,0.00,22.87,622.12,36388031.40,22.87,622.12,36388031.40
Animal Control Workers,47.12,5555.77,254620804.05,53.28,6281.62,287886732.70,6.16,725.85,33265928.65
Wind Turbine Service Technicians,29.01,3254.59,203672324.84,33.26,3731.56,233520984.09,4.25,476.97,29848659.25
Economists,70.28,11059.49,1276708092.50,71.83,11317.89,1306536894.46,1.56,258.39,29828801.96
Telephone Operators,52.49,2073.24,81125946.13,71.71,2832.68,110842861.17,19.23,759.44,29716915.04
"Directors, Religious Activities and Education",60.18,12914.62,708237783.95,62.70,13455.68,737909694.01,2.52,541.06,29671910.06
Structural Metal Fabricators and Fitters,8.66,4623.95,230734904.31,9.74,5197.11,259335635.43,1.07,573.16,28600731.11
Cabinetmakers and Bench Carpenters,23.19,18449.25,849034553.79,23.96,19054.86,876904514.53,0.76,605.61,27869960.75
"Model Makers and Patternmakers, Metal and Plastic",25.37,1096.41,64275045.07,34.57,1551.48,91768211.34,9.19,455.07,27493166.27
Legislators,47.74,12655.12,567076001.28,50.04,13264.84,594397382.79,2.30,609.72,27321381.51
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",13.39,4404.73,271683528.33,14.70,4834.83,298212044.51,1.31,430.10,26528516.18
Miscellaneous Sales and Related Workers,40.73,1869.61,64557712.78,56.92,2612.61,90213260.06,16.19,742.99,25655547.29
Proofreaders and Copy Markers,54.18,2795.73,137577808.08,64.10,3307.41,162757715.61,9.92,511.68,25179907.53
Hoist and Winch Operators,8.77,217.53,11378906.70,28.06,696.00,36407825.38,19.29,478.47,25028918.68
Survey Researchers,60.41,4663.42,295567726.94,65.33,5043.47,319655262.91,4.92,380.05,24087535.97
Motion Picture Projectionists,9.83,191.64,7316970.48,41.51,809.41,30903205.67,31.68,617.76,23586235.19
"Roustabouts, Oil and Gas",2.46,1112.86,52872129.44,3.54,1605.44,76274407.17,1.09,492.58,23402277.74
Jewelers and Precious Stone and Metal Workers,23.01,5180.58,254573921.72,24.72,5633.88,276848655.98,1.71,453.29,22274734.27
"Tailors, Dressmakers, and Sewers",15.98,2766.60,110190439.12,17.88,3308.36,132326624.33,1.90,541.76,22136185.21
Desktop Publishers,69.89,2795.73,149907109.57,80.07,3202.77,171732347.97,10.18,407.04,21825238.40
Agricultural Inspectors,28.01,3386.59,172682372.56,31.08,3757.98,191619585.81,3.07,371.39,18937213.24
Embalmers and Crematory Operators,12.07,793.35,38454228.20,17.76,1138.03,56652769.46,5.70,344.67,18198541.26
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,65.37,2244046.91,4.38,529.71,18184843.77,3.84,464.34,15940796.86
Animal Trainers,14.76,2967.66,114997008.35,16.60,3338.48,129366230.45,1.84,370.82,14369222.11
Mathematicians,71.19,1580.52,192317891.92,76.41,1696.37,206414749.56,5.22,115.85,14096857.64
Advertising Sales Agents,83.62,81500.27,5009006853.49,83.84,81718.38,5022411507.33,0.22,218.10,13404653.84
"Helpers, Construction Trades",11.75,24299.32,979593380.23,12.18,24609.76,992843963.78,0.43,310.44,13250583.56
Solar Photovoltaic Installers,37.91,10721.61,556022628.88,38.80,10971.37,568975469.01,0.88,249.77,12952840.14
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,12.55,8282.95,375550909.92,13.20,8543.74,385570509.18,0.66,260.79,10019599.25
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,0.00,0.77,127.57,8594172.98,0.77,127.57,8594172.98
Forest and Conservation Workers,11.78,663.48,28980944.38,14.95,841.84,36771404.39,3.17,178.35,7790460.02
Statistical Assistants,84.01,4956.30,254952071.69,86.25,5088.50,261752421.86,2.24,132.20,6800350.17
Boilermakers,15.52,1578.87,115794638.26,16.31,1658.47,121632031.90,0.78,79.59,5837393.64
Miscellaneous Mathematical Science Occupations,87.67,4085.44,292068019.96,89.38,4164.94,297751615.80,1.71,79.50,5683595.84
Animal Breeders,47.23,817.13,42490601.59,53.29,921.91,47939568.61,6.06,104.79,5448967.02
Pest Control Workers,33.67,32357.78,1447363380.26,33.79,32479.17,1452793146.34,0.13,121.39,5429766.08
Agricultural Engineers,38.39,644.87,54575674.80,42.13,707.72,59894684.16,3.74,62.85,5319009.35
Dredge Operators,0.00,0.00,0.00,10.32,106.27,5146778.09,10.32,106.27,5146778.09
Fish and Game Wardens,37.81,2427.34,165495887.91,38.96,2501.26,170535672.33,1.15,73.92,5039784.43
Shoe and Leather Workers,9.51,1090.06,39778210.67,10.96,1187.93,43512670.43,1.45,97.86,3734459.76
Sociologists,70.51,2079.98,211513249.25,71.20,2100.46,213595484.11,0.69,20.48,2082234.86
"Model Makers and Patternmakers, Wood",28.59,144.60,7535848.60,34.87,182.55,9509930.03,6.28,37.96,1974081.43
"Brickmasons, Blockmasons, and Stonemasons",16.01,10898.20,654672835.97,16.09,10920.55,655834842.68,0.08,22.35,1162006.71
Timing Device Assemblers and Adjusters,9.74,22.39,913475.80,11.05,25.41,1036379.80,1.31,3.01,122904.00
Dishwashers,5.27,24840.27,836371961.69,5.27,24840.27,836371961.69,0.00,0.00,0.00
Electricians,43.47,322787.42,20125795934.22,43.47,322787.42,20125795934.22,0.00,0.00,0.00
Dancers and Choreographers,36.14,3768.46,200517855.50,36.14,3768.46,200517855.50,0.00,0.00,0.00
Dentists,27.69,40435.63,7002890529.10,27.69,40435.63,7002890529.10,0.00,0.00,0.00
Insulation Workers,22.69,12809.30,688254066.18,22.69,12809.30,688254066.18,0.00,0.00,0.00
Helpers--Extraction Workers,3.66,246.24,11917829.43,3.66,246.24,11917829.43,0.00,0.00,0.00
Highway Maintenance Workers,3.21,4876.48,239288991.31,3.21,4876.48,239288991.31,0.00,0.00,0.00
Optometrists,30.19,12646.24,1705093144.50,30.19,12646.24,1705093144.50,0.00,0.00,0.00
"Cement Masons, Concrete Finishers, and Terrazzo Workers",18.14,33389.76,1825855640.85,18.14,33389.76,1825855640.85,0.00,0.00,0.00
"Carpet, Floor, and Tile Installers and Finishers",13.01,11059.76,577285877.92,13.01,11059.76,577285877.92,0.00,0.00,0.00
Plasterers and Stucco Masons,29.14,6085.38,340902760.22,29.14,6085.38,340902760.22,0.00,0.00,0.00
Podiatrists,23.08,2197.35,335755535.36,23.08,2197.35,335755535.36,0.00,0.00,0.00
Engine and Other Machine Assemblers,18.72,7193.85,377965028.60,18.72,7193.85,377965028.60,0.00,0.00,0.00
Nurse Midwives,45.91,3801.12,489545994.76,45.91,3801.12,489545994.76,0.00,0.00,0.00
Painters and Paperhangers,21.50,44594.12,2169813770.39,21.50,44594.12,2169813770.39,0.00,0.00,0.00
Funeral Attendants,40.19,12282.66,425102764.87,40.19,12282.66,425102764.87,0.00,0.00,0.00
Sheet Metal Workers,31.58,37095.56,2257264820.85,31.58,37095.56,2257264820.85,0.00,0.00,0.00
"Rock Splitters, Quarry",6.41,197.41,9369051.84,6.41,197.41,9369051.84,0.00,0.00,0.00
Roofers,5.61,7669.47,390912879.58,5.61,7669.47,390912879.58,0.00,0.00,0.00
Furniture Finishers,16.17,2300.63,97845599.23,16.17,2300.63,97845599.23,0.00,0.00,0.00
Fishing and Hunting Workers,5.81,0.00,0.00,9.29,0.00,0.00,3.48,0.00,0.00
Reinforcing Iron and Rebar Workers,11.47,1622.44,96178104.29,11.47,1622.44,96178104.29,0.00,0.00,0.00
Fence Erectors,8.90,2014.14,94543927.06,8.90,2014.14,94543927.06,0.00,0.00,0.00
Fiberglass Laminators and Fabricators,10.34,1915.20,87639751.19,10.34,1915.20,87639751.19,0.00,0.00,0.00
