category,pct_tasks_affected,workers_affected,wages_affected,tier,ceiling_pct,gap_pp,rank
Dispose of waste or debris.,0.14,157.14,7721665.23,robust,0.28,0.14,320
Test sites or materials for environmental hazards.,0.07,41.21,2972219.27,robust,46.16,46.09,321
Tend watercraft.,0.00,0.00,0.00,robust,0.00,0.00,322
Manage control systems or activities.,0.00,0.00,0.00,robust,28.65,28.65,323
Hunt animals.,0.00,0.00,0.00,robust,0.00,0.00,324
Engrave objects.,0.00,0.00,0.00,robust,8.92,8.92,325
Embalm corpses.,0.00,0.00,0.00,robust,0.00,0.00,326
Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00,robust,3.95,3.95,327
Climb equipment or structures.,0.00,0.00,0.00,robust,0.00,0.00,328
Shape materials to create products.,0.00,0.00,0.00,robust,0.00,0.00,329
Set up protective structures or coverings near work areas.,0.00,0.00,0.00,robust,0.00,0.00,330
Supervise activities in correctional facilities.,0.00,0.00,0.00,robust,0.00,0.00,331
Smooth surfaces of objects or equipment.,0.00,0.00,0.00,robust,0.00,0.00,332
