task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,title_current,soc_code_2019,soc_code_2019_full,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,task_prop,dws_star_rating,job_zone,emp_change_pct__PROJ_2025_2034__,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",area ethnic and cultural studies teachers postsecondary,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.7411719230769231,4.36,96.88,1.0,4,5,2.4,E2,E2,85020.0,63090.0,81700.0,75680.0,85020.0,105220.0,79190.0,99900.0,85020.0,101700.0,66520.0,77630.0,85020.0,85020.0,90030.0,84970.0,85020.0,107120.0,74690.0,85020.0,103060.0,91330.0,100470.0,87840.0,81580.0,85020.0,85020.0,78690.0,85020.0,85020.0,125450.0,97500.0,85020.0,101800.0,66470.0,85020.0,80060.0,76600.0,80310.0,96010.0,104460.0,64500.0,85020.0,75060.0,72250.0,82990.0,85020.0,85960.0,81410.0,71200.0,78770.0,76170.0,85020.0,46660.0,85020.0,11300.0,50.0,80.0,240.0,94.0,770.0,160.0,310.0,35.0,230.0,120.0,450.0,45.0,62.0,220.0,260.0,113.0,90.0,90.0,140.0,50.0,520.0,610.0,460.0,280.0,84.0,212.0,90.0,74.0,112.0,80.0,480.0,63.00000000000001,1520.0,590.0,31.0,390.0,50.0,340.0,260.0,36.0,130.0,33.0,60.0,830.0,40.0,22.0,300.0,240.0,40.0,180.0,40.0,5.0,68.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",area ethnic and cultural studies teachers postsecondary,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.7411719230769231,4.36,96.88,1.0,4,5,2.4,E2,E2,85020.0,63090.0,81700.0,75680.0,85020.0,105220.0,79190.0,99900.0,85020.0,101700.0,66520.0,77630.0,85020.0,85020.0,90030.0,84970.0,85020.0,107120.0,74690.0,85020.0,103060.0,91330.0,100470.0,87840.0,81580.0,85020.0,85020.0,78690.0,85020.0,85020.0,125450.0,97500.0,85020.0,101800.0,66470.0,85020.0,80060.0,76600.0,80310.0,96010.0,104460.0,64500.0,85020.0,75060.0,72250.0,82990.0,85020.0,85960.0,81410.0,71200.0,78770.0,76170.0,85020.0,46660.0,85020.0,11300.0,50.0,80.0,240.0,94.0,770.0,160.0,310.0,35.0,230.0,120.0,450.0,45.0,62.0,220.0,260.0,113.0,90.0,90.0,140.0,50.0,520.0,610.0,460.0,280.0,84.0,212.0,90.0,74.0,112.0,80.0,480.0,63.00000000000001,1520.0,590.0,31.0,390.0,50.0,340.0,260.0,36.0,130.0,33.0,60.0,830.0,40.0,22.0,300.0,240.0,40.0,180.0,40.0,5.0,68.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",area ethnic and cultural studies teachers postsecondary,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,25-1062.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.7411719230769231,4.36,96.88,1.0,4,5,2.4,E2,E2,85020.0,63090.0,81700.0,75680.0,85020.0,105220.0,79190.0,99900.0,85020.0,101700.0,66520.0,77630.0,85020.0,85020.0,90030.0,84970.0,85020.0,107120.0,74690.0,85020.0,103060.0,91330.0,100470.0,87840.0,81580.0,85020.0,85020.0,78690.0,85020.0,85020.0,125450.0,97500.0,85020.0,101800.0,66470.0,85020.0,80060.0,76600.0,80310.0,96010.0,104460.0,64500.0,85020.0,75060.0,72250.0,82990.0,85020.0,85960.0,81410.0,71200.0,78770.0,76170.0,85020.0,46660.0,85020.0,11300.0,50.0,80.0,240.0,94.0,770.0,160.0,310.0,35.0,230.0,120.0,450.0,45.0,62.0,220.0,260.0,113.0,90.0,90.0,140.0,50.0,520.0,610.0,460.0,280.0,84.0,212.0,90.0,74.0,112.0,80.0,480.0,63.00000000000001,1520.0,590.0,31.0,390.0,50.0,340.0,260.0,36.0,130.0,33.0,60.0,830.0,40.0,22.0,300.0,240.0,40.0,180.0,40.0,5.0,68.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Economics Teachers, Postsecondary",economics teachers postsecondary,25-1063.00,"Economics Teachers, Postsecondary",25-1063,25-1063.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.6019223076923077,3.99,95.81,1.0,4,5,2.1,E2,E2,123920.0,101250.0,123920.0,137250.0,76610.0,137360.0,98870.0,155950.0,123920.0,161860.0,91140.0,117600.0,123920.0,123920.0,124850.0,105390.0,85090.0,103490.0,106250.0,132670.0,125960.0,133540.0,164410.0,129400.0,108460.0,88290.0,116530.0,123920.0,130980.0,123920.0,201610.0,109880.0,110020.0,127500.0,114200.0,123920.0,105930.0,107260.0,136450.0,117970.0,123920.0,109060.0,85700.0,104560.0,118530.0,128370.0,134850.0,128790.0,96500.0,91170.0,99970.0,123920.0,123920.0,123920.0,123920.0,11560.0,90.0,24.0,100.0,40.0,770.0,270.0,300.0,36.0,220.0,150.0,370.0,46.0,63.0,460.0,150.0,80.0,130.0,120.0,70.0,70.0,200.00000000000003,750.0,350.0,250.0,70.0,150.0,38.0,90.0,115.0,80.0,410.0,59.99999999999999,1240.0,490.0,32.0,410.0,110.0,180.0,610.0,37.0,110.0,40.0,250.0,770.0,150.0,80.0,460.0,190.0,40.0,310.0,21.0,5.0,69.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Economics Teachers, Postsecondary",economics teachers postsecondary,25-1063.00,"Economics Teachers, Postsecondary",25-1063,25-1063.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.6019223076923077,3.99,95.81,1.0,4,5,2.1,E2,E2,123920.0,101250.0,123920.0,137250.0,76610.0,137360.0,98870.0,155950.0,123920.0,161860.0,91140.0,117600.0,123920.0,123920.0,124850.0,105390.0,85090.0,103490.0,106250.0,132670.0,125960.0,133540.0,164410.0,129400.0,108460.0,88290.0,116530.0,123920.0,130980.0,123920.0,201610.0,109880.0,110020.0,127500.0,114200.0,123920.0,105930.0,107260.0,136450.0,117970.0,123920.0,109060.0,85700.0,104560.0,118530.0,128370.0,134850.0,128790.0,96500.0,91170.0,99970.0,123920.0,123920.0,123920.0,123920.0,11560.0,90.0,24.0,100.0,40.0,770.0,270.0,300.0,36.0,220.0,150.0,370.0,46.0,63.0,460.0,150.0,80.0,130.0,120.0,70.0,70.0,200.00000000000003,750.0,350.0,250.0,70.0,150.0,38.0,90.0,115.0,80.0,410.0,59.99999999999999,1240.0,490.0,32.0,410.0,110.0,180.0,610.0,37.0,110.0,40.0,250.0,770.0,150.0,80.0,460.0,190.0,40.0,310.0,21.0,5.0,69.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Economics Teachers, Postsecondary",economics teachers postsecondary,25-1063.00,"Economics Teachers, Postsecondary",25-1063,25-1063.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.6019223076923077,3.99,95.81,1.0,4,5,2.1,E2,E2,123920.0,101250.0,123920.0,137250.0,76610.0,137360.0,98870.0,155950.0,123920.0,161860.0,91140.0,117600.0,123920.0,123920.0,124850.0,105390.0,85090.0,103490.0,106250.0,132670.0,125960.0,133540.0,164410.0,129400.0,108460.0,88290.0,116530.0,123920.0,130980.0,123920.0,201610.0,109880.0,110020.0,127500.0,114200.0,123920.0,105930.0,107260.0,136450.0,117970.0,123920.0,109060.0,85700.0,104560.0,118530.0,128370.0,134850.0,128790.0,96500.0,91170.0,99970.0,123920.0,123920.0,123920.0,123920.0,11560.0,90.0,24.0,100.0,40.0,770.0,270.0,300.0,36.0,220.0,150.0,370.0,46.0,63.0,460.0,150.0,80.0,130.0,120.0,70.0,70.0,200.00000000000003,750.0,350.0,250.0,70.0,150.0,38.0,90.0,115.0,80.0,410.0,59.99999999999999,1240.0,490.0,32.0,410.0,110.0,180.0,610.0,37.0,110.0,40.0,250.0,770.0,150.0,80.0,460.0,190.0,40.0,310.0,21.0,5.0,69.0,2.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Geography Teachers, Postsecondary",geography teachers postsecondary,25-1064.00,"Geography Teachers, Postsecondary",25-1064,25-1064.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.5266892307692308,4.34,100.0,1.0,3,5,3.3,E2,E2,97590.0,97590.0,97590.0,82510.0,97590.0,146040.0,97590.0,105470.0,97590.0,97590.0,97590.0,85420.0,97590.0,97590.0,100790.0,82830.0,97590.0,97590.0,86790.0,97590.0,97590.0,103430.0,101870.0,81380.0,95890.0,75130.0,83530.0,97590.0,72300.0,97590.0,97590.0,78540.0,89060.0,100420.0,84630.0,97590.0,81290.0,84170.0,113500.0,97120.0,97590.0,85810.0,97590.0,81220.0,99510.0,97590.0,107790.0,97590.0,90550.0,97590.0,78710.0,97590.0,97590.0,97590.0,97590.0,3329.9999999999995,45.0,7.000000000000001,110.0,28.000000000000004,280.0,61.0,40.0,10.0,15.0,211.0,60.0,13.0,18.0,140.0,70.0,33.0,31.0,50.0,41.0,14.000000000000002,110.0,60.0,80.0,120.0,50.0,40.0,11.0,40.0,33.0,15.0,50.0,30.0,200.0,160.0,9.0,150.0,50.0,180.0,220.00000000000003,11.0,80.0,10.0,80.0,180.0,37.0,40.0,87.0,100.0,15.0,70.0,6.0,1.0,20.0,1.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Geography Teachers, Postsecondary",geography teachers postsecondary,25-1064.00,"Geography Teachers, Postsecondary",25-1064,25-1064.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.5266892307692308,4.34,100.0,1.0,3,5,3.3,E2,E2,97590.0,97590.0,97590.0,82510.0,97590.0,146040.0,97590.0,105470.0,97590.0,97590.0,97590.0,85420.0,97590.0,97590.0,100790.0,82830.0,97590.0,97590.0,86790.0,97590.0,97590.0,103430.0,101870.0,81380.0,95890.0,75130.0,83530.0,97590.0,72300.0,97590.0,97590.0,78540.0,89060.0,100420.0,84630.0,97590.0,81290.0,84170.0,113500.0,97120.0,97590.0,85810.0,97590.0,81220.0,99510.0,97590.0,107790.0,97590.0,90550.0,97590.0,78710.0,97590.0,97590.0,97590.0,97590.0,3329.9999999999995,45.0,7.000000000000001,110.0,28.000000000000004,280.0,61.0,40.0,10.0,15.0,211.0,60.0,13.0,18.0,140.0,70.0,33.0,31.0,50.0,41.0,14.000000000000002,110.0,60.0,80.0,120.0,50.0,40.0,11.0,40.0,33.0,15.0,50.0,30.0,200.0,160.0,9.0,150.0,50.0,180.0,220.00000000000003,11.0,80.0,10.0,80.0,180.0,37.0,40.0,87.0,100.0,15.0,70.0,6.0,1.0,20.0,1.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Geography Teachers, Postsecondary",geography teachers postsecondary,25-1064.00,"Geography Teachers, Postsecondary",25-1064,25-1064.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.5266892307692308,4.34,100.0,1.0,3,5,3.3,E2,E2,97590.0,97590.0,97590.0,82510.0,97590.0,146040.0,97590.0,105470.0,97590.0,97590.0,97590.0,85420.0,97590.0,97590.0,100790.0,82830.0,97590.0,97590.0,86790.0,97590.0,97590.0,103430.0,101870.0,81380.0,95890.0,75130.0,83530.0,97590.0,72300.0,97590.0,97590.0,78540.0,89060.0,100420.0,84630.0,97590.0,81290.0,84170.0,113500.0,97120.0,97590.0,85810.0,97590.0,81220.0,99510.0,97590.0,107790.0,97590.0,90550.0,97590.0,78710.0,97590.0,97590.0,97590.0,97590.0,3329.9999999999995,45.0,7.000000000000001,110.0,28.000000000000004,280.0,61.0,40.0,10.0,15.0,211.0,60.0,13.0,18.0,140.0,70.0,33.0,31.0,50.0,41.0,14.000000000000002,110.0,60.0,80.0,120.0,50.0,40.0,11.0,40.0,33.0,15.0,50.0,30.0,200.0,160.0,9.0,150.0,50.0,180.0,220.00000000000003,11.0,80.0,10.0,80.0,180.0,37.0,40.0,87.0,100.0,15.0,70.0,6.0,1.0,20.0,1.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Political Science Teachers, Postsecondary",political science teachers postsecondary,25-1065.00,"Political Science Teachers, Postsecondary",25-1065,25-1065.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.2629615384615384,4.36,100.0,1.0,3,5,2.0,E2,E2,98070.0,77860.0,98070.0,99910.0,58350.0,124890.0,98070.0,100230.0,98070.0,102310.0,77860.0,79870.0,98070.0,98070.0,100700.0,83770.0,80160.0,78800.0,78670.0,88090.0,96760.0,105630.0,128150.0,107060.0,97170.0,59270.0,94500.0,109050.0,86380.0,93300.0,124110.0,100260.0,80640.0,104050.0,78760.0,98070.0,80090.0,63400.0,83580.0,97230.0,101320.0,78650.0,72580.0,81330.0,86950.0,80610.0,107490.0,101430.0,101140.0,77420.0,83190.0,84750.0,98070.0,98070.0,98070.0,16970.0,180.0,35.0,190.0,80.0,1060.0,312.0,320.0,53.0,1120.0,270.0,470.0,68.0,93.0,460.0,630.0,100.0,80.0,140.0,70.0,59.99999999999999,370.0,920.0,380.0,250.0,90.0,280.0,55.0,50.00000000000001,70.0,90.0,650.0,40.0,1460.0,440.0,47.0,460.0,90.0,540.0,660.0,170.0,210.0,30.0,250.0,1890.0,70.0,80.0,830.0,450.0,70.0,290.0,40.0,7.0,102.0,3.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Political Science Teachers, Postsecondary",political science teachers postsecondary,25-1065.00,"Political Science Teachers, Postsecondary",25-1065,25-1065.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.2629615384615384,4.36,100.0,1.0,3,5,2.0,E2,E2,98070.0,77860.0,98070.0,99910.0,58350.0,124890.0,98070.0,100230.0,98070.0,102310.0,77860.0,79870.0,98070.0,98070.0,100700.0,83770.0,80160.0,78800.0,78670.0,88090.0,96760.0,105630.0,128150.0,107060.0,97170.0,59270.0,94500.0,109050.0,86380.0,93300.0,124110.0,100260.0,80640.0,104050.0,78760.0,98070.0,80090.0,63400.0,83580.0,97230.0,101320.0,78650.0,72580.0,81330.0,86950.0,80610.0,107490.0,101430.0,101140.0,77420.0,83190.0,84750.0,98070.0,98070.0,98070.0,16970.0,180.0,35.0,190.0,80.0,1060.0,312.0,320.0,53.0,1120.0,270.0,470.0,68.0,93.0,460.0,630.0,100.0,80.0,140.0,70.0,59.99999999999999,370.0,920.0,380.0,250.0,90.0,280.0,55.0,50.00000000000001,70.0,90.0,650.0,40.0,1460.0,440.0,47.0,460.0,90.0,540.0,660.0,170.0,210.0,30.0,250.0,1890.0,70.0,80.0,830.0,450.0,70.0,290.0,40.0,7.0,102.0,3.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Political Science Teachers, Postsecondary",political science teachers postsecondary,25-1065.00,"Political Science Teachers, Postsecondary",25-1065,25-1065.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.2629615384615384,4.36,100.0,1.0,3,5,2.0,E2,E2,98070.0,77860.0,98070.0,99910.0,58350.0,124890.0,98070.0,100230.0,98070.0,102310.0,77860.0,79870.0,98070.0,98070.0,100700.0,83770.0,80160.0,78800.0,78670.0,88090.0,96760.0,105630.0,128150.0,107060.0,97170.0,59270.0,94500.0,109050.0,86380.0,93300.0,124110.0,100260.0,80640.0,104050.0,78760.0,98070.0,80090.0,63400.0,83580.0,97230.0,101320.0,78650.0,72580.0,81330.0,86950.0,80610.0,107490.0,101430.0,101140.0,77420.0,83190.0,84750.0,98070.0,98070.0,98070.0,16970.0,180.0,35.0,190.0,80.0,1060.0,312.0,320.0,53.0,1120.0,270.0,470.0,68.0,93.0,460.0,630.0,100.0,80.0,140.0,70.0,59.99999999999999,370.0,920.0,380.0,250.0,90.0,280.0,55.0,50.00000000000001,70.0,90.0,650.0,40.0,1460.0,440.0,47.0,460.0,90.0,540.0,660.0,170.0,210.0,30.0,250.0,1890.0,70.0,80.0,830.0,450.0,70.0,290.0,40.0,7.0,102.0,3.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Psychology Teachers, Postsecondary",psychology teachers postsecondary,25-1066.00,"Psychology Teachers, Postsecondary",25-1066,25-1066.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.438365,4.21,95.72,0.9310344827586208,4,5,3.6,E2,E2,80340.0,75340.0,79040.0,78610.0,60730.0,107340.0,76810.0,84500.0,102340.0,101250.0,69050.0,79440.0,80340.0,83010.0,77860.0,77820.0,78450.0,79730.0,74520.0,91340.0,81660.0,101430.0,82930.0,99900.0,82640.0,62590.0,79240.0,77120.0,77340.0,81300.0,95030.0,80790.0,83600.0,100720.0,75260.0,97110.0,78530.0,61720.0,80060.0,75960.0,94360.0,74890.0,65020.0,76010.0,77060.0,93090.0,81100.0,77950.0,78330.0,74280.0,77580.0,65050.0,80340.0,66580.0,80340.0,41530.0,610.0,70.0,940.0,190.0,4410.0,960.0,920.0,129.0,340.0,1120.0,820.0,166.0,180.0,2260.0,760.0,320.0,230.0,590.0,140.0,110.0,640.0,2640.0,920.0,760.0,260.0,590.0,90.0,170.0,140.0,110.0,1630.0,100.0,4070.0,1100.0,60.00000000000001,1500.0,410.0,660.0,2120.0,180.0,390.0,70.0,790.0,3380.0,200.0,100.0,1050.0,840.0,150.0,630.0,80.0,18.0,400.0,9.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Prepare tests.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Psychology Teachers, Postsecondary",psychology teachers postsecondary,25-1066.00,"Psychology Teachers, Postsecondary",25-1066,25-1066.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.438365,4.21,95.72,0.9310344827586208,4,5,3.6,E2,E2,80340.0,75340.0,79040.0,78610.0,60730.0,107340.0,76810.0,84500.0,102340.0,101250.0,69050.0,79440.0,80340.0,83010.0,77860.0,77820.0,78450.0,79730.0,74520.0,91340.0,81660.0,101430.0,82930.0,99900.0,82640.0,62590.0,79240.0,77120.0,77340.0,81300.0,95030.0,80790.0,83600.0,100720.0,75260.0,97110.0,78530.0,61720.0,80060.0,75960.0,94360.0,74890.0,65020.0,76010.0,77060.0,93090.0,81100.0,77950.0,78330.0,74280.0,77580.0,65050.0,80340.0,66580.0,80340.0,41530.0,610.0,70.0,940.0,190.0,4410.0,960.0,920.0,129.0,340.0,1120.0,820.0,166.0,180.0,2260.0,760.0,320.0,230.0,590.0,140.0,110.0,640.0,2640.0,920.0,760.0,260.0,590.0,90.0,170.0,140.0,110.0,1630.0,100.0,4070.0,1100.0,60.00000000000001,1500.0,410.0,660.0,2120.0,180.0,390.0,70.0,790.0,3380.0,200.0,100.0,1050.0,840.0,150.0,630.0,80.0,18.0,400.0,9.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Evaluate student work.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Psychology Teachers, Postsecondary",psychology teachers postsecondary,25-1066.00,"Psychology Teachers, Postsecondary",25-1066,25-1066.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,True,5.0,0.0023868572865323,2026-02-12,0.438365,4.21,95.72,0.9310344827586208,4,5,3.6,E2,E2,80340.0,75340.0,79040.0,78610.0,60730.0,107340.0,76810.0,84500.0,102340.0,101250.0,69050.0,79440.0,80340.0,83010.0,77860.0,77820.0,78450.0,79730.0,74520.0,91340.0,81660.0,101430.0,82930.0,99900.0,82640.0,62590.0,79240.0,77120.0,77340.0,81300.0,95030.0,80790.0,83600.0,100720.0,75260.0,97110.0,78530.0,61720.0,80060.0,75960.0,94360.0,74890.0,65020.0,76010.0,77060.0,93090.0,81100.0,77950.0,78330.0,74280.0,77580.0,65050.0,80340.0,66580.0,80340.0,41530.0,610.0,70.0,940.0,190.0,4410.0,960.0,920.0,129.0,340.0,1120.0,820.0,166.0,180.0,2260.0,760.0,320.0,230.0,590.0,140.0,110.0,640.0,2640.0,920.0,760.0,260.0,590.0,90.0,170.0,140.0,110.0,1630.0,100.0,4070.0,1100.0,60.00000000000001,1500.0,410.0,660.0,2120.0,180.0,390.0,70.0,790.0,3380.0,200.0,100.0,1050.0,840.0,150.0,630.0,80.0,18.0,400.0,9.0
"Compile, administer, and grade examinations, or assign this work to others.",compile administer and grade examinations or assign this work to others,Administer tests to assess educational needs or progress.,"Assess student capabilities, needs, or performance.","Judging the Qualities of Objects, Services, or People","Sociology Teachers, Postsecondary",sociology teachers postsecondary,25-1067.00,"Sociology Teachers, Postsecondary",25-1067,25-1067.00,"Social Sciences Teachers, Postsecondary",Postsecondary Teachers,Educational Instruction and Library Occupations,False,5.0,0.0023868572865323,2026-02-12,0.4524876923076923,4.4,100.0,0.9583333333333334,3,5,2.1,E2,E2,84290.0,73670.0,84290.0,78430.0,62390.0,127680.0,78630.0,101490.0,123710.0,103160.0,63470.0,84330.0,84290.0,84140.0,82610.0,79880.0,81910.0,78630.0,61260.0,83700.0,76010.0,95980.0,96790.0,102870.0,87340.0,70860.0,77800.0,75880.0,76230.0,87480.0,112890.0,78350.0,77740.0,97540.0,76430.0,84290.0,79690.0,64900.0,101960.0,99660.0,84290.0,78410.0,64210.0,77370.0,81220.0,99350.0,87620.0,78120.0,83140.0,77380.0,84960.0,84290.0,84290.0,84090.0,84290.0,11850.0,210.0,25.0,230.0,30.0,810.0,220.0,320.0,37.0,70.0,230.0,230.0,48.0,50.0,440.0,290.0,140.0,110.0,150.0,80.0,80.0,200.0,580.0,370.0,240.0,90.0,100.0,30.0,70.0,100.0,40.0,550.0,50.0,1130.0,550.0,33.0,550.0,120.0,150.0,440.0,38.0,120.0,40.0,190.0,1040.0,70.0,40.0,400.0,200.0,60.0,450.0,21.0,5.0,70.0,2.0
