iwa,pct_first,pct_last,total_gain_pp,early_gain_pp,late_gain_pp,current_zone
Cut materials.,7.48,7.48,0.00,0.00,0.00,low (<10%)
Cut trees or other vegetation.,5.25,5.25,0.00,0.00,0.00,low (<10%)
Direct security or safety activities or operations.,7.43,7.43,0.00,0.00,0.00,low (<10%)
Direct vehicle traffic.,4.25,4.25,0.00,0.00,0.00,low (<10%)
Climb equipment or structures.,0.00,0.00,0.00,0.00,0.00,low (<10%)
"Clean workpieces, finished products, or other objects.",3.28,3.28,0.00,0.00,0.00,low (<10%)
Signal others to coordinate work activities.,1.79,1.79,0.00,0.00,0.00,low (<10%)
Shape materials to create products.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Set up protective structures or coverings near work areas.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Smooth surfaces of objects or equipment.,0.00,0.00,0.00,0.00,0.00,low (<10%)
