iwa,threshold,crossed_date,pct_last,pct_first
Fabricate devices or components.,66.00,,6.47,5.83
Fabricate medical devices.,10.00,,5.26,4.82
Fabricate medical devices.,33.00,,5.26,4.82
Fabricate medical devices.,66.00,,5.26,4.82
Fit assistive devices to patients or clients.,10.00,2024-09-30,14.15,14.15
Fit assistive devices to patients or clients.,33.00,,14.15,14.15
Fit assistive devices to patients or clients.,66.00,,14.15,14.15
Follow standard healthcare safety procedures to protect patient and staff members.,10.00,2024-09-30,13.12,13.12
Follow standard healthcare safety procedures to protect patient and staff members.,33.00,,13.12,13.12
Follow standard healthcare safety procedures to protect patient and staff members.,66.00,,13.12,13.12
Gather data about operational or development activities.,10.00,2024-09-30,58.82,54.92
Gather data about operational or development activities.,33.00,2024-09-30,58.82,54.92
Gather data about operational or development activities.,66.00,,58.82,54.92
Gather information for news stories.,10.00,2024-09-30,53.38,53.38
Gather information for news stories.,33.00,2024-09-30,53.38,53.38
Gather information for news stories.,66.00,,53.38,53.38
Gather information from physical or electronic sources.,10.00,2024-09-30,70.70,58.16
Gather information from physical or electronic sources.,33.00,2024-09-30,70.70,58.16
Gather information from physical or electronic sources.,66.00,2025-08-11,70.70,58.16
Groom or style hair.,10.00,2025-11-13,12.52,0.00
Groom or style hair.,33.00,,12.52,0.00
Groom or style hair.,66.00,,12.52,0.00
Hunt animals.,10.00,,0.00,0.00
Hunt animals.,33.00,,0.00,0.00
Hunt animals.,66.00,,0.00,0.00
Identify business or organizational opportunities.,10.00,2024-09-30,66.33,49.44
Identify business or organizational opportunities.,33.00,2024-09-30,66.33,49.44
Identify business or organizational opportunities.,66.00,2026-02-12,66.33,49.44
Implement procedures or processes.,10.00,2024-09-30,71.76,60.43
Implement procedures or processes.,33.00,2024-09-30,71.76,60.43
Implement procedures or processes.,66.00,2025-08-11,71.76,60.43
Implement security measures for computer or information systems.,10.00,2024-09-30,72.78,23.06
Implement security measures for computer or information systems.,33.00,2025-03-06,72.78,23.06
Implement security measures for computer or information systems.,66.00,2025-11-13,72.78,23.06
Inspect characteristics or conditions of materials or products.,10.00,2024-09-30,54.36,51.30
Inspect characteristics or conditions of materials or products.,33.00,2024-09-30,54.36,51.30
Inspect characteristics or conditions of materials or products.,66.00,,54.36,51.30
"Inspect commercial, industrial, or production systems or equipment.",10.00,2025-11-13,10.98,6.47
"Inspect commercial, industrial, or production systems or equipment.",33.00,,10.98,6.47
"Inspect commercial, industrial, or production systems or equipment.",66.00,,10.98,6.47
Inspect completed work or finished products.,10.00,2025-08-11,11.26,7.28
Inspect completed work or finished products.,33.00,,11.26,7.28
Inspect completed work or finished products.,66.00,,11.26,7.28
Inspect facilities or equipment.,10.00,,9.28,5.02
Inspect facilities or equipment.,33.00,,9.28,5.02
Inspect facilities or equipment.,66.00,,9.28,5.02
Inspect vehicles.,10.00,,6.05,4.52
Inspect vehicles.,33.00,,6.05,4.52
Inspect vehicles.,66.00,,6.05,4.52
Install commercial or production equipment.,10.00,2024-09-30,14.82,12.70
Install commercial or production equipment.,33.00,,14.82,12.70
Install commercial or production equipment.,66.00,,14.82,12.70
Install energy or heating equipment.,10.00,,7.61,7.61
Install energy or heating equipment.,33.00,,7.61,7.61
Install energy or heating equipment.,66.00,,7.61,7.61
Install plumbing or piping equipment or systems.,10.00,,7.06,7.06
Install plumbing or piping equipment or systems.,33.00,,7.06,7.06
Install plumbing or piping equipment or systems.,66.00,,7.06,7.06
"Interpret language, cultural, or religious information for others.",10.00,2024-09-30,82.80,53.38
"Interpret language, cultural, or religious information for others.",33.00,2024-09-30,82.80,53.38
"Interpret language, cultural, or religious information for others.",66.00,2025-03-06,82.80,53.38
Intervene in crisis situations or emergencies.,10.00,2024-09-30,10.23,10.23
Intervene in crisis situations or emergencies.,33.00,,10.23,10.23
Intervene in crisis situations or emergencies.,66.00,,10.23,10.23
Interview people to obtain information.,10.00,2024-09-30,50.46,40.88
Interview people to obtain information.,33.00,2024-09-30,50.46,40.88
Interview people to obtain information.,66.00,,50.46,40.88
Investigate criminal or legal matters.,10.00,2024-09-30,56.27,49.44
Investigate criminal or legal matters.,33.00,2024-09-30,56.27,49.44
Investigate criminal or legal matters.,66.00,,56.27,49.44
Investigate incidents or accidents.,10.00,2024-09-30,55.57,51.13
Investigate incidents or accidents.,33.00,2024-09-30,55.57,51.13
Investigate incidents or accidents.,66.00,,55.57,51.13
"Investigate individuals' background, behavior, or activities.",10.00,2024-09-30,59.90,52.95
"Investigate individuals' background, behavior, or activities.",33.00,2024-09-30,59.90,52.95
"Investigate individuals' background, behavior, or activities.",66.00,,59.90,52.95
Investigate organizational or operational problems.,10.00,2024-09-30,54.41,53.38
Investigate organizational or operational problems.,33.00,2024-09-30,54.41,53.38
Investigate organizational or operational problems.,66.00,,54.41,53.38
Investigate the environmental impact of industrial or development activities.,10.00,2024-09-30,18.25,10.49
Investigate the environmental impact of industrial or development activities.,33.00,,18.25,10.49
Investigate the environmental impact of industrial or development activities.,66.00,,18.25,10.49
Issue documentation.,10.00,2024-09-30,56.93,53.74
Issue documentation.,33.00,2024-09-30,56.93,53.74
Issue documentation.,66.00,,56.93,53.74
"Join parts using soldering, welding, or brazing techniques.",10.00,,5.59,5.59
"Join parts using soldering, welding, or brazing techniques.",33.00,,5.59,5.59
"Join parts using soldering, welding, or brazing techniques.",66.00,,5.59,5.59
"Load products, materials, or equipment for transportation or further processing.",10.00,,5.52,5.52
"Load products, materials, or equipment for transportation or further processing.",33.00,,5.52,5.52
"Load products, materials, or equipment for transportation or further processing.",66.00,,5.52,5.52
Maintain current knowledge in area of expertise.,10.00,2024-09-30,72.04,54.81
Maintain current knowledge in area of expertise.,33.00,2024-09-30,72.04,54.81
Maintain current knowledge in area of expertise.,66.00,2025-11-13,72.04,54.81
"Maintain electronic, computer, or other technical equipment.",10.00,2024-09-30,61.98,54.35
"Maintain electronic, computer, or other technical equipment.",33.00,2024-09-30,61.98,54.35
"Maintain electronic, computer, or other technical equipment.",66.00,,61.98,54.35
Maintain facilities or equipment.,10.00,2024-09-30,55.23,54.80
Maintain facilities or equipment.,33.00,2024-09-30,55.23,54.80
Maintain facilities or equipment.,66.00,,55.23,54.80
Maintain health or medical records.,10.00,2025-03-06,33.32,6.13
Maintain health or medical records.,33.00,2026-02-12,33.32,6.13
Maintain health or medical records.,66.00,,33.32,6.13
Maintain medical equipment or instruments.,10.00,,4.03,1.17
Maintain medical equipment or instruments.,33.00,,4.03,1.17
Maintain medical equipment or instruments.,66.00,,4.03,1.17
Maintain operational records.,10.00,2025-08-11,21.23,4.04
Maintain operational records.,33.00,,21.23,4.04
Maintain operational records.,66.00,,21.23,4.04
Maintain safety or security.,10.00,2024-09-30,46.96,42.62
Maintain safety or security.,33.00,2024-09-30,46.96,42.62
Maintain safety or security.,66.00,,46.96,42.62
Maintain sales or financial records.,10.00,2024-09-30,28.09,10.55
Maintain sales or financial records.,33.00,,28.09,10.55
Maintain sales or financial records.,66.00,,28.09,10.55
Maintain tools or equipment.,10.00,,6.36,5.38
Maintain tools or equipment.,33.00,,6.36,5.38
Maintain tools or equipment.,66.00,,6.36,5.38
Maintain vehicles in working condition.,10.00,,6.01,2.77
Maintain vehicles in working condition.,33.00,,6.01,2.77
Maintain vehicles in working condition.,66.00,,6.01,2.77
Make legal decisions.,10.00,2025-03-06,22.26,3.20
Make legal decisions.,33.00,,22.26,3.20
Make legal decisions.,66.00,,22.26,3.20
Manage agricultural or forestry operations.,10.00,,2.65,1.76
Manage agricultural or forestry operations.,33.00,,2.65,1.76
Manage agricultural or forestry operations.,66.00,,2.65,1.76
Manage budgets or finances.,10.00,2025-03-06,42.79,4.61
Manage budgets or finances.,33.00,2025-08-11,42.79,4.61
Manage budgets or finances.,66.00,,42.79,4.61
Manage control systems or activities.,10.00,,0.00,0.00
Manage control systems or activities.,33.00,,0.00,0.00
Manage control systems or activities.,66.00,,0.00,0.00
Manage human resources activities.,10.00,2025-03-06,30.74,9.55
Manage human resources activities.,33.00,,30.74,9.55
Manage human resources activities.,66.00,,30.74,9.55
Mark materials or objects for identification.,10.00,2026-02-12,10.63,5.44
Mark materials or objects for identification.,33.00,,10.63,5.44
Mark materials or objects for identification.,66.00,,10.63,5.44
"Measure physical characteristics of materials, products, or equipment.",10.00,2024-09-30,53.59,49.49
"Measure physical characteristics of materials, products, or equipment.",33.00,2024-09-30,53.59,49.49
"Measure physical characteristics of materials, products, or equipment.",66.00,,53.59,49.49
Mediate disputes.,10.00,2024-09-30,18.73,12.24
Mediate disputes.,33.00,,18.73,12.24
Mediate disputes.,66.00,,18.73,12.24
Monitor environmental conditions.,10.00,,9.94,9.76
Monitor environmental conditions.,33.00,,9.94,9.76
Monitor environmental conditions.,66.00,,9.94,9.76
Monitor equipment operation.,10.00,,7.18,5.05
Monitor equipment operation.,33.00,,7.18,5.05
Monitor equipment operation.,66.00,,7.18,5.05
"Monitor external affairs, trends, or events.",10.00,2024-09-30,64.13,51.30
"Monitor external affairs, trends, or events.",33.00,2024-09-30,64.13,51.30
"Monitor external affairs, trends, or events.",66.00,,64.13,51.30
Monitor financial data or activities.,10.00,2025-03-06,52.22,3.58
Monitor financial data or activities.,33.00,2025-11-13,52.22,3.58
Monitor financial data or activities.,66.00,,52.22,3.58
Monitor health conditions of humans or animals.,10.00,2025-08-11,19.06,4.63
Monitor health conditions of humans or animals.,33.00,,19.06,4.63
Monitor health conditions of humans or animals.,66.00,,19.06,4.63
Monitor individual behavior or performance.,10.00,2024-09-30,57.29,47.17
Monitor individual behavior or performance.,33.00,2024-09-30,57.29,47.17
Monitor individual behavior or performance.,66.00,,57.29,47.17
Monitor operation of computer or information technologies.,10.00,2024-09-30,67.21,49.44
Monitor operation of computer or information technologies.,33.00,2024-09-30,67.21,49.44
Monitor operation of computer or information technologies.,66.00,2025-11-13,67.21,49.44
Monitor operations to ensure adequate performance.,10.00,2026-02-12,12.22,3.40
Monitor operations to ensure adequate performance.,33.00,,12.22,3.40
Monitor operations to ensure adequate performance.,66.00,,12.22,3.40
Monitor operations to ensure compliance with regulations or standards.,10.00,2025-03-06,22.81,8.38
Monitor operations to ensure compliance with regulations or standards.,33.00,,22.81,8.38
Monitor operations to ensure compliance with regulations or standards.,66.00,,22.81,8.38
Monitor resources or inventories.,10.00,2025-03-06,20.80,9.35
Monitor resources or inventories.,33.00,,20.80,9.35
Monitor resources or inventories.,66.00,,20.80,9.35
"Monitor safety or security of work areas, facilities, or properties.",10.00,2025-03-06,13.27,8.55
"Monitor safety or security of work areas, facilities, or properties.",33.00,,13.27,8.55
"Monitor safety or security of work areas, facilities, or properties.",66.00,,13.27,8.55
Monitor traffic conditions.,10.00,,3.80,3.80
Monitor traffic conditions.,33.00,,3.80,3.80
Monitor traffic conditions.,66.00,,3.80,3.80
"Move materials, equipment, or supplies.",10.00,,6.22,4.29
"Move materials, equipment, or supplies.",33.00,,6.22,4.29
"Move materials, equipment, or supplies.",66.00,,6.22,4.29
Negotiate contracts or agreements.,10.00,2025-03-06,30.13,6.50
Negotiate contracts or agreements.,33.00,,30.13,6.50
Negotiate contracts or agreements.,66.00,,30.13,6.50
Notify others of emergencies or problems.,10.00,,8.80,7.81
Notify others of emergencies or problems.,33.00,,8.80,7.81
Notify others of emergencies or problems.,66.00,,8.80,7.81
Obtain formal documentation or authorization.,10.00,2024-09-30,54.98,54.92
Obtain formal documentation or authorization.,33.00,2024-09-30,54.98,54.92
Obtain formal documentation or authorization.,66.00,,54.98,54.92
Obtain information about goods or services.,10.00,2024-09-30,77.84,64.44
Obtain information about goods or services.,33.00,2024-09-30,77.84,64.44
Obtain information about goods or services.,66.00,2025-08-11,77.84,64.44
Operate agricultural or forestry equipment.,10.00,,1.73,1.73
Operate agricultural or forestry equipment.,33.00,,1.73,1.73
Operate agricultural or forestry equipment.,66.00,,1.73,1.73
Operate audiovisual or related equipment.,10.00,2025-03-06,26.61,9.92
Operate audiovisual or related equipment.,33.00,,26.61,9.92
Operate audiovisual or related equipment.,66.00,,26.61,9.92
Operate communications equipment or systems.,10.00,2024-09-30,56.16,51.30
Operate communications equipment or systems.,33.00,2024-09-30,56.16,51.30
Operate communications equipment or systems.,66.00,,56.16,51.30
Operate computer systems or computerized equipment.,10.00,2024-09-30,76.50,49.65
Operate computer systems or computerized equipment.,33.00,2024-09-30,76.50,49.65
Operate computer systems or computerized equipment.,66.00,2025-08-11,76.50,49.65
Operate construction or excavation equipment.,10.00,,0.91,0.91
Operate construction or excavation equipment.,33.00,,0.91,0.91
Operate construction or excavation equipment.,66.00,,0.91,0.91
Operate cutting or grinding equipment.,10.00,,3.05,3.05
Operate cutting or grinding equipment.,33.00,,3.05,3.05
Operate cutting or grinding equipment.,66.00,,3.05,3.05
Operate energy production or distribution equipment.,10.00,,6.70,1.13
Operate energy production or distribution equipment.,33.00,,6.70,1.13
Operate energy production or distribution equipment.,66.00,,6.70,1.13
Operate industrial processing or production equipment.,10.00,,8.01,5.39
Operate industrial processing or production equipment.,33.00,,8.01,5.39
Operate industrial processing or production equipment.,66.00,,8.01,5.39
Operate laboratory or field equipment.,10.00,2024-09-30,18.63,10.20
Operate laboratory or field equipment.,33.00,,18.63,10.20
Operate laboratory or field equipment.,66.00,,18.63,10.20
Operate lifting or moving equipment.,10.00,,0.87,0.87
Operate lifting or moving equipment.,33.00,,0.87,0.87
Operate lifting or moving equipment.,66.00,,0.87,0.87
Operate medical equipment.,10.00,2025-03-06,16.85,6.27
Operate medical equipment.,33.00,,16.85,6.27
Operate medical equipment.,66.00,,16.85,6.27
Operate office equipment.,10.00,2024-09-30,63.06,51.30
Operate office equipment.,33.00,2024-09-30,63.06,51.30
Operate office equipment.,66.00,,63.06,51.30
Operate pumping systems or equipment.,10.00,,6.63,6.63
Operate pumping systems or equipment.,33.00,,6.63,6.63
Operate pumping systems or equipment.,66.00,,6.63,6.63
Operate transportation equipment or vehicles.,10.00,,1.41,1.26
Operate transportation equipment or vehicles.,33.00,,1.41,1.26
Operate transportation equipment or vehicles.,66.00,,1.41,1.26
Order medical tests or procedures.,10.00,2024-09-30,37.90,29.98
Order medical tests or procedures.,33.00,2025-08-11,37.90,29.98
Order medical tests or procedures.,66.00,,37.90,29.98
Package objects.,10.00,,4.92,3.77
Package objects.,33.00,,4.92,3.77
Package objects.,66.00,,4.92,3.77
Perform administrative or clerical activities.,10.00,2024-09-30,69.62,51.59
Perform administrative or clerical activities.,33.00,2024-09-30,69.62,51.59
Perform administrative or clerical activities.,66.00,2025-11-13,69.62,51.59
Perform agricultural activities.,10.00,,2.70,2.70
Perform agricultural activities.,33.00,,2.70,2.70
Perform agricultural activities.,66.00,,2.70,2.70
"Perform athletic activities for fitness, competition, or artistic purposes.",10.00,2024-09-30,49.81,47.47
"Perform athletic activities for fitness, competition, or artistic purposes.",33.00,2024-09-30,49.81,47.47
"Perform athletic activities for fitness, competition, or artistic purposes.",66.00,,49.81,47.47
Perform court-related or other legal administrative activities.,10.00,2024-09-30,11.97,11.97
Perform court-related or other legal administrative activities.,33.00,,11.97,11.97
Perform court-related or other legal administrative activities.,66.00,,11.97,11.97
Perform general construction or extraction activities.,10.00,,4.20,2.79
Perform general construction or extraction activities.,33.00,,4.20,2.79
Perform general construction or extraction activities.,66.00,,4.20,2.79
Perform human resources activities.,10.00,2024-09-30,25.79,15.10
Perform human resources activities.,33.00,,25.79,15.10
Perform human resources activities.,66.00,,25.79,15.10
Perform recruiting or hiring activities.,10.00,2025-03-06,40.90,5.78
Perform recruiting or hiring activities.,33.00,2025-08-11,40.90,5.78
Perform recruiting or hiring activities.,66.00,,40.90,5.78
Plan events or programs.,10.00,2024-09-30,67.44,53.38
Plan events or programs.,33.00,2024-09-30,67.44,53.38
Plan events or programs.,66.00,2025-03-06,67.44,53.38
Plan work activities.,10.00,2024-09-30,54.18,51.54
Plan work activities.,33.00,2024-09-30,54.18,51.54
Plan work activities.,66.00,,54.18,51.54
Position materials or components for assembly.,10.00,,9.40,7.80
Position materials or components for assembly.,33.00,,9.40,7.80
Position materials or components for assembly.,66.00,,9.40,7.80
Position tools or equipment.,10.00,,6.81,6.81
Position tools or equipment.,33.00,,6.81,6.81
Position tools or equipment.,66.00,,6.81,6.81
Position workpieces or materials on equipment.,10.00,,7.66,7.66
Position workpieces or materials on equipment.,33.00,,7.66,7.66
Position workpieces or materials on equipment.,66.00,,7.66,7.66
"Prepare documentation for contracts, applications, or permits.",10.00,2024-09-30,71.62,54.39
"Prepare documentation for contracts, applications, or permits.",33.00,2024-09-30,71.62,54.39
"Prepare documentation for contracts, applications, or permits.",66.00,2025-08-11,71.62,54.39
"Prepare financial documents, reports, or budgets.",10.00,2025-03-06,30.22,5.23
"Prepare financial documents, reports, or budgets.",33.00,,30.22,5.23
"Prepare financial documents, reports, or budgets.",66.00,,30.22,5.23
Prepare foods or beverages.,10.00,2024-09-30,59.49,54.83
Prepare foods or beverages.,33.00,2024-09-30,59.49,54.83
Prepare foods or beverages.,66.00,,59.49,54.83
Prepare health or medical documents.,10.00,2025-03-06,47.63,5.47
Prepare health or medical documents.,33.00,2025-03-06,47.63,5.47
Prepare health or medical documents.,66.00,,47.63,5.47
Prepare industrial materials for processing or use.,10.00,,4.68,3.65
Prepare industrial materials for processing or use.,33.00,,4.68,3.65
Prepare industrial materials for processing or use.,66.00,,4.68,3.65
Prepare informational or instructional materials.,10.00,2024-09-30,76.56,54.80
Prepare informational or instructional materials.,33.00,2024-09-30,76.56,54.80
Prepare informational or instructional materials.,66.00,2025-08-11,76.56,54.80
Prepare legal or regulatory documents.,10.00,2024-09-30,41.77,11.02
Prepare legal or regulatory documents.,33.00,2025-08-11,41.77,11.02
Prepare legal or regulatory documents.,66.00,,41.77,11.02
Prepare medical equipment or work areas for use.,10.00,2024-09-30,17.12,10.40
Prepare medical equipment or work areas for use.,33.00,,17.12,10.40
Prepare medical equipment or work areas for use.,66.00,,17.12,10.40
Prepare mixtures or solutions.,10.00,2024-09-30,56.19,53.96
Prepare mixtures or solutions.,33.00,2024-09-30,56.19,53.96
Prepare mixtures or solutions.,66.00,,56.19,53.96
Prepare proposals or grant applications.,10.00,2024-09-30,52.55,17.13
Prepare proposals or grant applications.,33.00,2025-03-06,52.55,17.13
Prepare proposals or grant applications.,66.00,,52.55,17.13
Prepare reports of operational or procedural activities.,10.00,2025-03-06,22.49,4.02
Prepare reports of operational or procedural activities.,33.00,,22.49,4.02
Prepare reports of operational or procedural activities.,66.00,,22.49,4.02
Prepare schedules for services or facilities.,10.00,2024-09-30,31.22,14.89
Prepare schedules for services or facilities.,33.00,,31.22,14.89
Prepare schedules for services or facilities.,66.00,,31.22,14.89
Prepare specimens or materials for testing.,10.00,2025-08-11,22.51,3.72
Prepare specimens or materials for testing.,33.00,,22.51,3.72
Prepare specimens or materials for testing.,66.00,,22.51,3.72
Prescribe medical treatments or devices.,10.00,2025-08-11,13.25,0.53
Prescribe medical treatments or devices.,33.00,,13.25,0.53
Prescribe medical treatments or devices.,66.00,,13.25,0.53
Present arts or entertainment performances.,10.00,2025-03-06,28.02,8.09
Present arts or entertainment performances.,33.00,,28.02,8.09
Present arts or entertainment performances.,66.00,,28.02,8.09
Present information in legal proceedings.,10.00,2024-09-30,14.16,14.16
Present information in legal proceedings.,33.00,,14.16,14.16
Present information in legal proceedings.,66.00,,14.16,14.16
Present research or technical information.,10.00,2024-09-30,70.06,54.17
Present research or technical information.,33.00,2024-09-30,70.06,54.17
Present research or technical information.,66.00,2025-08-11,70.06,54.17
Process animal carcasses.,10.00,2024-09-30,24.51,24.51
Process animal carcasses.,33.00,,24.51,24.51
Process animal carcasses.,66.00,,24.51,24.51
Process digital or online data.,10.00,2024-09-30,65.96,50.08
Process digital or online data.,33.00,2024-09-30,65.96,50.08
Process digital or online data.,66.00,,65.96,50.08
Process forensic or legal evidence.,10.00,2024-09-30,10.02,10.02
Process forensic or legal evidence.,33.00,,10.02,10.02
Process forensic or legal evidence.,66.00,,10.02,10.02
Process shipments or mail.,10.00,2024-09-30,18.18,11.31
Process shipments or mail.,33.00,,18.18,11.31
Process shipments or mail.,66.00,,18.18,11.31
Program computer systems or production equipment.,10.00,2024-09-30,70.69,57.61
Program computer systems or production equipment.,33.00,2024-09-30,70.69,57.61
Program computer systems or production equipment.,66.00,2025-08-11,70.69,57.61
"Promote products, services, or programs.",10.00,2024-09-30,72.71,52.39
"Promote products, services, or programs.",33.00,2024-09-30,72.71,52.39
"Promote products, services, or programs.",66.00,2025-08-11,72.71,52.39
Protect people or property from threats such as fires or flooding.,10.00,,0.00,0.00
Protect people or property from threats such as fires or flooding.,33.00,,0.00,0.00
Protect people or property from threats such as fires or flooding.,66.00,,0.00,0.00
Provide food or beverage services.,10.00,2024-09-30,18.79,16.50
Provide food or beverage services.,33.00,,18.79,16.50
Provide food or beverage services.,66.00,,18.79,16.50
"Provide general assistance to others, such as customers, patrons, or motorists.",10.00,2024-09-30,63.49,52.05
"Provide general assistance to others, such as customers, patrons, or motorists.",33.00,2024-09-30,63.49,52.05
"Provide general assistance to others, such as customers, patrons, or motorists.",66.00,,63.49,52.05
Provide information or assistance to the public.,10.00,2024-09-30,66.50,58.18
Provide information or assistance to the public.,33.00,2024-09-30,66.50,58.18
Provide information or assistance to the public.,66.00,2026-02-12,66.50,58.18
"Provide information to guests, clients, or customers.",10.00,2024-09-30,71.73,58.53
"Provide information to guests, clients, or customers.",33.00,2024-09-30,71.73,58.53
"Provide information to guests, clients, or customers.",66.00,2025-08-11,71.73,58.53
Provide support or encouragement to others.,10.00,2024-09-30,51.11,41.35
Provide support or encouragement to others.,33.00,2024-09-30,51.11,41.35
Provide support or encouragement to others.,66.00,,51.11,41.35
Purchase goods or services.,10.00,2024-09-30,57.82,53.18
Purchase goods or services.,33.00,2024-09-30,57.82,53.18
Purchase goods or services.,66.00,,57.82,53.18
Read documents or materials to inform work processes.,10.00,2024-09-30,61.94,53.38
Read documents or materials to inform work processes.,33.00,2024-09-30,61.94,53.38
Read documents or materials to inform work processes.,66.00,,61.94,53.38
Reconcile financial data.,10.00,2025-03-06,12.16,9.29
Reconcile financial data.,33.00,,12.16,9.29
Reconcile financial data.,66.00,,12.16,9.29
Record images with photographic or audiovisual equipment.,10.00,2025-03-06,21.05,5.87
Record images with photographic or audiovisual equipment.,33.00,,21.05,5.87
Record images with photographic or audiovisual equipment.,66.00,,21.05,5.87
Record information about environmental conditions.,10.00,2026-02-12,14.43,0.00
Record information about environmental conditions.,33.00,,14.43,0.00
Record information about environmental conditions.,66.00,,14.43,0.00
Record information about legal matters.,10.00,2025-03-06,26.54,1.03
Record information about legal matters.,33.00,,26.54,1.03
Record information about legal matters.,66.00,,26.54,1.03
Remove workpieces from production equipment.,10.00,,1.66,1.66
Remove workpieces from production equipment.,33.00,,1.66,1.66
Remove workpieces from production equipment.,66.00,,1.66,1.66
Repair electrical or electronic equipment.,10.00,2024-09-30,22.50,15.09
Repair electrical or electronic equipment.,33.00,,22.50,15.09
Repair electrical or electronic equipment.,66.00,,22.50,15.09
Repair tools or equipment.,10.00,2024-09-30,12.73,11.34
Repair tools or equipment.,33.00,,12.73,11.34
Repair tools or equipment.,66.00,,12.73,11.34
Repair vehicle components.,10.00,,3.55,3.55
Repair vehicle components.,33.00,,3.55,3.55
Repair vehicle components.,66.00,,3.55,3.55
Repair workpieces or products.,10.00,,1.74,1.74
Repair workpieces or products.,33.00,,1.74,1.74
Repair workpieces or products.,66.00,,1.74,1.74
"Replenish inventories of materials, equipment, or products.",10.00,2024-09-30,15.89,12.53
"Replenish inventories of materials, equipment, or products.",33.00,,15.89,12.53
"Replenish inventories of materials, equipment, or products.",66.00,,15.89,12.53
Research agricultural processes or practices.,10.00,2025-03-06,19.96,0.00
Research agricultural processes or practices.,33.00,,19.96,0.00
Research agricultural processes or practices.,66.00,,19.96,0.00
Research biological or ecological phenomena.,10.00,2024-09-30,71.94,53.38
Research biological or ecological phenomena.,33.00,2024-09-30,71.94,53.38
Research biological or ecological phenomena.,66.00,2025-11-13,71.94,53.38
Research healthcare issues.,10.00,2024-09-30,59.13,54.92
Research healthcare issues.,33.00,2024-09-30,59.13,54.92
Research healthcare issues.,66.00,,59.13,54.92
Research historical or social issues.,10.00,2024-09-30,89.14,53.40
Research historical or social issues.,33.00,2024-09-30,89.14,53.40
Research historical or social issues.,66.00,2025-08-11,89.14,53.40
Research issues related to earth sciences.,10.00,2024-09-30,63.38,53.38
Research issues related to earth sciences.,33.00,2024-09-30,63.38,53.38
Research issues related to earth sciences.,66.00,,63.38,53.38
"Research laws, precedents, or other legal data.",10.00,2024-09-30,92.52,49.02
"Research laws, precedents, or other legal data.",33.00,2024-09-30,92.52,49.02
"Research laws, precedents, or other legal data.",66.00,2025-08-11,92.52,49.02
"Research organizational behavior, processes, or performance.",10.00,2024-09-30,66.69,51.30
"Research organizational behavior, processes, or performance.",33.00,2024-09-30,66.69,51.30
"Research organizational behavior, processes, or performance.",66.00,2025-08-11,66.69,51.30
Research technology designs or applications.,10.00,2024-09-30,70.03,56.61
Research technology designs or applications.,33.00,2024-09-30,70.03,56.61
Research technology designs or applications.,66.00,2025-11-13,70.03,56.61
Resolve computer problems.,10.00,2024-09-30,71.61,55.70
Resolve computer problems.,33.00,2024-09-30,71.61,55.70
Resolve computer problems.,66.00,2025-08-11,71.61,55.70
Resolve personnel or operational problems.,10.00,2025-03-06,16.16,2.85
Resolve personnel or operational problems.,33.00,,16.16,2.85
Resolve personnel or operational problems.,66.00,,16.16,2.85
Respond to customer problems or inquiries.,10.00,2024-09-30,75.18,59.58
Respond to customer problems or inquiries.,33.00,2024-09-30,75.18,59.58
Respond to customer problems or inquiries.,66.00,2025-08-11,75.18,59.58
Schedule appointments.,10.00,2024-09-30,57.54,20.32
Schedule appointments.,33.00,2025-08-11,57.54,20.32
Schedule appointments.,66.00,,57.54,20.32
Schedule operational activities.,10.00,2025-03-06,26.07,7.98
Schedule operational activities.,33.00,,26.07,7.98
Schedule operational activities.,66.00,,26.07,7.98
Select materials or equipment for operations or projects.,10.00,2024-09-30,56.05,53.49
Select materials or equipment for operations or projects.,33.00,2024-09-30,56.05,53.49
Select materials or equipment for operations or projects.,66.00,,56.05,53.49
Sell products or services.,10.00,2025-03-06,20.26,8.59
Sell products or services.,33.00,,20.26,8.59
Sell products or services.,66.00,,20.26,8.59
Serve on organizational committees.,10.00,2025-03-06,39.24,2.95
Serve on organizational committees.,33.00,2025-03-06,39.24,2.95
Serve on organizational committees.,66.00,,39.24,2.95
"Set up classrooms, facilities, educational materials, or equipment.",10.00,2025-03-06,49.74,0.00
"Set up classrooms, facilities, educational materials, or equipment.",33.00,2025-08-11,49.74,0.00
"Set up classrooms, facilities, educational materials, or equipment.",66.00,,49.74,0.00
"Set up computer systems, networks, or other information systems.",10.00,2024-09-30,71.55,53.55
"Set up computer systems, networks, or other information systems.",33.00,2024-09-30,71.55,53.55
"Set up computer systems, networks, or other information systems.",66.00,2025-08-11,71.55,53.55
Set up equipment.,10.00,2024-09-30,59.54,57.95
Set up equipment.,33.00,2024-09-30,59.54,57.95
Set up equipment.,66.00,,59.54,57.95
Set up protective structures or coverings near work areas.,10.00,,0.00,0.00
Set up protective structures or coverings near work areas.,33.00,,0.00,0.00
Set up protective structures or coverings near work areas.,66.00,,0.00,0.00
Sew garments or materials.,10.00,,1.75,0.00
Sew garments or materials.,33.00,,1.75,0.00
Sew garments or materials.,66.00,,1.75,0.00
Shape materials to create products.,10.00,,0.00,0.00
Shape materials to create products.,33.00,,0.00,0.00
Shape materials to create products.,66.00,,0.00,0.00
Signal others to coordinate work activities.,10.00,,1.79,1.79
Signal others to coordinate work activities.,33.00,,1.79,1.79
Signal others to coordinate work activities.,66.00,,1.79,1.79
