category,pct_human_conv,workers_human_conv,tier_human_conv,pct_all_confirmed,workers_all_confirmed,tier_all_confirmed,pct_all_ceiling,workers_all_ceiling,tier_all_ceiling
Appraisers of Personal and Business Property,41.67,12307.67,Moderate,41.67,12307.67,Moderate,56.38,16652.98,Moderate
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",41.62,9589.33,Moderate,41.62,9589.33,Moderate,53.60,12350.41,Moderate
Paralegals and Legal Assistants,41.59,152714.69,Moderate,41.59,152714.69,Moderate,55.24,202847.37,Moderate
Urban and Regional Planners,41.57,17893.08,Moderate,41.57,17893.08,Moderate,48.09,20696.99,Moderate
Actuaries,41.57,11779.81,Moderate,45.67,12943.55,Moderate,49.65,14071.91,Moderate
"Cooks, Private Household",41.42,372.76,Moderate,41.42,372.76,Moderate,41.72,375.52,Moderate
Compliance Managers,41.31,48246.90,Moderate,55.62,64955.44,Moderate,63.43,74067.82,High
Gambling and Sports Book Writers and Runners,41.19,3130.16,Moderate,41.19,3130.16,Moderate,50.78,3859.26,Moderate
Advertising and Promotions Managers,41.12,8676.82,Moderate,53.17,11218.05,Moderate,68.99,14557.84,High
"Dispatchers, Except Police, Fire, and Ambulance",41.12,86760.89,Moderate,71.51,150878.33,High,81.27,171484.59,High
Amusement and Recreation Attendants,40.93,152108.63,Moderate,40.93,152108.63,Moderate,57.33,213046.83,Moderate
Radiologists,40.89,10750.77,Moderate,46.77,12296.99,Moderate,48.92,12861.24,Moderate
"Cooks, Fast Food",40.84,272922.70,Moderate,40.84,272922.70,Moderate,46.76,312445.03,Moderate
"Education Administrators, Postsecondary",40.79,71964.27,Moderate,42.28,74593.88,Moderate,49.91,88057.10,Moderate
Insurance Underwriters,40.74,43925.19,Moderate,52.72,56844.85,Moderate,61.44,66248.95,High
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",40.73,1869.61,Moderate,40.73,1869.61,Moderate,56.92,2612.61,Moderate
Water/Wastewater Engineers,40.72,48243.41,Moderate,41.50,49170.53,Moderate,47.81,56634.86,Moderate
Butchers and Meat Cutters,40.59,56840.50,Moderate,40.59,56840.50,Moderate,44.81,62749.98,Moderate
Treasurers and Controllers,40.56,116225.70,Moderate,47.63,136491.96,Moderate,64.19,183938.05,High
Freight Forwarders,40.53,27347.47,Moderate,51.92,35035.73,Moderate,68.18,46003.60,High
Speech-Language Pathologists,40.44,72309.73,Moderate,40.44,72309.73,Moderate,46.68,83461.33,Moderate
Librarians and Media Collections Specialists,40.40,53255.85,Moderate,40.40,53255.85,Moderate,55.13,72679.71,Moderate
Robotics Technicians,40.31,2959.04,Moderate,40.31,2959.04,Moderate,49.93,3664.72,Moderate
"Court, Municipal, and License Clerks",40.28,68475.75,Moderate,40.28,68475.75,Moderate,64.37,109428.11,High
Loan Officers,40.23,116886.08,Moderate,43.68,126889.10,Moderate,59.11,171722.71,Moderate
Bioengineers and Biomedical Engineers,40.11,8767.64,Moderate,40.11,8767.64,Moderate,51.82,11328.68,Moderate
"Educational, Guidance, and Career Counselors and Advisors",40.04,137063.60,Moderate,40.04,137063.60,Moderate,43.76,149813.20,Moderate
Non-Destructive Testing Specialists,39.98,19067.44,Restructuring,40.30,19222.33,Moderate,42.34,20196.55,Moderate
"Medical Scientists, Except Epidemiologists",39.83,62258.13,Restructuring,43.05,67294.08,Moderate,51.99,81257.06,Moderate
"Entertainment and Recreation Managers, Except Gambling",39.76,222948.84,Restructuring,39.76,222948.84,Restructuring,54.73,306876.04,Moderate
Cartographers and Photogrammetrists,39.70,5077.52,Restructuring,39.70,5077.52,Restructuring,60.56,7745.75,High
Fundraisers,39.65,42001.56,Restructuring,56.91,60288.98,Moderate,69.00,73087.38,High
Mechanical Engineers,39.60,39372.45,Restructuring,45.83,45563.69,Moderate,55.70,55375.76,Moderate
Customs Brokers,39.60,33953.53,Restructuring,43.21,37055.08,Moderate,59.30,50849.44,Moderate
Animal Caretakers,39.56,109704.22,Restructuring,39.56,109704.22,Restructuring,50.19,139184.18,Moderate
Advanced Practice Psychiatric Nurses,39.46,407051.47,Restructuring,47.35,488433.72,Moderate,51.38,529962.18,Moderate
Mental Health and Substance Abuse Social Workers,39.44,49659.62,Restructuring,51.92,65378.56,Moderate,51.92,65378.56,Moderate
Waiters and Waitresses,39.41,907500.77,Restructuring,39.41,907500.77,Restructuring,45.07,1037900.67,Moderate
"Child, Family, and School Social Workers",39.38,150816.66,Restructuring,40.05,153373.08,Moderate,47.14,180508.51,Moderate
"Special Education Teachers, Middle School",39.22,37389.03,Restructuring,44.16,42101.74,Moderate,50.61,48246.55,Moderate
Chief Executives,39.22,67637.74,Restructuring,50.67,87390.14,Moderate,61.10,105386.12,High
Travel Guides,39.12,9586.87,Restructuring,50.12,12280.70,Moderate,57.71,14142.40,Moderate
"Library Assistants, Clerical",39.06,31274.45,Restructuring,41.44,33179.85,Moderate,58.46,46805.55,Moderate
Merchandise Displayers and Window Trimmers,38.94,74958.26,Restructuring,38.94,74958.26,Restructuring,49.75,95767.40,Moderate
Medical and Clinical Laboratory Technicians,38.92,33380.18,Restructuring,39.30,33707.73,Restructuring,51.19,43898.66,Moderate
Funeral Attendants,38.87,11879.83,Restructuring,40.19,12282.66,Moderate,40.19,12282.66,Moderate
Psychiatrists,38.78,9616.78,Restructuring,44.56,11050.78,Moderate,45.10,11184.24,Moderate
Animal Scientists,38.75,957.14,Restructuring,38.75,957.14,Restructuring,40.02,988.42,Moderate
Medical Records Specialists,38.67,44484.87,Restructuring,38.67,44484.87,Restructuring,66.64,76669.01,High
Social Science Research Assistants,38.64,12727.77,Restructuring,53.47,17611.60,Moderate,68.89,22691.02,High
Lawyers,38.63,288857.40,Restructuring,41.80,312592.71,Moderate,47.39,354359.80,Moderate
Social and Human Service Assistants,38.53,163469.36,Restructuring,38.53,163469.36,Restructuring,42.55,180509.04,Moderate
Residential Advisors,38.53,31904.29,Restructuring,42.88,35510.55,Moderate,52.60,43553.93,Moderate
Soil and Plant Scientists,38.51,6393.10,Restructuring,41.05,6815.07,Moderate,46.80,7769.17,Moderate
Agricultural Engineers,38.39,644.87,Restructuring,38.39,644.87,Restructuring,42.13,707.72,Moderate
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",38.31,455594.48,Restructuring,38.31,455594.48,Restructuring,72.98,867966.14,High
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",38.29,22969.06,Restructuring,43.74,26239.55,Moderate,55.17,33097.66,Moderate
Medical and Clinical Laboratory Technologists,38.26,16406.32,Restructuring,52.46,22492.96,Moderate,56.09,24052.85,Moderate
Health Information Technologists and Medical Registrars,38.11,43846.82,Restructuring,38.11,43846.82,Restructuring,61.96,71274.35,High
"Substitute Teachers, Short-Term",38.11,183416.55,Restructuring,38.11,183416.55,Restructuring,52.79,254076.28,Moderate
Electricians,38.10,282896.84,Restructuring,43.47,322787.42,Moderate,43.47,322787.42,Moderate
Regulatory Affairs Specialists,37.97,38371.61,Restructuring,40.69,41116.74,Moderate,58.47,59084.92,Moderate
Fish and Game Wardens,37.81,2427.34,Restructuring,37.81,2427.34,Restructuring,38.96,2501.26,Restructuring
Nannies,37.78,62756.78,Restructuring,37.78,62756.78,Restructuring,47.53,78958.97,Moderate
Music Directors and Composers,37.62,4638.50,Restructuring,37.62,4638.50,Restructuring,50.89,6275.06,Moderate
First-Line Supervisors of Gambling Services Workers,37.61,9601.34,Restructuring,37.61,9601.34,Restructuring,45.36,11579.57,Moderate
Nuclear Medicine Technologists,37.55,6368.47,Restructuring,39.32,6668.53,Restructuring,49.47,8389.59,Moderate
Healthcare Social Workers,37.42,69583.85,Restructuring,42.22,78501.95,Moderate,44.39,82529.62,Moderate
Regulatory Affairs Managers,37.38,72737.18,Restructuring,46.00,89494.15,Moderate,61.99,120619.59,High
Microsystems Engineers,37.35,8620.51,Restructuring,43.17,9963.27,Moderate,53.12,12259.35,Moderate
Substance Abuse and Behavioral Disorder Counselors,37.34,60413.06,Restructuring,44.51,72019.51,Moderate,44.51,72019.51,Moderate
Cytotechnologists,37.32,16001.97,Restructuring,45.93,19694.13,Moderate,49.87,21384.81,Moderate
Food Scientists and Technologists,37.30,5359.36,Restructuring,48.90,7026.67,Moderate,48.90,7026.67,Moderate
Physical Therapists,37.27,92671.15,Restructuring,48.91,121596.70,Moderate,51.85,128907.76,Moderate
Fuel Cell Engineers,37.26,17222.32,Restructuring,37.66,17405.41,Restructuring,41.52,19191.26,Moderate
Logistics Analysts,37.22,28780.19,Restructuring,70.71,54670.55,High,80.47,62214.26,High
Occupational Therapists,37.19,20785.23,Restructuring,40.17,22455.66,Moderate,42.94,23999.37,Moderate
Environmental Engineers,37.18,14107.95,Restructuring,37.92,14389.42,Restructuring,40.73,15457.13,Moderate
Gambling Surveillance Officers and Gambling Investigators,37.15,3715.12,Restructuring,37.15,3715.12,Restructuring,61.84,6184.26,High
Nurse Midwives,37.08,3070.55,Restructuring,45.91,3801.12,Moderate,45.91,3801.12,Moderate
"Administrative Law Judges, Adjudicators, and Hearing Officers",36.96,5998.02,Restructuring,40.53,6577.79,Moderate,48.50,7872.32,Moderate
School Bus Monitors,36.95,26653.53,Restructuring,36.95,26653.53,Restructuring,42.72,30819.12,Moderate
Natural Sciences Managers,36.93,12201.97,Restructuring,41.41,13681.99,Moderate,57.06,18853.69,Moderate
"Ushers, Lobby Attendants, and Ticket Takers",36.90,43991.45,Restructuring,37.60,44821.73,Restructuring,52.29,62332.75,Moderate
Aerospace Engineering and Operations Technologists and Technicians,36.82,3336.15,Restructuring,36.82,3336.15,Restructuring,42.44,3845.04,Moderate
Probation Officers and Correctional Treatment Specialists,36.82,31963.15,Restructuring,36.82,31963.15,Restructuring,45.07,39128.68,Moderate
Tour Guides and Escorts,36.81,9019.69,Restructuring,36.88,9037.41,Restructuring,43.85,10745.61,Moderate
Billing and Posting Clerks,36.77,153517.97,Restructuring,36.77,153517.97,Restructuring,66.60,278042.82,High
Flight Attendants,36.73,47790.70,Restructuring,36.73,47790.70,Restructuring,38.93,50657.03,Restructuring
Supply Chain Managers,36.61,54316.11,Restructuring,37.24,55242.73,Restructuring,62.92,93344.66,High
"Computer, Automated Teller, and Office Machine Repairers",36.57,26701.01,Restructuring,48.83,35653.63,Moderate,59.39,43362.00,Moderate
Farm and Home Management Educators,36.57,3751.84,Restructuring,36.57,3751.84,Restructuring,50.40,5170.59,Moderate
Construction Managers,36.54,127270.83,Restructuring,42.49,148017.55,Moderate,55.65,193840.16,Moderate
Zoologists and Wildlife Biologists,36.45,6167.57,Restructuring,39.16,6626.48,Restructuring,41.37,6999.70,Moderate
Precision Agriculture Technicians,36.35,2606.57,Restructuring,37.75,2706.43,Restructuring,64.15,4599.35,High
Insurance Claims and Policy Processing Clerks,36.27,83089.99,Restructuring,36.27,83089.99,Restructuring,69.60,159441.79,High
Recreational Therapists,36.00,5420.98,Restructuring,44.55,6709.74,Moderate,52.32,7879.60,Moderate
"Arbitrators, Mediators, and Conciliators",35.99,2829.00,Restructuring,42.77,3361.94,Moderate,44.24,3477.55,Moderate
Molecular and Cellular Biologists,35.84,3646.69,Restructuring,48.60,4945.69,Moderate,61.14,6221.66,High
Diagnostic Medical Sonographers,35.79,30945.22,Restructuring,37.23,32186.07,Restructuring,46.38,40096.51,Moderate
Food Preparation Workers,35.77,317926.91,Restructuring,35.77,317926.91,Restructuring,38.18,339344.42,Restructuring
Solar Energy Installation Managers,35.74,115408.66,Restructuring,37.36,120612.90,Restructuring,40.93,132142.79,Moderate
Validation Engineers,35.48,31062.09,Restructuring,35.48,31062.09,Restructuring,47.59,41667.16,Moderate
Prepress Technicians and Workers,35.42,8172.53,Restructuring,36.67,8459.94,Restructuring,58.13,13409.81,Moderate
Telecommunications Line Installers and Repairers,35.28,34702.23,Restructuring,39.03,38388.15,Restructuring,39.65,39000.42,Restructuring
"Credit Authorizers, Checkers, and Clerks",35.11,4198.94,Restructuring,35.11,4198.94,Restructuring,53.51,6400.25,Moderate
Information Security Engineers,35.06,6146.22,Restructuring,35.06,6146.22,Restructuring,59.76,10475.73,Moderate
Sales Managers,34.96,211065.46,Restructuring,53.40,322393.46,Moderate,57.71,348396.17,Moderate
Electro-Mechanical and Mechatronics Technologists and Technicians,34.65,2543.15,Restructuring,34.65,2543.15,Restructuring,38.87,2852.90,Restructuring
First-Line Supervisors of Housekeeping and Janitorial Workers,34.55,60338.07,Restructuring,45.60,79651.56,Moderate,50.96,89015.13,Moderate
Hydrologic Technicians,34.52,2520.66,Restructuring,34.52,2520.66,Restructuring,43.88,3204.26,Moderate
Power Distributors and Dispatchers,34.51,3168.26,Restructuring,36.17,3320.70,Restructuring,48.36,4439.10,Moderate
Public Safety Telecommunicators,34.51,34903.84,Restructuring,34.51,34903.84,Restructuring,59.42,60093.77,Moderate
Social and Community Service Managers,34.49,67427.13,Restructuring,37.07,72461.71,Restructuring,45.39,88736.05,Moderate
Exercise Physiologists,34.42,2791.74,Restructuring,50.46,4092.43,Moderate,56.92,4616.06,Moderate
Geneticists,34.40,3498.90,Restructuring,47.63,4843.97,Moderate,64.10,6519.01,High
Food Science Technicians,34.36,3383.77,Restructuring,35.68,3513.84,Restructuring,48.63,4789.21,Moderate
Exercise Trainers and Group Fitness Instructors,34.33,104230.23,Restructuring,34.33,104230.23,Restructuring,38.55,117058.75,Restructuring
First-Line Supervisors of Food Preparation and Serving Workers,34.28,407034.20,Restructuring,36.45,432822.87,Restructuring,53.71,637739.38,Moderate
Security and Fire Alarm Systems Installers,34.13,27820.75,Restructuring,37.72,30748.65,Restructuring,37.72,30748.65,Restructuring
Childcare Workers,34.10,120730.48,Restructuring,38.68,136962.49,Restructuring,40.53,143487.04,Moderate
"Energy Engineers, Except Wind and Solar",34.01,8782.74,Restructuring,34.01,8782.74,Restructuring,43.40,11208.89,Moderate
Nanosystems Engineers,33.99,7367.07,Restructuring,47.62,10319.13,Moderate,48.19,10444.45,Moderate
Floral Designers,33.92,13623.31,Restructuring,33.92,13623.31,Restructuring,43.14,17323.06,Moderate
Lighting Technicians,33.91,3435.24,Restructuring,33.91,3435.24,Restructuring,51.44,5211.23,Moderate
Fire-Prevention and Protection Engineers,33.79,4431.09,Restructuring,33.79,4431.09,Restructuring,34.42,4513.30,Restructuring
Physician Assistants,33.77,40809.55,Restructuring,48.10,58126.83,Moderate,48.98,59185.03,Moderate
"Claims Adjusters, Examiners, and Investigators",33.75,102956.89,Restructuring,33.75,102956.89,Restructuring,43.66,133172.91,Moderate
Photonics Technicians,33.69,5630.97,Restructuring,33.69,5630.97,Restructuring,36.05,6024.60,Restructuring
Financial Risk Specialists,33.64,63347.17,Restructuring,33.64,63347.17,Restructuring,64.82,122046.21,High
Legal Secretaries and Administrative Assistants,33.57,51875.98,Restructuring,33.57,51875.98,Restructuring,74.10,114513.33,High
Mechanical Engineering Technologists and Technicians,33.51,4939.34,Restructuring,33.51,4939.34,Restructuring,44.55,6567.08,Moderate
Clinical Research Coordinators,33.47,17287.37,Restructuring,46.49,24015.08,Moderate,60.10,31042.76,High
Surveyors,33.39,12908.55,Restructuring,33.39,12910.90,Restructuring,58.70,22693.31,Moderate
Geothermal Technicians,33.35,61259.25,Restructuring,33.35,61259.25,Restructuring,40.01,73502.75,Moderate
Adapted Physical Education Specialists,33.35,13121.52,Restructuring,33.82,13308.42,Restructuring,38.19,15029.07,Restructuring
Water Resource Specialists,33.28,5382.92,Restructuring,33.28,5382.92,Restructuring,38.65,6250.96,Restructuring
Hydrologists,33.27,1903.29,Restructuring,35.11,2008.07,Restructuring,41.48,2372.68,Moderate
Calibration Technologists and Technicians,33.22,5089.53,Restructuring,33.22,5089.53,Restructuring,36.30,5560.88,Restructuring
Bailiffs,33.16,5607.55,Restructuring,43.53,7360.36,Moderate,48.23,8154.92,Moderate
Computer Numerically Controlled Tool Operators,33.16,58674.70,Restructuring,33.16,58674.70,Restructuring,46.45,82196.88,Moderate
Anthropologists and Archeologists,33.15,2675.46,Restructuring,33.15,2675.46,Restructuring,42.60,3437.77,Moderate
Spa Managers,33.04,1608.69,Restructuring,46.13,2245.98,Moderate,81.10,3948.54,High
"Telecommunications Equipment Installers and Repairers, Except Line Installers",32.81,50485.90,Restructuring,38.78,59675.99,Restructuring,42.48,65369.28,Moderate
Environmental Compliance Inspectors,32.75,10877.21,Restructuring,33.29,11056.48,Restructuring,44.68,14838.78,Moderate
Civil Engineering Technologists and Technicians,32.67,20300.84,Restructuring,32.67,20300.84,Restructuring,48.00,29819.79,Moderate
Slaughterers and Meat Packers,32.66,22044.06,Restructuring,32.66,22044.06,Restructuring,32.66,22044.06,Restructuring
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,124851.25,Restructuring,32.63,124851.25,Restructuring,43.17,165152.56,Moderate
Medical Dosimetrists,32.41,1286.87,Restructuring,32.41,1286.87,Restructuring,49.52,1966.01,Moderate
"Career/Technical Education Teachers, Postsecondary",32.38,35995.17,Restructuring,32.38,35995.17,Restructuring,42.84,47612.85,Moderate
First-Line Supervisors of Production and Operating Workers,32.25,220960.84,Restructuring,32.67,223843.33,Restructuring,45.40,311051.96,Moderate
Chief Sustainability Officers,32.17,12669.32,Restructuring,32.17,12669.32,Restructuring,34.20,13468.72,Restructuring
Coroners,32.08,8739.01,Restructuring,32.08,8739.01,Restructuring,34.35,9358.51,Restructuring
Recreation Workers,31.95,98916.29,Restructuring,31.95,98916.29,Restructuring,51.29,158805.85,Moderate
Solar Photovoltaic Installers,31.86,9010.93,Restructuring,37.91,10721.61,Restructuring,38.80,10971.37,Restructuring
"Compensation, Benefits, and Job Analysis Specialists",31.86,32617.52,Restructuring,33.65,34446.36,Restructuring,53.21,54471.95,Moderate
Orthodontists,31.79,1637.37,Restructuring,31.79,1637.37,Restructuring,31.79,1637.37,Restructuring
First-Line Supervisors of Construction Trades and Extraction Workers,31.61,152767.10,Restructuring,57.06,275724.64,Moderate,61.23,295846.55,High
Broadcast Technicians,31.60,6660.61,Restructuring,32.93,6941.78,Restructuring,56.23,11853.23,Moderate
Chefs and Head Cooks,31.59,57587.72,Restructuring,44.75,81591.99,Moderate,48.66,88707.80,Moderate
Sheet Metal Workers,31.58,37095.56,Restructuring,31.58,37095.56,Restructuring,31.58,37095.56,Restructuring
"Family and Consumer Sciences Teachers, Postsecondary",31.46,827.44,Restructuring,31.46,827.44,Restructuring,50.12,1318.19,Moderate
"Locker Room, Coatroom, and Dressing Room Attendants",31.45,4704.45,Restructuring,31.45,4704.45,Restructuring,35.20,5265.91,Restructuring
Equal Opportunity Representatives and Officers,31.42,19923.65,Restructuring,31.77,20145.20,Restructuring,36.57,23189.84,Restructuring
Wind Energy Engineers,31.40,1098.67,Restructuring,31.40,1098.67,Restructuring,32.49,1136.96,Restructuring
Gambling Cage Workers,31.39,4234.91,Restructuring,31.39,4234.91,Restructuring,46.57,6282.70,Moderate
Medical Secretaries and Administrative Assistants,31.36,260566.70,Restructuring,31.36,260566.70,Restructuring,73.25,608508.61,High
Compliance Officers,31.35,5737.19,Restructuring,31.35,5737.19,Restructuring,46.50,8509.85,Moderate
Environmental Engineering Technologists and Technicians,31.26,3907.58,Restructuring,31.26,3907.58,Restructuring,46.85,5856.19,Moderate
School Psychologists,31.25,19949.48,Restructuring,34.71,22153.91,Restructuring,54.91,35048.83,Moderate
Detectives and Criminal Investigators,31.20,5857.29,Restructuring,31.20,5857.29,Restructuring,44.48,8349.45,Moderate
"Patternmakers, Metal and Plastic",31.13,488.79,Restructuring,34.89,547.80,Restructuring,43.01,675.22,Moderate
"Hairdressers, Hairstylists, and Cosmetologists",31.06,91779.31,Restructuring,47.20,139443.13,Moderate,48.77,144101.93,Moderate
"Patternmakers, Wood",31.05,55.89,Restructuring,31.98,57.57,Restructuring,36.86,66.35,Restructuring
Gambling Change Persons and Booth Cashiers,30.95,6788.20,Restructuring,30.95,6788.20,Restructuring,51.12,11211.42,Moderate
Machinists,30.94,92447.41,Restructuring,31.89,95294.30,Restructuring,36.25,108308.48,Restructuring
Skincare Specialists,30.88,21688.95,Restructuring,52.96,37202.34,Moderate,55.30,38845.17,Moderate
"Special Education Teachers, Preschool",30.85,8699.62,Restructuring,32.51,9169.04,Restructuring,38.54,10867.32,Restructuring
Rehabilitation Counselors,30.70,27303.73,Restructuring,38.06,33848.29,Restructuring,59.95,53314.63,Moderate
Community Health Workers,30.65,18616.67,Restructuring,41.39,25136.38,Moderate,48.37,29377.70,Moderate
Civil Engineers,30.64,36299.91,Restructuring,33.59,39798.94,Restructuring,40.21,47638.68,Moderate
Clinical Nurse Specialists,30.64,240469.34,Restructuring,47.25,370861.56,Moderate,49.90,391637.96,Moderate
Veterinarians,30.62,24691.87,Restructuring,34.16,27545.77,Restructuring,35.79,28860.35,Restructuring
Retail Loss Prevention Specialists,30.59,25422.67,Restructuring,43.59,36226.73,Moderate,55.08,45774.67,Moderate
"Geoscientists, Except Hydrologists and Geographers",30.46,6855.50,Restructuring,32.58,7334.06,Restructuring,59.55,13403.78,Moderate
Industrial Engineering Technologists and Technicians,30.38,9894.43,Restructuring,30.38,9894.43,Restructuring,39.93,13006.12,Restructuring
Costume Attendants,30.36,1909.50,Restructuring,30.36,1909.50,Restructuring,39.41,2478.71,Restructuring
Naturopathic Physicians,30.23,6343.68,Restructuring,47.39,9943.08,Moderate,49.89,10469.08,Moderate
Air Traffic Controllers,30.21,6767.83,Restructuring,31.15,6976.69,Restructuring,48.88,10949.44,Moderate
"Tax Examiners and Collectors, and Revenue Agents",30.03,16075.62,Restructuring,30.90,16539.20,Restructuring,51.23,27422.97,Moderate
Industrial Machinery Mechanics,30.03,126706.88,Restructuring,30.86,130215.67,Restructuring,39.18,165309.03,Restructuring
Acute Care Nurses,29.87,147924.99,Restructuring,32.08,158863.08,Restructuring,34.37,170188.82,Restructuring
Medical Equipment Repairers,29.86,18163.16,Restructuring,37.28,22678.60,Restructuring,45.06,27407.27,Moderate
Gem and Diamond Workers,29.86,1848.11,Restructuring,29.86,1848.11,Restructuring,29.86,1848.11,Restructuring
Riggers,29.83,7215.15,Restructuring,29.83,7215.15,Restructuring,32.31,7816.58,Restructuring
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",29.79,18339.69,Restructuring,34.58,21293.01,Restructuring,43.41,26726.15,Moderate
Surveying and Mapping Technicians,29.73,16862.21,Restructuring,29.73,16862.21,Restructuring,46.50,26374.40,Moderate
Marine Engineers and Naval Architects,29.69,2505.53,Restructuring,29.69,2505.53,Restructuring,38.85,3279.29,Restructuring
Fitness and Wellness Coordinators,29.60,1664.08,Restructuring,38.38,2157.62,Restructuring,58.23,3272.98,Moderate
Camera and Photographic Equipment Repairers,29.58,594.66,Restructuring,34.18,687.11,Restructuring,34.18,687.11,Restructuring
"Buyers and Purchasing Agents, Farm Products",29.58,48004.02,Restructuring,42.88,69597.62,Moderate,53.87,87427.26,Moderate
"Environmental Science and Protection Technicians, Including Health",29.56,11644.66,Restructuring,29.56,11644.66,Restructuring,37.23,14665.66,Restructuring
Avionics Technicians,29.42,6147.97,Restructuring,29.42,6147.97,Restructuring,39.85,8328.16,Restructuring
Fast Food and Counter Workers,29.37,529914.37,Restructuring,29.37,529914.37,Restructuring,35.37,638268.16,Restructuring
Epidemiologists,29.35,3363.88,Restructuring,31.54,3614.63,Restructuring,43.64,5001.48,Moderate
Home Health Aides,29.25,583323.16,Restructuring,29.25,583323.16,Restructuring,31.23,622814.67,Restructuring
Security Managers,29.20,20597.42,Restructuring,38.31,27029.25,Restructuring,56.74,40029.81,Moderate
Occupational Health and Safety Specialists,29.17,37466.41,Restructuring,29.38,37737.19,Restructuring,51.29,65871.03,Moderate
Medical Assistants,29.17,231450.80,Restructuring,50.91,403979.36,Moderate,58.99,468068.56,Moderate
Plasterers and Stucco Masons,29.14,6085.38,Restructuring,29.14,6085.38,Restructuring,29.14,6085.38,Restructuring
"Meter Readers, Utilities",29.13,5715.55,Restructuring,42.77,8390.83,Moderate,48.12,9441.03,Moderate
Athletic Trainers,29.12,8429.49,Restructuring,31.80,9205.75,Restructuring,35.78,10358.92,Restructuring
Recreational Vehicle Service Technicians,29.04,5434.10,Restructuring,29.04,5434.10,Restructuring,29.04,5434.10,Restructuring
Wind Turbine Service Technicians,29.01,3254.59,Restructuring,29.01,3254.59,Restructuring,33.26,3731.56,Restructuring
"Securities, Commodities, and Financial Services Sales Agents",29.00,136979.21,Restructuring,29.00,136979.21,Restructuring,67.48,318731.51,High
Architectural and Engineering Managers,29.00,49904.61,Restructuring,57.38,98754.37,Moderate,67.44,116057.53,High
Clinical and Counseling Psychologists,28.86,20831.56,Restructuring,28.86,20831.56,Restructuring,40.47,29212.17,Moderate
Pest Control Workers,28.85,27730.56,Restructuring,33.67,32357.78,Restructuring,33.79,32479.17,Restructuring
Speech-Language Pathology Assistants,28.83,21892.79,Restructuring,28.83,21892.79,Restructuring,35.01,26587.06,Restructuring
Postal Service Clerks,28.78,22467.02,Restructuring,28.78,22467.02,Restructuring,51.31,40050.22,Moderate
Neurologists,28.76,2214.38,Restructuring,34.88,2685.58,Restructuring,37.17,2861.74,Restructuring
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",28.63,5431.54,Restructuring,28.63,5431.54,Restructuring,30.36,5759.99,Restructuring
Dermatologists,28.56,2879.21,Restructuring,28.56,2879.21,Restructuring,36.84,3713.05,Restructuring
Cytogenetic Technologists,28.56,12244.60,Restructuring,38.37,16454.30,Restructuring,44.76,19194.84,Moderate
Environmental Restoration Planners,28.49,2006.22,Restructuring,28.49,2006.22,Restructuring,32.52,2289.69,Restructuring
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,81808.44,Restructuring,28.48,81808.44,Restructuring,34.68,99613.33,Restructuring
"Insulation Workers, Mechanical",28.47,7299.18,Restructuring,29.44,7549.29,Restructuring,29.44,7549.29,Restructuring
Airfield Operations Specialists,28.38,4722.25,Restructuring,29.10,4843.06,Restructuring,42.91,7140.69,Moderate
Energy Auditors,28.20,14503.20,Restructuring,29.04,14935.18,Restructuring,45.55,23423.15,Moderate
Producers and Directors,28.12,6962.96,Restructuring,28.12,6962.96,Restructuring,38.85,9620.67,Restructuring
Accountants and Auditors,28.09,406788.64,Restructuring,28.09,406788.64,Restructuring,43.59,631369.97,Moderate
Nurse Practitioners,28.02,86125.37,Restructuring,40.41,124217.47,Moderate,49.95,153535.03,Moderate
Self-Enrichment Teachers,27.88,86003.10,Restructuring,27.88,86003.10,Restructuring,41.24,127225.00,Moderate
Midwives,27.73,10252.24,Restructuring,31.44,11623.96,Restructuring,37.18,13744.98,Restructuring
"Camera Operators, Television, Video, and Film",27.63,6759.06,Restructuring,27.63,6759.06,Restructuring,47.13,11527.24,Moderate
Cargo and Freight Agents,27.53,8347.58,Restructuring,51.94,15748.57,Moderate,66.58,20189.02,High
"Radio, Cellular, and Tower Equipment Installers and Repairers",27.44,3128.58,Restructuring,36.76,4190.72,Restructuring,37.99,4331.34,Restructuring
"Electronic Equipment Installers and Repairers, Motor Vehicles",27.41,2778.97,Restructuring,34.64,3512.40,Restructuring,39.28,3983.45,Restructuring
Home Appliance Repairers,27.39,8746.85,Restructuring,27.39,8746.85,Restructuring,38.87,12416.47,Restructuring
"Transportation, Storage, and Distribution Managers",27.35,17682.64,Restructuring,27.35,17682.64,Restructuring,39.56,25576.15,Restructuring
Food Service Managers,27.32,66716.44,Restructuring,32.93,80413.25,Restructuring,46.49,113535.72,Moderate
Obstetricians and Gynecologists,27.27,5426.55,Restructuring,44.00,8756.67,Moderate,47.07,9367.49,Moderate
"Dentists, General",27.23,30897.66,Restructuring,33.43,37940.73,Restructuring,33.43,37940.73,Restructuring
