title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Mechatronics Engineers,50.77,6935.21,816621172.48,61.27,8368.50,985390331.72,10.49,-3.33,13659.00,117750.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,72773.45
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",64.56,7411.74,751476574.10,74.27,8526.69,864521288.20,9.71,-3.71,11480.00,101390.00,Educational Instruction and Library Occupations,5.00,8,high,Q3: Tool gap,71983.60
"Sociology Teachers, Postsecondary",72.41,8964.71,739946923.28,80.41,9955.24,821705474.28,8.00,-3.43,12380.00,82540.00,Educational Instruction and Library Occupations,5.00,8,high,Q3: Tool gap,71727.25
Brownfield Redevelopment Specialists and Site Managers,15.93,3595.02,490899501.87,35.42,7993.65,1091532970.57,19.49,-2.23,22567.00,136550.00,Management Occupations,4.00,3,low,Q3: Tool gap,70072.06
"Recreation and Fitness Studies Teachers, Postsecondary",69.59,8824.34,669679518.08,77.02,9766.51,741180499.29,7.43,-1.43,12680.00,75890.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,65567.81
Avionics Technicians,29.42,6147.97,500383419.49,39.85,8328.16,677828684.44,10.43,-1.84,20900.00,81390.00,"Installation, Maintenance, and Repair Occupations",3.00,3,low,Q3: Tool gap,64132.61
Molecular and Cellular Biologists,48.60,4945.69,461580991.99,61.14,6221.66,580667105.74,12.54,-4.77,10176.00,93330.00,"Life, Physical, and Social Science Occupations",5.00,7,moderate,Q3: Tool gap,62013.95
"Captains, Mates, and Pilots of Water Vessels",20.14,7127.29,609668337.57,28.57,10111.57,864943941.13,8.43,-1.61,35390.00,85540.00,Transportation and Material Moving Occupations,3.00,2,low,Q3: Tool gap,60101.30
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,4546.45,221093901.80,33.14,7405.97,360152316.18,12.79,-1.35,22350.00,48630.00,Production Occupations,2.00,1,low,Q3: Tool gap,58168.51
First-Line Supervisors of Firefighting and Prevention Workers,3.73,3496.47,323179124.39,19.81,18560.23,1715522272.98,16.08,-2.35,93680.00,92430.00,Protective Service Occupations,3.00,2,low,Q3: Tool gap,56223.36
Mechanical Engineering Technologists and Technicians,33.51,4939.34,339480539.30,44.55,6567.08,451355392.58,11.04,-1.57,14740.00,68730.00,Architecture and Engineering Occupations,3.00,5,moderate,Q3: Tool gap,54545.28
Farm Equipment Mechanics and Service Technicians,18.20,6713.77,349653325.11,26.03,9600.51,499994575.12,7.83,-2.21,36880.00,52080.00,"Installation, Maintenance, and Repair Occupations",3.00,2,low,Q3: Tool gap,52551.24
"Administrative Law Judges, Adjudicators, and Hearing Officers",40.53,6577.79,757958885.67,48.50,7872.32,907127577.80,7.98,-3.58,16230.00,115230.00,Legal Occupations,5.00,6,moderate,Q3: Tool gap,52465.48
Recreational Therapists,44.55,6709.74,404463105.95,52.32,7879.60,474982553.81,7.77,-2.36,15060.00,60280.00,Healthcare Practitioners and Technical Occupations,4.00,7,moderate,Q3: Tool gap,52121.43
Farm and Home Management Educators,36.57,3751.84,218057136.83,50.40,5170.59,300514711.29,13.83,-2.64,10260.00,58120.00,Educational Instruction and Library Occupations,5.00,5,moderate,Q3: Tool gap,51880.28
Atmospheric and Space Scientists,58.78,5161.19,502957548.59,68.49,6013.74,586039095.13,9.71,-3.21,8780.00,97450.00,"Life, Physical, and Social Science Occupations",4.00,7,moderate,Q3: Tool gap,50116.15
Adhesive Bonding Machine Operators and Tenders,21.57,2625.67,118706609.73,40.13,4883.84,220798500.02,18.56,-1.85,12170.00,45210.00,Production Occupations,2.00,2,low,Q3: Tool gap,48719.92
Metal-Refining Furnace Operators and Tenders,17.97,3652.63,203707228.40,30.58,6217.74,346763335.84,12.62,-1.47,20330.00,55770.00,Production Occupations,2.00,1,low,Q3: Tool gap,46086.55
Materials Engineers,25.35,5771.79,625142630.57,33.29,7579.31,820914712.15,7.94,-3.40,22770.00,108310.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,45817.33
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,6168.62,303126116.99,28.53,8289.32,407336998.47,7.30,-1.27,29050.00,49140.00,Construction and Extraction Occupations,1.00,2,low,Q3: Tool gap,45031.87
Petroleum Engineers,20.42,3873.29,547218150.61,32.02,6073.62,858081555.53,11.60,-1.74,18970.00,141280.00,Architecture and Engineering Occupations,4.00,3,low,Q3: Tool gap,44926.38
Epidemiologists,31.54,3614.63,303556898.14,43.64,5001.48,420024323.43,12.10,-3.99,11460.00,83980.00,"Life, Physical, and Social Science Occupations",5.00,5,moderate,Q3: Tool gap,43742.97
"Environmental Science Teachers, Postsecondary",72.77,5188.57,455089341.24,81.07,5780.44,507002454.04,8.30,-2.80,7130.00,87710.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,43071.10
Emergency Medicine Physicians,16.51,4021.15,1001682431.66,26.91,6555.20,1632923685.87,10.40,-5.54,24358.57,249103.60,Healthcare Practitioners and Technical Occupations,5.00,0,low,Q3: Tool gap,41832.48
Biofuels Processing Technicians,13.88,2213.47,136593498.26,32.28,5148.57,317718235.01,18.40,-1.49,15950.00,61710.00,Production Occupations,2.00,3,low,Q3: Tool gap,40732.03
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",20.58,3002.88,142486600.29,33.29,4856.35,230433693.38,12.70,-1.79,14590.00,47450.00,Production Occupations,2.00,1,low,Q3: Tool gap,38147.65
Emergency Management Directors,26.92,3383.22,291396661.21,37.78,4749.48,409072828.65,10.87,-4.12,12570.00,86130.00,Management Occupations,4.00,2,low,Q3: Tool gap,36772.99
Mechanical Door Repairers,11.38,3183.52,162518883.17,22.66,6339.04,323608002.09,11.28,-1.13,27970.00,51050.00,"Installation, Maintenance, and Repair Occupations",2.00,2,low,Q3: Tool gap,35915.84
Hydroelectric Production Managers,10.08,3193.57,387827726.79,21.25,6732.14,817550748.92,11.17,-2.05,31675.00,121440.00,Management Occupations,3.00,1,low,Q3: Tool gap,35676.92
Music Therapists,30.91,3149.57,204753590.75,40.95,4172.65,271264066.60,10.04,-4.01,10189.00,65010.00,Healthcare Practitioners and Technical Occupations,4.00,4,moderate,Q3: Tool gap,31624.94
"Physicians, Pathologists",22.36,2638.68,657305418.20,33.25,3923.78,977427258.51,10.89,-3.56,11800.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,4,moderate,Q3: Tool gap,28736.94
Robotics Technicians,40.31,2959.04,209381635.58,49.93,3664.72,259315318.81,9.61,-2.90,7340.00,70760.00,Architecture and Engineering Occupations,3.00,7,moderate,Q3: Tool gap,28448.57
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,1641.61,68061152.49,27.28,3789.36,157106795.01,15.46,-1.44,13890.00,41460.00,Production Occupations,2.00,2,low,Q3: Tool gap,25383.48
Anthropologists and Archeologists,33.15,2675.46,173663832.97,42.60,3437.77,223145436.96,9.45,-3.07,8070.00,64910.00,"Life, Physical, and Social Science Occupations",5.00,6,moderate,Q3: Tool gap,25272.98
Nuclear Engineers,16.68,2458.24,313475286.04,26.83,3954.97,504338034.37,10.15,-4.39,14740.00,127520.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,24961.48
Elevator and Escalator Installers and Repairers,8.02,1870.96,199406933.97,21.05,4914.11,523745605.97,13.04,-1.70,23340.00,106580.00,Construction and Extraction Occupations,3.00,1,low,Q3: Tool gap,24394.21
Dermatologists,28.56,2879.21,717221024.00,36.84,3713.05,924932998.45,8.27,-3.00,10080.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,6,moderate,Q3: Tool gap,23817.38
Marine Engineers and Naval Architects,29.69,2505.53,264759060.95,38.85,3279.29,346522111.83,9.17,-3.52,8440.00,105670.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,22970.06
Medical Dosimetrists,32.41,1286.87,177728950.15,49.52,1966.01,271524951.66,17.11,-1.57,3970.00,138110.00,Healthcare Practitioners and Technical Occupations,4.00,2,low,Q3: Tool gap,22014.14
Subway and Streetcar Operators,16.84,1549.30,131427401.49,30.70,2823.95,239555662.08,13.85,-1.57,9200.00,84830.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,21465.37
"Grinding and Polishing Workers, Hand",14.29,1693.03,70582509.53,26.59,3150.33,131337124.57,12.30,-1.92,11850.00,41690.00,Production Occupations,2.00,2,low,Q3: Tool gap,20820.65
Aircraft Cargo Handling Supervisors,20.85,2118.79,135475700.38,30.24,3071.88,196415979.70,9.38,-1.20,10160.00,63940.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,19875.90
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,1705.08,172247661.32,36.10,2444.10,246902907.74,10.92,-3.23,6770.00,101020.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,18612.74
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,1294.59,48754088.42,20.52,4226.41,159166599.20,14.23,-1.56,20600.00,37660.00,Production Occupations,2.00,1,low,Q3: Tool gap,18424.74
Writers and Authors,49.27,1371.27,99101925.18,62.06,1727.09,124816554.48,12.79,-2.12,2783.00,72270.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,6,moderate,Q3: Tool gap,17532.06
"Family and Consumer Sciences Teachers, Postsecondary",31.46,827.44,63944284.32,50.12,1318.19,101869630.89,18.66,-1.39,2630.00,77280.00,Educational Instruction and Library Occupations,5.00,3,low,Q3: Tool gap,15439.79
Gambling Managers,21.88,1010.65,86491177.54,36.14,1669.50,142876035.58,14.26,-1.63,4620.00,85580.00,Management Occupations,2.00,4,moderate,Q3: Tool gap,14412.78
Nuclear Power Reactor Operators,8.97,513.36,62942655.52,35.94,2055.72,252051386.70,26.96,-1.87,5720.00,122610.00,Production Occupations,3.00,1,low,Q3: Tool gap,13842.32
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,1080.09,40308968.46,30.80,1792.48,66895414.54,12.24,-1.58,5820.00,37320.00,Production Occupations,2.00,1,low,Q3: Tool gap,13220.74
"Textile Cutting Machine Setters, Operators, and Tenders",17.74,1589.87,60319793.96,25.42,2277.73,86417069.62,7.68,-1.12,8960.00,37940.00,Production Occupations,2.00,1,low,Q3: Tool gap,12205.41
"Tool Grinders, Filers, and Sharpeners",20.82,1192.79,58410737.12,30.99,1775.68,86954814.53,10.17,-2.04,5730.00,48970.00,Production Occupations,2.00,2,low,Q3: Tool gap,12133.72
Rail Car Repairers,7.40,1354.31,88951263.51,15.50,2836.91,186328159.35,8.10,-2.56,18300.00,65680.00,"Installation, Maintenance, and Repair Occupations",2.00,2,low,Q3: Tool gap,10972.12
"Ophthalmologists, Except Pediatric",10.96,1327.60,330710253.24,18.56,2248.13,560016667.25,7.60,-3.68,12110.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,3,low,Q3: Tool gap,10091.59
Aviation Inspectors,15.13,1176.05,100846037.68,22.75,1768.41,151641266.82,7.62,-3.29,7773.33,85750.00,Transportation and Material Moving Occupations,3.00,2,low,Q3: Tool gap,8962.03
"Farmers, Ranchers, and Other Agricultural Managers",12.11,715.88,62983117.81,20.79,1228.55,108087776.62,8.67,-1.47,5910.00,87980.00,Management Occupations,4.00,1,low,Q3: Tool gap,6209.98
Ship Engineers,7.43,637.16,64556662.47,16.55,1420.02,143876614.12,9.12,-1.84,8580.00,101320.00,Transportation and Material Moving Occupations,3.00,2,low,Q3: Tool gap,5813.61
"Model Makers, Metal and Plastic",16.98,548.61,34398150.12,27.13,876.26,54941611.78,10.14,-2.60,3230.00,62700.00,Production Occupations,3.00,2,low,Q3: Tool gap,5565.08
"Earth Drillers, Except Oil and Gas",5.49,645.41,38314052.83,13.75,1616.02,95932874.71,8.26,-1.43,11754.46,59363.75,Construction and Extraction Occupations,2.00,2,low,Q3: Tool gap,5329.38
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,594.00,35262244.26,13.67,1607.41,95422073.70,8.62,-1.67,11754.46,59363.75,Construction and Extraction Occupations,2.00,2,low,Q3: Tool gap,5121.19
Biofuels Production Managers,4.10,271.93,33023094.82,22.30,1479.12,179624061.94,18.20,-1.68,6633.00,121440.00,Management Occupations,4.00,0,low,Q3: Tool gap,4949.04
Hoist and Winch Operators,8.77,217.53,11378906.70,28.06,696.00,36407825.38,19.29,-1.20,2480.00,52310.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,4196.83
Hydroelectric Plant Technicians,10.99,262.39,26152786.51,22.03,525.91,52417206.89,11.04,-2.18,2387.00,99670.00,Production Occupations,3.00,1,low,Q3: Tool gap,2896.71
Nuclear Technicians,17.93,111.17,11588117.43,31.29,194.02,20224490.81,13.36,-1.52,620.00,104240.00,"Life, Physical, and Social Science Occupations",3.00,2,low,Q3: Tool gap,1485.54
Dredge Operators,0.00,0.00,0.00,10.32,106.27,5146778.09,10.32,-1.82,1030.00,48430.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,0.00
