category,pct_tasks_affected,workers_affected,wages_affected
Explain medical procedures or test results to patients or family members.,60.40,140830.08,16271162831.72
Teach vocational courses.,60.37,13645.02,869425437.29
Evaluate characteristics of products.,60.34,2269.75,175999103.03
Enter patient or treatment data into computers.,60.33,56247.78,3567639814.09
Prepare drawings or diagrams of products or services.,60.31,48938.18,3309579721.67
Edit audio or video recordings.,60.30,11319.46,782499060.61
Develop proposals for current or prospective customers.,60.27,61374.21,4513004192.17
Create models of engineering designs or methods.,60.26,24110.22,2715686822.54
Develop biological research methods.,60.26,1669.08,173000621.37
Measure distances or dimensions.,60.18,49323.34,3104609126.50
Search individuals for illegal or dangerous items.,60.18,10671.22,641773118.19
Analyze financial information.,60.13,68759.09,4899334650.39
Review blueprints or other instructions to determine operational methods or sequences.,60.08,106440.51,6294037513.53
Negotiate financial arrangements.,60.04,34585.50,1580686483.00
Purchase products or services.,60.02,99764.98,7800139541.76
Explain project details to the general public.,59.98,3615.04,310793840.03
Estimate construction project labor requirements.,59.97,46641.93,3411970374.67
"Calculate dimensions of workpieces, products, or equipment.",59.96,30986.07,1714702282.26
Analyze environmental regulations to ensure organizational compliance.,59.95,6750.93,530896045.96
Design civil structures or systems.,59.93,25099.37,2447863781.78
Process healthcare paperwork.,59.92,37102.60,3722146311.28
Inspect telecommunications equipment to identify problems.,59.83,8174.56,574613551.26
Maintain test equipment.,59.83,4962.36,449461610.30
Determine construction project layouts.,59.81,3079.84,160177932.50
Confer with coworkers to coordinate maintenance or cleaning activities.,59.80,68355.70,2773577818.27
Establish operational policies.,59.80,101135.21,5517175438.00
Assign resources or facilities to patrons or employees.,59.72,4703.03,249406248.77
Examine documents to verify adherence to requirements.,59.65,74591.83,4560098592.93
Confer with coworkers to coordinate work activities.,59.57,352266.98,18298818312.34
Conduct research to increase knowledge about medical issues.,59.56,24513.33,2795981360.18
Discuss design or technical features of products or services with technical personnel.,59.53,16574.04,1726489405.94
Read work orders or other instructions to determine product specifications or materials requirements.,59.53,118145.51,5295349378.28
Determine methods to minimize environmental impact of activities.,59.49,716.81,44067278.36
Visit individuals in their homes to provide support or information.,59.44,48646.49,3523730234.04
Issue documentation or identification to customers or employees.,59.44,60871.04,2839067744.65
Verify mathematical calculations.,59.44,7061.74,477133413.54
Develop detailed project plans.,59.42,40025.07,3970400139.08
"Inform viewers, listeners, or audiences.",59.40,9657.34,532737029.60
Research diseases or parasites.,59.36,21030.55,2164762108.73
Confer with clients to determine needs.,59.35,12098.22,775725546.92
Verify accuracy of financial information.,59.31,41120.83,3320366407.77
Develop professional relationships or networks.,59.30,50463.00,3225072445.57
Review license or permit applications.,59.29,105932.61,7777603235.17
Establish work standards.,59.24,9948.52,498093919.42
Supervise student research or internship work.,59.22,47377.89,4292789646.99
Maintain medical or professional knowledge.,59.16,47585.83,5198168526.61
Verify accuracy of data.,59.12,15070.29,952763157.72
Teach social science courses at the college level.,59.10,8348.85,735302820.34
Advise patients on preventive care techniques.,59.09,8777.57,1534901537.69
Track goods or materials.,59.05,30497.06,1429029108.26
Evaluate civic projects or public policies.,59.04,3338.54,295411894.67
Determine appropriate methods for data analysis.,59.03,11890.46,1100603625.03
Perform marketing activities.,59.00,4480.70,446544814.34
Allocate physical resources within organizations.,58.99,13173.53,1097297067.00
Calculate shipping costs.,58.98,57610.00,2583954473.44
Test mechanical systems to ensure proper functioning.,58.94,36123.10,1995736788.23
Select construction materials.,58.89,31886.70,1800435204.33
Interact with patients to build rapport or provide emotional support.,58.88,33343.73,2340022662.49
Study blueprints or other instructions to determine equipment setup requirements.,58.79,61562.41,3877836000.87
Monitor sales activities.,58.78,187203.34,10349305031.64
Inform others about laws or regulations.,58.76,47553.96,3717026691.97
Observe individuals' activities to gather information or compile evidence.,58.76,26409.52,1529639977.66
Teach life skills.,58.75,126629.09,5745621124.12
Process library materials.,58.73,23759.97,1146295775.30
Install equipment attachments or components.,58.72,24371.67,1573741016.27
"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.",58.70,71881.31,2589429933.23
Attach equipment extensions or accessories.,58.70,2973.96,137328632.36
Prepare hoses or water supplies to fight fires.,58.70,2015.55,119985581.31
Prepare film for distribution or use.,58.70,1061.22,99119115.17
Gather information in order to provide services to clients.,58.70,26732.41,1403128718.79
Set up mechanical equipment.,58.70,75.88,2640460.32
Attach rigging to objects so they can be moved.,58.70,3702.15,229726664.80
Document test results.,58.68,2241.46,131595441.78
Analyze patient data to determine patient needs or treatment goals.,58.64,198203.78,17771462203.47
Create graphical representations of industrial production systems.,58.45,4493.91,428345001.68
Set up classroom materials or equipment.,58.40,269026.21,16106911268.36
Prepare foods or meals.,58.37,236764.83,8089870305.36
Assist chefs or caterers with food or drink preparation.,58.29,69293.48,2399386466.24
"Set equipment guides, stops, spacers, or other fixtures.",58.24,24409.95,1110745488.98
Communicate with the public on environmental issues.,58.23,3021.80,222385966.14
Read maps to determine routes.,58.17,155688.25,7899686846.11
"Conduct research to inform art, designs, or other work.",58.14,15122.59,1035193163.61
Advise patients on effects of health conditions or treatments.,58.13,46136.58,6390975699.48
Prepare foods for cooking or serving.,58.12,221185.27,7916306335.12
Store records or related materials.,58.06,22087.37,890830920.48
Discuss designs or plans with clients.,58.04,27784.90,2675048804.56
Develop business or market strategies.,58.03,16326.28,1183085725.00
"Advise others on farming or forestry operations, regulations, or equipment.",57.96,9173.20,347489835.47
Identify environmental concerns.,57.85,2331.72,424219453.66
Maintain electronic equipment.,57.85,50941.35,4475030438.65
Plan social sciences research.,57.84,2254.05,181037947.86
Measure ingredients.,57.84,154823.21,5281872902.34
Counsel clients regarding educational or vocational issues.,57.78,79733.53,4938820859.67
Operate surveillance equipment to detect suspicious or illegal activities.,57.75,203288.93,8045268712.82
Diagnose equipment malfunctions.,57.67,20751.77,1381580586.02
Establish treatment goals.,57.64,13362.65,1349895327.59
Report news to the public.,57.60,7684.06,480391521.52
Install mechanical components in production equipment.,57.59,14339.85,713612527.20
Train personnel.,57.55,178139.71,11180328005.26
Prepare hot or cold beverages.,57.54,331576.52,10472416204.68
Examine condition of property or products.,57.52,159840.95,8282359730.55
"Interview clients to gather information about their backgrounds, needs, or progress.",57.51,73010.00,4253143565.13
"Provide counsel, comfort, or encouragement to individuals or families.",57.48,135241.30,5209823182.41
"Promote products, activities, or organizations.",57.35,6970.36,436515207.42
"Plan layout of construction, installation, or repairs.",57.22,48897.00,3277873638.81
Compile geographic or related data.,57.22,2070.01,185474228.87
Design video game features or details.,57.11,13817.92,1355399535.11
Choreograph dances.,57.07,641.28,35181457.10
Confer with technical personnel to prepare designs or operational plans.,57.05,55145.22,5870949369.88
Identify new applications for existing technologies.,57.00,4713.20,521188957.19
Advise others on matters of public policy.,56.98,4106.89,330317118.57
Prepare graphics or other visual representations of information.,56.92,25680.01,2816662379.23
Determine operational methods.,56.90,18919.71,1843763780.02
Establish nursing policies or standards.,56.87,56238.69,5264476658.72
Research design or application of green technologies.,56.84,7144.09,884884483.78
Research engineering aspects of biological or chemical processes.,56.84,7371.95,856373597.87
Research product safety.,56.84,647.81,71038636.02
Determine metal or plastic production methods.,56.84,29452.55,1761049272.56
"Research energy production, use, or conservation.",56.84,3593.38,370005458.84
Determine forestry techniques or methods.,56.84,713.22,34713099.46
Prepare employee work schedules.,56.77,279982.99,15643203923.70
Teach classes in area of specialization.,56.76,111856.84,6866968953.31
Confer with clients to discuss treatment plans or progress.,56.74,35060.32,2023959966.33
Maintain current knowledge related to work activities.,56.71,30753.21,1767878540.51
"Recommend technical design or process changes to improve efficiency, quality, or performance.",56.69,55934.06,5657455543.87
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",56.45,43178.73,2933758810.10
"Operate communications, transmissions, or broadcasting equipment.",56.41,11264.44,739369589.83
Evaluate designs or specifications to ensure quality.,56.40,26301.42,2447667024.80
"Investigate system, equipment, or product failures.",56.36,8676.34,907872700.85
Coordinate personnel recruitment activities.,56.34,116343.47,8293728314.85
Adjust equipment controls to regulate flow of production materials or products.,56.32,36077.53,1687346889.00
"Advise others on issues related to repairs, installation, or equipment design.",56.28,24212.66,1477431261.51
Communicate results of environmental research.,56.27,3896.66,321837921.61
Advise others on legal or regulatory compliance matters.,56.26,68203.64,7944375298.65
Plan flight operations.,56.20,4506.12,611267758.15
Maintain computer equipment or software.,56.20,16297.53,854935622.61
Evaluate project designs to determine adequacy or feasibility.,56.17,12728.54,2069167100.17
Help clients get needed services or resources.,56.15,35623.02,1931214713.46
Repair pipes to stop leaking.,56.14,1429.61,72390791.11
Evaluate skills of athletes or performers.,56.10,18217.35,861545264.28
Develop mathematical models of environmental conditions.,56.07,1706.72,154155344.62
Operate communications equipment or systems.,56.06,146947.28,7690438140.54
Conduct employee training programs.,56.06,160130.34,18933090434.76
Cut cooked or raw foods.,56.04,166327.39,5970718808.58
Adjust temperature controls of ovens or other heating equipment.,56.00,69645.21,2980422946.24
Monitor financial information.,55.96,28197.84,1476934713.67
Prepare proposal documents.,55.94,10565.14,915240251.55
Test mechanical equipment to ensure proper functioning.,55.93,112819.07,6229077930.24
Maintain plumbing structures or fixtures.,55.92,24052.18,1327628152.23
Determine production equipment settings.,55.90,7403.19,389619904.37
Connect electrical components or equipment.,55.89,39522.79,2401088630.51
Evaluate characteristics of equipment or systems.,55.88,20750.64,2136364159.01
"Order materials, supplies, or equipment.",55.83,571945.62,28059821839.47
Appraise environmental impact of regulations or policies.,55.83,3117.31,302697463.29
Establish interpersonal business relationships to facilitate work activities.,55.83,41936.51,5481019467.31
Read work orders or descriptions of problems to determine repairs or modifications needed.,55.80,41894.28,2281264107.13
"Prepare materials for preservation, storage, or display.",55.78,5321.61,305797987.52
Conduct surveys in organizations.,55.78,51558.04,3570677571.28
Conduct opinion surveys or needs assessments.,55.76,30572.23,3349531975.38
Prepare medications or medical solutions.,55.70,84286.43,6080936299.00
Develop agricultural methods.,55.69,2192.82,154569620.45
Obtain copyrights or other legal permissions.,55.68,757.07,56312423.68
Recommend types of assistive devices.,55.66,20968.33,2220546712.48
Receive information or instructions for performing work assignments.,55.62,244244.42,10279369786.64
Train others in computer interface or software use.,55.62,43932.10,4222151086.65
Estimate construction project costs.,55.58,25122.18,1741059476.82
Measure dimensions of completed products or workpieces to verify conformance to specifications.,55.52,187365.51,9074172616.69
Create images or other visual displays.,55.50,12404.95,1040350240.79
Maintain facilities.,55.38,23426.19,941698684.80
"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",55.38,40136.80,4157032379.52
Read technical information needed to perform maintenance or repairs.,55.38,48041.65,2710188739.98
Develop technical methods or processes.,55.37,18129.66,1815445076.98
Test electrical circuits or components for proper functioning.,55.37,47856.52,2770423104.88
Adjust flow of electricity to tools or production equipment.,55.36,6948.00,358276723.69
Train food preparation or food service personnel.,55.34,159997.32,6122411057.89
Communicate with others to coordinate material handling or movement.,55.29,3227.91,181690425.08
Assist passengers during vehicle boarding.,55.28,32765.53,1646223757.09
Select construction equipment.,55.26,11980.08,629148899.36
Provide legal advice to clients.,55.23,85703.12,12900691860.79
Distribute materials to employees or customers.,55.23,151744.95,6286784306.51
Adjust equipment to ensure optimal performance.,55.18,217052.45,12043984219.96
Assign class work to students.,55.18,93446.44,5922930827.15
Prepare reports summarizing patient diagnostic or care activities.,55.17,49140.15,4644810964.48
Review production information to determine costume or makeup requirements.,55.07,350.91,18058135.93
Schedule patient procedures or appointments.,54.99,146313.10,7908176891.51
Verify accuracy of financial or transactional data.,54.99,297688.89,13531459147.16
Entertain public with comedic or dramatic performances.,54.98,11414.60,890297147.16
Analyze laboratory findings.,54.94,13311.08,877654377.86
Exchange information with colleagues.,54.92,106184.03,8660846769.79
Prepare compounds or solutions to be used for repairs.,54.92,5995.83,319797286.40
Evaluate the characteristics of green technologies.,54.92,463.05,48186304.69
Conduct amusement or gaming activities.,54.92,23558.13,813564822.11
Obtain documentation to authorize activities.,54.92,4103.17,321393923.18
Rewire electrical or electronic systems.,54.92,13354.83,791742949.64
Update job related knowledge or skills.,54.92,45900.67,2779152725.16
"Service heating, ventilation or air-conditioning (HVAC) systems or components.",54.92,40285.88,2221956407.02
Adjust office equipment to ensure proper operation.,54.92,3891.92,159605154.58
Operate gaming equipment.,54.92,3935.17,156371668.12
Adjust vehicle components according to specifications.,54.92,45817.12,2455520018.59
"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.",54.92,10748.05,600180762.04
Connect hoses to equipment or machinery.,54.92,8428.45,345505778.93
Attend conferences or workshops to maintain professional knowledge.,54.92,2691.87,308369825.66
Adjust building climate control systems.,54.92,17007.56,665036484.93
Gather physical survey data.,54.92,9558.93,587452265.73
Obtain written authorization to perform activities.,54.92,17417.58,940830907.63
Care for plants or animals.,54.92,2315.25,104515902.30
Connect supply lines to production equipment or tools.,54.92,11908.75,542960731.36
Maintain knowledge of laws or regulations.,54.92,4704.54,234009647.79
Lay cables to connect equipment.,54.92,19413.12,1326072440.86
Adjust settings or positions of medical equipment.,54.92,35812.36,2881971143.02
Attend educational events to update medical knowledge.,54.92,1300.22,64962459.96
Issue permits or other legal documents.,54.92,574.54,43606340.91
Attend training to learn new skills or update knowledge.,54.92,8271.17,490021926.26
Run wiring to connect equipment.,54.92,9927.72,685738276.81
Perform animal breeding procedures.,54.92,804.96,35961152.60
Collect information about community health needs.,54.92,14047.65,1317204621.14
Adjust equipment controls to regulate gas flow.,54.92,14564.80,827466588.41
Adjust equipment controls to regulate coolant flow.,54.92,14934.97,701431635.89
Issue certificates or licenses.,54.92,3301.66,164693840.48
Thread wire or cable through ducts or conduits.,54.92,37954.02,2264166827.93
Assess product or process usefulness.,54.92,4661.33,451189081.02
Prepare documentation for permits or licenses.,54.92,1377.52,100178816.02
Issue warnings or citations.,54.92,1359.12,70613126.56
Gather information about work conditions or locations.,54.92,8954.61,505196954.93
Connect cables or electrical lines.,54.92,64877.76,3230542742.99
Prepare chemicals for work application.,54.92,171006.24,6268290331.99
Maintain knowledge of business operations.,54.92,18518.90,861074311.07
Connect hoses to equipment or piping.,54.92,5973.15,278345542.12
Care for animals.,54.92,52089.61,1791448698.97
Document lesson plans.,54.92,52299.09,3107771894.51
Update technical knowledge.,54.92,18259.71,2057125610.90
Arrange food for serving.,54.92,216204.76,7429367619.65
Repair structural components.,54.92,77969.05,3879126346.11
Add garnishes to food.,54.92,91823.49,2944568740.91
Prepare materials or solutions for animal or plant use.,54.92,1811.18,72590915.51
Cut meat products.,54.92,76367.57,2945144794.12
Control power supply connections.,54.92,6349.15,530573496.87
Advise others on human resources topics.,54.89,66297.32,4861814384.34
Authorize financial actions.,54.87,33348.38,2545588458.13
Analyze costs and benefits of proposed designs or projects.,54.84,9533.55,831050975.97
Monitor computer system performance to ensure proper operation.,54.79,171997.40,16376598090.08
Advise others on social or educational issues.,54.76,7304.92,460865880.31
Communicate with others to coordinate vehicle movement.,54.72,37583.81,3533421023.38
Set equipment controls to meet cutting specifications.,54.68,32152.13,1449733026.75
Advise others about land management or conservation.,54.67,3429.16,368184062.24
Classify materials according to standard systems.,54.67,13251.52,707410497.80
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",54.59,84321.42,3494660501.06
Verify shipping documentation.,54.53,11957.24,640865368.86
Verify application data to determine program eligibility.,54.52,25837.76,1909915139.64
Train transportation or material moving personnel.,54.48,3000.47,303706408.41
Mix ingredients to create specific finishes.,54.46,9555.23,439099348.42
Perform basic equipment maintenance.,54.44,83365.36,4048757904.47
Teach online courses.,54.44,2483.37,195613628.89
"Interview employees, customers, or others to collect information.",54.39,125854.50,8127812126.55
Check data for recording errors.,54.38,101221.58,4494451721.71
Develop testing routines or procedures.,54.37,94894.22,10761617301.51
Maintain professional social services knowledge.,54.37,4455.11,276982521.89
Collaborate with others in marketing activities.,54.34,22780.29,1426390847.96
"Select tools, equipment, or technologies for use in operations or projects.",54.22,44642.64,2923040388.02
Develop methods of social or economic research.,54.10,1044.71,89617285.60
Prepare meat products for sale or consumption.,54.02,69663.19,2692752855.23
Advise others on educational matters.,53.99,8536.35,600881216.13
Recommend changes or corrective procedures.,53.97,5236.48,318544277.83
Identify opportunities for green initiatives.,53.95,3079.99,399805830.50
Determine resource needs.,53.94,79794.58,9602111598.63
Communicate with other construction or extraction personnel to discuss project details.,53.94,53714.14,3943682356.84
Adjust the tension of nuts or bolts.,53.93,2510.40,174684095.63
Monitor activities of individuals to ensure safety or compliance with rules.,53.91,99032.71,5436543821.89
"Purchase materials, equipment, or other resources.",53.87,45415.62,5160204885.82
Monitor performance of organizational members or partners.,53.79,133625.71,13073016921.92
Select production equipment according to product specifications.,53.77,46980.11,2266748839.92
Mix substances or compounds needed for work activities.,53.74,49686.62,2416149574.80
Report information to managers or other personnel.,53.70,86147.31,6739045465.14
Identify opportunities to improve operational efficiency.,53.68,30424.41,2411341569.65
Collaborate with technical specialists to resolve design or development problems.,53.64,7422.09,685925250.64
Design materials for industrial or commercial applications.,53.64,1809.51,195822554.34
Measure product or material dimensions.,53.63,41238.11,1625373411.68
Weigh materials to ensure compliance with specifications.,53.62,83626.75,3702792725.23
Mix substances to create chemical solutions.,53.59,24875.91,1086832332.80
Provide care for animals.,53.58,11444.55,663654485.47
Administer personnel recruitment or hiring activities.,53.52,200502.92,13768623871.71
Develop technical processes to improve the efficiency of biofuel production.,53.52,4793.63,804082683.94
Schedule appointments.,53.51,449772.35,18377056692.80
Select production input materials.,53.48,27112.48,1694474784.03
Advise others on healthcare matters.,53.45,11601.82,1040912758.98
Maintain recording or broadcasting equipment.,53.42,7156.24,460217561.91
"Estimate costs of products, services, or materials.",53.40,3830.57,180432323.57
Submit financial applications.,53.38,4549.25,340876028.92
"Pay charges, fees, or taxes.",53.38,48804.59,3875240406.60
Research geological features or processes.,53.38,1901.73,175444694.34
Select medical equipment for addressing patient needs.,53.38,4260.83,674092505.35
Investigate work related complaints to determine corrective actions.,53.38,9679.83,502667006.23
Acquire supplies or equipment.,53.38,41296.63,2275609381.64
Evaluate technical data to determine effect on designs or plans.,53.38,13661.48,1297160495.59
"Issue money, credit, or vouchers.",53.38,209945.53,6603698535.43
Investigate safety of work environment.,53.38,5099.12,480026211.58
Gather information for news stories.,53.38,5158.31,287772564.65
Conduct quantitative failure analyses of operational data.,53.38,5913.73,587593426.35
Analyze design or requirements information for mechanical equipment or systems.,53.38,7757.24,749451662.35
Review audio or video recordings.,53.38,84.38,3613856.50
Arrange insurance coverage.,53.38,17721.23,989077769.12
Evaluate environmental or sustainability projects.,53.38,3837.75,575766149.93
Compute gaming wins and losses.,53.38,3956.38,132773288.93
Analyze green technology design requirements.,53.38,581.01,57542040.80
Interpret design or operational test results.,53.38,10299.64,924038551.08
Conduct gaming transactions.,53.38,10482.21,383821544.99
Study details of musical compositions.,53.38,2809.48,195365227.35
Analyze information obtained from news sources.,53.38,3284.43,197985479.51
Operate cash registers.,53.38,135048.52,4520400689.07
"Establish standards for products, processes, or procedures.",53.38,10921.63,1057178156.26
Select resources needed to accomplish tasks.,53.38,107532.80,6893233199.60
Read work orders to determine material or setup requirements.,53.38,81292.34,3294704135.00
Design healthcare-related software applications.,53.35,12093.62,1255196314.36
Instruct college students in physical or life sciences.,53.33,10830.93,1158333620.45
Process customer bills or payments.,53.30,543531.00,18474046106.38
Apply multiple teaching methods.,53.27,205448.87,12080323440.18
Refer individuals to educational or work programs.,53.26,37554.21,2315571335.93
Order medical supplies or equipment.,53.21,24504.26,2413536562.32
Prepare maps.,53.18,4517.47,326681728.21
Select project materials.,53.18,3520.58,371832250.71
Plan work operations.,53.17,9055.94,562554766.39
Interview patients to gather medical information.,53.13,65043.75,2905197576.64
Conduct test runs of production equipment.,53.03,20535.17,1100966891.24
Assist customers to ensure comfort or safety.,52.98,118130.37,4591159262.20
Analyze impact of legal or regulatory changes.,52.88,8674.95,1131914037.89
Manage construction activities.,52.87,132127.25,15591288231.73
Create maps.,52.87,18730.28,1242085758.72
Conduct health or safety training programs.,52.79,14105.83,1157086823.37
Analyze crime scene evidence.,52.77,3045.86,272936553.63
Assess equipment functioning.,52.71,105315.15,3878756967.03
Administer compensation or benefits programs.,52.70,11574.54,1026358740.56
Verify accuracy of records.,52.67,91969.44,7221116361.15
Maintain client records.,52.52,98716.29,6004635111.33
Advise medical personnel regarding healthcare issues.,52.52,52455.21,5975300491.08
Enter codes or other information into computers.,52.52,43427.35,2452320891.11
Create graphical representations of mechanical equipment.,52.50,13693.01,1054422999.54
Investigate legal issues.,52.45,122691.69,9721720807.80
Demonstrate activity techniques or equipment use.,52.42,46214.83,2019639533.65
Prepare compounds or solutions for products or testing.,52.35,7981.37,641212012.68
Confer with customers or designers to determine order specifications.,52.34,4945.87,205560962.16
Teach medical procedures or medical equipment use to patients.,52.34,25335.08,1272118220.53
Prepare legal documents.,52.33,82021.47,5457606017.62
Plan production or operational procedures or sequences.,52.31,91274.22,5515728784.85
Support the professional development of others.,52.21,51414.10,4668884886.16
Assist customers with seating arrangements.,52.20,168335.68,5887562707.24
Assist patrons with entering or exiting vehicles or other forms of transportation.,52.15,45316.84,1471787973.49
Customize financial products or services to meet customer needs.,52.14,67359.16,4066472615.30
Provide educational materials to community members.,52.10,6864.19,416531804.20
Advise others on ways to improve processes or products.,51.99,32653.34,1902456063.10
Plan work procedures.,51.92,53049.49,2867081668.53
Design templates or patterns.,51.91,8099.57,413162419.78
Develop healthcare quality and safety procedures.,51.89,1054.82,246551291.31
Prepare detailed work plans.,51.85,24709.67,2187520029.56
Design medical devices or appliances.,51.73,4791.98,664525815.56
Conduct market research.,51.59,6818.07,478190791.49
Maintain security.,51.58,24117.99,1298407792.01
Develop promotional strategies for religious organizations.,51.51,3148.30,182968837.77
Instruct staff in work policies or procedures.,51.45,10268.37,499885771.86
Investigate accidents to determine causes.,51.40,7446.41,592368605.55
Create physical models or prototypes.,51.38,7938.96,950246693.06
Examine physical characteristics of natural stone or stone products.,51.30,197.41,9369051.84
"Inspect garments for defects, damage, or stains.",51.30,12686.95,433385483.46
Promote agricultural or hunting activities.,51.30,3.20,166231.77
Investigate industrial or transportation accidents.,51.30,10827.60,1081484709.14
Compare physical characteristics of materials or products to specifications or standards.,51.30,23010.26,1005204275.49
Inspect lumber or raw woodstock.,51.30,4552.86,182824007.23
Calculate numerical data for medical activities.,51.30,5326.31,702940140.02
Analyze medical data to determine cause of death.,51.30,409.47,82763076.13
Monitor external factors impacting operations.,51.30,259.15,27791198.06
Collaborate with others to determine production details.,51.30,301.82,15678600.88
Test performance of aircraft equipment.,51.30,1116.40,179115106.29
Repair books or other printed material.,51.30,351.88,12671142.37
Discuss production content and progress with others.,51.30,14395.96,751313971.20
Examine physical characteristics of gemstones or precious metals.,51.30,1019.10,50078368.23
Promote environmental sustainability or conservation initiatives.,51.30,1906.56,159690810.30
Inspect cargo to identify potential hazards.,51.30,67048.51,4933252003.52
Inspect materials or equipment to determine need for repair or replacement.,51.30,2950.76,142272080.09
Prepare administrative documents.,51.30,2967.66,111342780.06
Research industrial processes or operations.,51.30,2130.47,219923950.67
Assist customers with product selection.,51.30,90306.65,3122803791.16
Analyze financial records to improve budgeting or planning.,51.30,4389.96,471427037.49
Examine debris to obtain information about causes of fires.,51.30,1718.63,113637996.66
Assist motorists or pedestrians.,51.30,19838.41,799117727.34
"Design micro- or nano-scale materials, devices, or systems.",51.28,1919.32,226000031.66
"Determine types of equipment, tools, or materials needed for jobs.",51.25,16410.01,903409246.00
Measure ingredients or substances to be used in production processes.,51.18,44160.42,1981090276.01
Create databases to store electronic data.,51.18,33681.26,3885365441.89
Measure materials or objects for installation or assembly.,51.16,72369.37,4139267631.51
"Calculate specific material, equipment, or labor requirements for production.",51.08,25674.26,1723214093.26
Monitor patron activities to identify problems or potential problems.,50.99,16819.86,748464896.34
Communicate with management or other staff to resolve problems.,50.91,32835.56,1378368780.79
Review accuracy of sales or other transactions.,50.88,22019.08,1421683461.83
Calculate requirements for equipment installation or repair projects.,50.88,4037.90,277077614.51
Audition or interview potential performers or staff members.,50.80,9890.36,825646862.89
Refer clients to community or social service programs.,50.78,45640.87,2574396351.93
Advise clients or community groups on health issues.,50.65,33840.51,1765331149.10
Confer with family members to discuss client treatment plans or progress.,50.63,24871.12,1566969630.38
Teach health management classes.,50.55,4668.81,263901827.51
Train employees in proper work procedures.,50.54,21620.48,1974561231.68
Estimate material requirements for production.,50.47,8011.38,389715467.10
Train staff members.,50.41,10959.12,774257910.02
Arrange items for use or display.,50.40,18719.06,649445968.60
Practice athletic or artistic skills.,50.39,10106.37,722251744.66
Confer with coworkers to resolve equipment problems.,50.24,12781.02,822137268.24
Counsel clients or patients regarding personal issues.,50.22,60515.17,3844197462.47
Assess risks to business operations.,50.20,90874.06,7656306855.93
Confer with other personnel to resolve design or operational problems.,50.19,8355.05,775298534.66
Develop medical treatment plans.,50.16,153820.90,18450705642.24
Estimate technical or resource requirements for development or production projects.,50.14,27863.86,2648273152.11
Counsel clients on mental health or personal achievement.,50.07,16710.30,1639838121.78
Verify information or specifications.,50.03,119546.03,6510924472.99
Create electrical schematics.,50.00,13303.59,1327988771.69
Advise others on career or personal development.,49.88,42118.61,4142082135.70
Communicate with coworkers to coordinate installations or repairs.,49.84,9033.98,613740900.38
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",49.83,10483.80,855218297.54
Direct scientific activities.,49.82,1037.50,104221718.79
Distribute instructional or library materials.,49.80,84226.79,3639644725.68
Develop treatment plans for patients or clients.,49.80,25171.50,1530499640.95
Distribute resources to patrons or employees.,49.78,31140.00,1103189633.33
Arrange physical or mental health services for clients.,49.77,26137.23,1521765831.29
Recommend personnel decisions or human resources activities.,49.76,5646.99,327954958.00
Investigate illegal or suspicious activities.,49.68,64257.85,3725566679.88
"Discuss business strategies, practices, or policies with managers.",49.66,54658.22,4859975678.40
Train personnel on proper operational procedures.,49.65,17503.21,1598532682.23
Communicate safety or hazard information to others.,49.64,1983.96,145110993.08
Teach basic living or other adaptive skills to patients or caregivers.,49.60,78259.18,2866108813.44
Collect evidence for legal proceedings.,49.52,41838.96,3362493457.09
Relay information between personnel.,49.50,48201.89,2184203878.54
"Discuss performance, complaints, or violations with supervisors.",49.49,7587.90,427388210.28
Encourage students.,49.48,105884.23,6214161369.88
Confer with others to conduct or arrange operational activities.,49.44,6340.65,326655820.66
"Arrange artwork, products, or props.",49.44,34962.58,1307983649.00
Identify sustainable business practices.,49.44,2004.74,161331774.11
Examine product information to ensure compliance with regulations.,49.44,12646.65,991750409.89
Measure radiation levels.,49.44,733.43,76734593.81
Confer with others to resolve production problems or equipment malfunctions.,49.44,19841.31,1337544741.14
Examine crime scenes to obtain evidence.,49.44,2191.00,177334159.45
Conduct hearings to investigate legal issues.,49.44,4609.13,608733744.18
Measure physical characteristics of forestry or agricultural products.,49.44,5486.84,226787993.79
Verify accuracy of patient information.,49.44,40572.47,3696186772.36
Communicate green energy production information.,49.44,7113.57,948077444.24
Verify patron or staff credentials.,49.44,26995.93,832719821.85
Identify investment opportunities or strategies.,49.44,22007.01,1716746120.65
Weigh parcels to determine shipping costs.,49.44,8872.72,452392311.90
Meet with coworkers to communicate work orders or plans.,49.44,3085.43,499512839.23
Measure the level or depth of water or other liquids.,49.44,10486.25,527709651.24
Weigh finished products.,49.44,53956.32,2258502207.02
Analyze forensic evidence to solve crimes.,49.44,4338.14,292365956.22
Confer with managers to make operational decisions.,49.44,10239.80,749220196.16
Recommend legal actions.,49.44,10185.65,633944487.45
Decorate indoor or outdoor spaces.,49.44,53871.13,1926532548.00
Review plans or proposals for environmental conservation.,49.44,1954.83,169354327.77
Distribute supplies to workers.,49.44,11784.03,544327931.57
Operate digital imaging equipment.,49.44,1504.34,92084930.11
"Measure materials to mark reference points, cutting lines, or other indicators.",49.44,15102.35,734969788.39
