iwa,date,pct_tasks_affected,workers_affected,wages_affected
Collect fares or payments.,2024-12-23,11.49,320329.28,13685787228.30
Advise others on the design or use of technologies.,2024-12-23,51.54,307173.99,29456532486.04
Explain medical information to patients or family members.,2024-12-23,53.32,304885.93,26775870883.51
Maintain operational records.,2024-12-23,4.04,303384.04,23720611203.36
Gather information from physical or electronic sources.,2024-12-23,58.16,297553.60,17008026837.47
Plan work activities.,2024-12-23,51.54,295874.77,20112506750.97
Calculate financial data.,2024-12-23,53.38,289882.06,17196892410.26
Counsel others about personal matters.,2024-12-23,47.30,288389.75,15420942606.78
Train others to use equipment or products.,2024-12-23,44.39,283623.39,18190866358.79
Operate computer systems or computerized equipment.,2024-12-23,49.65,273679.53,14103598432.91
Analyze market or industry conditions.,2024-12-23,51.34,264665.88,23965532993.47
Teach life skills.,2024-12-23,44.98,258566.40,10735692891.58
"Direct organizational operations, activities, or procedures.",2024-12-23,3.86,246228.37,19832866473.62
Coordinate with others to resolve problems.,2024-12-23,49.89,246093.32,19462268375.57
Communicate with others about business strategies.,2024-12-23,50.28,245107.67,21014020293.08
Investigate criminal or legal matters.,2024-12-23,49.44,240012.74,17946668248.70
Communicate with others about specifications or project details.,2024-12-23,51.50,236507.92,22058258079.70
Monitor operation of computer or information technologies.,2024-12-23,49.44,233344.45,22940208836.10
Collect data about consumer needs or opinions.,2024-12-23,17.71,222223.13,9925763713.90
Provide support or encouragement to others.,2024-12-23,41.35,218789.91,14696234255.93
"Evaluate programs, practices, or processes.",2024-12-23,53.36,211415.56,19163958024.68
Analyze data to improve operations.,2024-12-23,9.74,209918.43,22590247515.18
Connect components or supply lines to equipment or tools.,2024-12-23,54.87,204789.33,11585312409.95
Resolve computer problems.,2024-12-23,55.70,203964.45,19135757947.77
Determine operational methods or procedures.,2024-12-23,56.67,195687.04,14289278252.33
Identify business or organizational opportunities.,2024-12-23,49.44,194187.88,15579063649.86
"Monitor external affairs, trends, or events.",2024-12-23,51.30,183671.60,14341126139.44
"Clean tools, equipment, facilities, or work areas.",2024-12-23,2.76,181811.82,7659694161.59
Gather data about operational or development activities.,2024-12-23,54.92,175860.03,16193520625.51
"Develop organizational policies, systems, or processes.",2024-12-23,17.09,175853.20,22403760532.60
Maintain facilities or equipment.,2024-12-23,54.80,173108.47,8646194859.08
Set up equipment.,2024-12-23,57.95,165508.18,7657411760.10
Test performance of computer or information systems.,2024-12-23,49.74,160878.09,15550760013.47
"Set up computer systems, networks, or other information systems.",2024-12-23,53.55,160431.32,13312118511.50
Supervise personnel activities.,2024-12-23,6.88,159477.76,9712116391.30
"Maintain electronic, computer, or other technical equipment.",2024-12-23,54.35,159249.21,13410466655.24
Program computer systems or production equipment.,2024-12-23,57.61,155135.15,12454660144.96
Operate communications equipment or systems.,2024-12-23,51.30,154392.93,8127063343.84
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2024-12-23,54.77,153813.85,16358971849.02
Provide information or assistance to the public.,2024-12-23,58.18,152781.69,10667686080.50
Verify personal information.,2024-12-23,48.75,152769.97,10704070594.41
Maintain health or medical records.,2024-12-23,6.13,151149.49,9340914512.51
"Evaluate designs, specifications, or other technical data.",2024-12-23,53.23,149633.79,15914247573.02
Maintain sales or financial records.,2024-12-23,10.55,144946.89,5821608863.58
Monitor resources or inventories.,2024-12-23,9.35,143849.33,8903162632.50
Explain financial information.,2024-12-23,56.85,143785.57,10314841902.95
Advise others on legal or regulatory matters.,2024-12-23,49.92,139587.85,17635991812.20
Notify others of emergencies or problems.,2024-12-23,7.81,137465.90,9001288660.62
Reconcile financial data.,2024-12-23,9.29,133656.29,5526548754.10
"Monitor safety or security of work areas, facilities, or properties.",2024-12-23,8.55,132263.70,7207938172.59
Schedule appointments.,2024-12-23,20.32,130674.43,6227168878.90
Sort materials or products.,2024-12-23,17.24,129543.23,5964945860.82
Stock supplies or products.,2024-12-23,4.61,127326.04,6061950648.95
"Assess student capabilities, needs, or performance.",2024-12-23,13.88,125905.70,7751034308.79
Advise others on healthcare or wellness issues.,2024-12-23,47.82,122952.81,12294892083.51
Consult legal materials or public records.,2024-12-23,47.29,117962.30,11835538707.99
Write material for artistic or commercial purposes.,2024-12-23,56.76,117885.97,8539995451.63
Develop recipes or menus.,2024-12-23,56.84,117783.16,4818917433.48
Advise patients or clients on medical issues.,2024-12-23,45.56,116906.25,13231635967.19
Develop professional relationships or networks.,2024-12-23,46.39,110172.14,10070124665.35
"Document technical designs, procedures, or activities.",2024-12-23,51.31,106102.17,10630775724.30
Process shipments or mail.,2024-12-23,11.31,103663.09,5969303820.92
Develop marketing or promotional materials.,2024-12-23,53.42,103454.88,8021464479.99
Develop technical specifications for products or operations.,2024-12-23,54.92,102195.32,10215814528.66
Analyze scientific or applied data using mathematical principles.,2024-12-23,51.27,100981.08,12153899993.20
"Research laws, precedents, or other legal data.",2024-12-23,49.02,97424.43,13461246850.39
Analyze biological or chemical substances or related data.,2024-12-23,49.78,97094.08,8167192396.02
Develop business or marketing plans.,2024-12-23,9.97,95453.36,11144118405.40
Advise others on financial matters.,2024-12-23,50.22,94555.59,7817732725.08
Diagnose system or equipment problems.,2024-12-23,54.51,94234.11,5773881210.65
"Replenish inventories of materials, equipment, or products.",2024-12-23,12.53,94056.76,6508213969.99
Sell products or services.,2024-12-23,8.59,91640.17,4391914811.54
"Assess living, work, or social needs or status of individuals or communities.",2024-12-23,44.67,90492.49,6420088092.19
Develop organizational or program goals or objectives.,2024-12-23,8.35,90287.25,9304000669.17
"Prepare financial documents, reports, or budgets.",2024-12-23,5.23,89199.99,7780350640.26
Research technology designs or applications.,2024-12-23,56.61,89127.68,9216418249.58
Position materials or components for assembly.,2024-12-23,7.80,88140.10,4899262096.03
Manage human resources activities.,2024-12-23,9.55,83298.22,7285215171.24
Edit written materials or documents.,2024-12-23,57.66,81301.03,7004819609.67
Confer with clients to determine needs or order specifications.,2024-12-23,43.07,77269.49,4947107263.86
"Inspect commercial, industrial, or production systems or equipment.",2024-12-23,6.47,77034.06,4504355576.24
"Develop educational programs, plans, or procedures.",2024-12-23,8.08,74692.84,5089691654.05
Inspect completed work or finished products.,2024-12-23,7.28,73713.20,4131967938.78
Analyze performance of systems or equipment.,2024-12-23,53.31,73362.02,5991344168.09
Repair tools or equipment.,2024-12-23,11.34,73118.62,4137127858.53
Package objects.,2024-12-23,3.77,72906.55,2292658111.58
Plan events or programs.,2024-12-23,53.38,72517.83,6118200844.23
"Move materials, equipment, or supplies.",2024-12-23,4.29,71295.43,2432601435.32
Perform recruiting or hiring activities.,2024-12-23,5.78,70696.58,8066174047.17
Care for plants or animals.,2024-12-23,54.50,66628.56,2594237588.52
Direct construction or extraction activities.,2024-12-23,6.34,66605.79,5662530504.98
Monitor operations to ensure compliance with regulations or standards.,2024-12-23,8.38,66004.38,5645771261.75
"Research organizational behavior, processes, or performance.",2024-12-23,51.30,65840.01,5242227975.01
Install commercial or production equipment.,2024-12-23,12.70,65584.76,4554134351.20
Mark materials or objects for identification.,2024-12-23,5.44,64965.34,2844036392.20
Monitor financial data or activities.,2024-12-23,3.58,64932.18,3403531828.73
Confer with healthcare or other professionals about patient care.,2024-12-23,6.92,64816.89,5049911984.33
Repair electrical or electronic equipment.,2024-12-23,15.09,62172.14,4136989026.74
Maintain tools or equipment.,2024-12-23,5.38,57532.54,3363220528.47
Prepare schedules for services or facilities.,2024-12-23,14.89,56773.11,2391835499.54
Direct scientific or technical activities.,2024-12-23,6.55,49849.45,5382515417.65
Research biological or ecological phenomena.,2024-12-23,53.38,49289.41,4433962010.15
"Examine financial activities, operations, or systems.",2024-12-23,10.72,48600.11,4402727885.46
Collect information about patients or clients.,2024-12-23,5.24,46116.12,2741093304.42
Prepare legal or regulatory documents.,2024-12-23,11.02,46024.66,3091163851.60
Issue documentation.,2024-12-23,53.74,44231.03,2105371740.68
"Develop models of systems, processes, or products.",2024-12-23,51.05,43880.81,5077474593.54
Analyze business or financial risks.,2024-12-23,21.84,43793.27,3908560593.15
Assess characteristics or impacts of regulations or policies.,2024-12-23,51.17,43608.18,3919934454.84
"Coordinate activities with clients, agencies, or organizations.",2024-12-23,14.44,43085.45,5343834991.03
Monitor health conditions of humans or animals.,2024-12-23,4.63,42941.08,2683462089.57
Prepare reports of operational or procedural activities.,2024-12-23,4.02,41950.63,3209961626.20
Monitor equipment operation.,2024-12-23,5.05,41433.24,2693045818.85
Monitor operations to ensure adequate performance.,2024-12-23,3.40,41405.14,4505674270.26
Intervene in crisis situations or emergencies.,2024-12-23,10.23,40595.73,1737462309.60
Prepare proposals or grant applications.,2024-12-23,17.13,40535.34,2965484386.11
Schedule operational activities.,2024-12-23,7.98,39238.16,2409068248.55
Manage budgets or finances.,2024-12-23,4.61,37892.33,3187113402.70
"Assist scientists, scholars, or technical specialists with projects or research.",2024-12-23,47.26,36309.06,2102267430.69
Research healthcare issues.,2024-12-23,54.92,35411.28,3861284081.14
Order medical tests or procedures.,2024-12-23,29.98,35026.77,5486464385.40
Design electrical or electronic systems or equipment.,2024-12-23,16.18,33392.33,3261874314.63
Operate industrial processing or production equipment.,2024-12-23,5.39,32496.00,1814578206.90
Evaluate patient or client condition or treatment options.,2024-12-23,5.86,32492.03,1680427055.64
"Evaluate condition of financial assets, property, or other resources.",2024-12-23,11.20,31875.16,2752001476.10
Coach others.,2024-12-23,42.58,30571.60,1731581017.62
Apply decorative finishes.,2024-12-23,47.27,30357.78,1692575424.22
"Investigate individuals' background, behavior, or activities.",2024-12-23,52.95,30296.87,1564212599.67
Position workpieces or materials on equipment.,2024-12-23,7.66,29695.14,1390362483.66
Cut materials.,2024-12-23,7.48,29240.26,1486847626.16
Diagnose health conditions or disorders.,2024-12-23,5.65,29022.99,2818593753.30
Evaluate personnel capabilities or performance.,2024-12-23,11.81,28491.75,1796136520.19
Operate medical equipment.,2024-12-23,6.27,28336.07,2787885800.01
Create artistic designs or performances.,2024-12-23,47.16,27950.53,1639640301.61
Present information in legal proceedings.,2024-12-23,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2024-12-23,54.92,27493.29,969936490.23
Study details of artistic productions.,2024-12-23,53.38,26452.38,1896279651.24
Perform human resources activities.,2024-12-23,15.10,25834.36,1036443834.17
"Interpret language, cultural, or religious information for others.",2024-12-23,53.38,25796.55,1528412778.49
Mediate disputes.,2024-12-23,12.24,25118.49,1456975664.32
Obtain information about goods or services.,2024-12-23,64.44,24952.89,1880679946.38
Negotiate contracts or agreements.,2024-12-23,6.50,24341.69,1716170859.95
"Develop news, entertainment, or artistic content.",2024-12-23,53.41,23760.62,1685278368.11
Assist healthcare practitioners during medical procedures.,2024-12-23,5.94,23681.98,1835660996.42
Design structures or facilities.,2024-12-23,14.19,23217.42,2309202951.04
Inspect facilities or equipment.,2024-12-23,5.02,22841.14,2145792874.92
Advise others on environmental sustainability or green practices.,2024-12-23,45.23,22513.39,2370847274.96
Escort others.,2024-12-23,18.01,22483.17,790164323.14
Obtain formal documentation or authorization.,2024-12-23,54.92,22250.88,1316509155.65
Investigate organizational or operational problems.,2024-12-23,53.38,22013.60,1729226867.40
Repair vehicle components.,2024-12-23,3.55,21987.43,1169915163.67
Process animal carcasses.,2024-12-23,24.51,21493.01,839949824.79
"Load products, materials, or equipment for transportation or further processing.",2024-12-23,5.52,20769.10,890347580.35
Advocate for individual or community needs.,2024-12-23,44.98,20627.64,1411715295.95
Investigate incidents or accidents.,2024-12-23,51.13,20437.88,1821638797.96
Administer basic health care or medical treatments.,2024-12-23,2.20,20161.70,1663753732.20
Estimate project development or operational costs.,2024-12-23,15.32,19993.01,1263545435.83
Assemble equipment or components.,2024-12-23,7.82,19744.21,1194520254.04
Develop patient or client care or treatment plans.,2024-12-23,6.37,19183.83,2066960177.66
Develop scientific or mathematical theories or models.,2024-12-23,49.50,18821.57,1962408999.14
"Join parts using soldering, welding, or brazing techniques.",2024-12-23,5.59,18443.13,1152044460.93
Install energy or heating equipment.,2024-12-23,7.61,18417.30,1041193000.16
Operate transportation equipment or vehicles.,2024-12-23,1.26,18149.62,1418915318.96
"Perform athletic activities for fitness, competition, or artistic purposes.",2024-12-23,47.47,17501.38,1110720366.92
Design industrial systems or equipment.,2024-12-23,7.77,17430.99,1885681395.03
Develop sustainable organizational or business policies or practices.,2024-12-23,14.52,17381.26,2216639522.56
Evaluate project feasibility.,2024-12-23,20.56,17248.80,2885342516.95
Examine people or animals to assess health conditions or physical characteristics.,2024-12-23,1.02,17169.29,1729390838.99
Assist individuals with paperwork.,2024-12-23,53.38,16625.72,794690308.88
Inspect vehicles.,2024-12-23,4.52,16615.43,948369607.78
Implement security measures for computer or information systems.,2024-12-23,23.06,16192.32,1660368492.15
Resolve personnel or operational problems.,2024-12-23,2.85,16162.11,2598376045.54
Test characteristics of materials or products.,2024-12-23,3.06,16001.21,818794689.62
Design materials or devices.,2024-12-23,49.44,15714.49,1378920860.61
Design databases.,2024-12-23,14.08,15328.07,1737406983.00
Prepare medical equipment or work areas for use.,2024-12-23,10.40,14965.85,1301092064.25
Perform court-related or other legal administrative activities.,2024-12-23,11.97,14877.13,907849879.36
Perform general construction or extraction activities.,2024-12-23,2.79,14658.62,699657562.50
"Coordinate group, community, or public activities.",2024-12-23,3.78,14468.51,551273142.70
"Treat injuries, illnesses, or diseases.",2024-12-23,1.91,14218.30,1641064556.02
Develop public or community health programs.,2024-12-23,7.54,14061.82,1080193883.22
Assist individuals with special needs.,2024-12-23,1.07,14035.55,812678020.10
Operate audiovisual or related equipment.,2024-12-23,9.92,13956.49,629853056.31
Research historical or social issues.,2024-12-23,53.40,13626.09,1297381180.80
Advise others on workplace health or safety issues.,2024-12-23,41.73,13243.45,1138954940.95
Communicate environmental or sustainability information.,2024-12-23,50.52,13228.90,1425897448.18
Apply protective solutions or coatings.,2024-12-23,2.68,13101.41,537498418.49
Authorize business activities or transactions.,2024-12-23,5.22,12974.66,1395856918.14
Fabricate devices or components.,2024-12-23,5.83,12974.62,633190880.29
Create decorative objects or parts of objects.,2024-12-23,44.99,12841.26,555797521.19
Monitor environmental conditions.,2024-12-23,9.76,12120.81,413414004.85
Operate agricultural or forestry equipment.,2024-12-23,1.73,12072.18,481628361.77
Maintain vehicles in working condition.,2024-12-23,2.77,12015.80,601624649.28
Assign work to others.,2024-12-23,3.12,11025.45,385086645.10
Prepare health or medical documents.,2024-12-23,5.47,10207.34,515590046.44
Direct vehicle traffic.,2024-12-23,4.25,8438.11,318334889.29
Prepare industrial materials for processing or use.,2024-12-23,3.65,7926.03,428710860.88
Teach safety procedures or standards to others.,2024-12-23,41.33,7461.87,353536528.97
Operate laboratory or field equipment.,2024-12-23,10.20,7272.03,458419090.42
"Clean workpieces, finished products, or other objects.",2024-12-23,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2024-12-23,53.38,6324.09,535954252.32
Develop research plans or methodologies.,2024-12-23,11.26,6049.66,584056338.14
Investigate the environmental impact of industrial or development activities.,2024-12-23,10.49,5937.03,402423472.83
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2024-12-23,1.40,5735.80,867023963.08
Maintain medical equipment or instruments.,2024-12-23,1.17,5565.29,503895293.49
Gather information for news stories.,2024-12-23,53.38,5158.31,287772564.65
Present arts or entertainment performances.,2024-12-23,8.09,5119.09,418807008.88
Operate pumping systems or equipment.,2024-12-23,6.63,4718.62,215171650.25
Apply materials to fill gaps or imperfections.,2024-12-23,7.34,3832.38,199026832.04
Follow standard healthcare safety procedures to protect patient and staff members.,2024-12-23,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,2024-12-23,7.06,3678.85,156476556.06
Collaborate in the development of educational programs.,2024-12-23,1.53,3596.77,214929491.99
Coordinate artistic or entertainment activities.,2024-12-23,4.76,3536.18,274284296.08
Collect environmental or biological samples.,2024-12-23,3.64,3436.39,228497510.48
Fit assistive devices to patients or clients.,2024-12-23,14.15,3220.79,149960142.31
Prepare specimens or materials for testing.,2024-12-23,3.72,3211.06,198732196.21
Position tools or equipment.,2024-12-23,6.81,3184.97,187063133.21
Develop financial or business plans.,2024-12-23,6.07,3178.42,160701109.25
Assess compliance with environmental standards or regulations.,2024-12-23,18.12,3100.98,215645678.13
Fabricate medical devices.,2024-12-23,4.82,2992.60,445741880.59
Monitor traffic conditions.,2024-12-23,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2024-12-23,2.63,2821.13,177731086.73
Operate cutting or grinding equipment.,2024-12-23,3.05,2701.74,114086794.15
Administer therapeutic treatments.,2024-12-23,1.00,2689.98,212165057.56
Drill holes in earth or materials.,2024-12-23,3.73,2649.09,105362240.79
Develop plans for managing or preserving natural resources.,2024-12-23,3.41,2540.16,323676413.75
"Develop safety standards, policies, or procedures.",2024-12-23,1.66,2205.82,215355770.53
Adjust medical equipment to ensure adequate performance.,2024-12-23,2.96,2162.44,350141026.82
Signal others to coordinate work activities.,2024-12-23,1.79,2126.13,92812756.18
Alter audio or video recordings.,2024-12-23,9.30,2010.86,142731056.93
Analyze environmental or geospatial data.,2024-12-23,4.16,1962.94,166208964.07
Administer diagnostic tests to assess patient health.,2024-12-23,1.07,1951.94,192012006.79
Evaluate production inputs or outputs.,2024-12-23,0.90,1769.94,140622060.73
Build structures.,2024-12-23,0.70,1720.35,96479215.31
Collect samples of products or materials.,2024-12-23,3.92,1670.40,90741806.70
Coordinate regulatory compliance activities.,2024-12-23,2.19,1664.03,185149116.40
Develop contingency or emergency response plans.,2024-12-23,7.08,1593.48,122440853.27
Record images with photographic or audiovisual equipment.,2024-12-23,5.87,1554.25,93130258.12
Assemble products or work aids.,2024-12-23,0.73,1421.67,62712845.29
Operate construction or excavation equipment.,2024-12-23,0.91,1388.23,68217586.56
Remove workpieces from production equipment.,2024-12-23,1.66,1323.79,60873056.34
Assess characteristics of land or property.,2024-12-23,2.56,1306.75,69056809.42
Direct security or safety activities or operations.,2024-12-23,7.43,1280.88,93591802.39
Operate energy production or distribution equipment.,2024-12-23,1.13,1116.81,83972847.33
Disassemble equipment.,2024-12-23,0.88,1102.42,72941935.38
Perform agricultural activities.,2024-12-23,2.70,964.15,34825202.46
Prescribe medical treatments or devices.,2024-12-23,0.53,897.79,231557837.98
Process forensic or legal evidence.,2024-12-23,10.02,809.20,75725032.50
Repair workpieces or products.,2024-12-23,1.74,665.38,33061284.43
Record information about legal matters.,2024-12-23,1.03,574.82,58752415.39
Cut trees or other vegetation.,2024-12-23,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2024-12-23,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2024-12-23,1.76,305.73,18104657.10
Evaluate scholarly work.,2024-12-23,11.26,286.14,17674949.57
Clean medical equipment or facilities.,2024-12-23,0.77,200.47,20446355.79
Make legal decisions.,2024-12-23,3.20,191.85,12990140.87
Take physical measurements of patients or clients.,2024-12-23,14.50,160.86,5535276.50
Dispose of waste or debris.,2024-12-23,0.14,157.14,7721665.23
Serve on organizational committees.,2024-12-23,2.95,128.00,10064950.08
Direct legal activities.,2024-12-23,1.78,89.11,7335766.20
Tend watercraft.,2024-12-23,0.00,0.00,0.00
Evaluate green technologies or processes.,2024-12-23,0.00,0.00,0.00
Groom or style hair.,2024-12-23,0.00,0.00,0.00
Hunt animals.,2024-12-23,0.00,0.00,0.00
Manage control systems or activities.,2024-12-23,0.00,0.00,0.00
Supervise activities in correctional facilities.,2024-12-23,0.00,0.00,0.00
Test sites or materials for environmental hazards.,2024-12-23,0.00,0.00,0.00
Train animals.,2024-12-23,0.00,0.00,0.00
Draft legislation or regulations.,2024-12-23,0.00,0.00,0.00
Record information about environmental conditions.,2024-12-23,0.00,0.00,0.00
Engrave objects.,2024-12-23,0.00,0.00,0.00
Develop systems or practices to mitigate or resolve environmental problems.,2024-12-23,0.00,0.00,0.00
Embalm corpses.,2024-12-23,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2024-12-23,0.00,0.00,0.00
Research agricultural processes or practices.,2024-12-23,0.00,0.00,0.00
Climb equipment or structures.,2024-12-23,0.00,0.00,0.00
Apply hygienic or cosmetic agents to skin or hair.,2024-12-23,0.00,0.00,0.00
Sew garments or materials.,2024-12-23,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2024-12-23,0.00,0.00,0.00
"Set up classrooms, facilities, educational materials, or equipment.",2024-12-23,0.00,0.00,0.00
Shape materials to create products.,2024-12-23,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2024-12-23,0.00,0.00,0.00
Administer emergency medical treatment.,2024-12-23,0.00,0.00,0.00
Transport patients or clients.,2024-12-23,0.00,0.00,0.00
"Provide information to guests, clients, or customers.",2025-03-06,59.38,2646252.20,133828841348.26
Execute financial transactions.,2025-03-06,55.24,2341864.65,93799935750.05
Prepare foods or beverages.,2025-03-06,56.07,1970568.15,67002727469.64
Respond to customer problems or inquiries.,2025-03-06,60.27,1635894.33,83608650026.57
Communicate with others about operational plans or activities.,2025-03-06,51.96,1596770.91,95640344246.33
Determine values or prices of goods or services.,2025-03-06,56.82,1314058.16,61995452836.32
"Provide general assistance to others, such as customers, patrons, or motorists.",2025-03-06,54.31,1241899.74,48652838411.81
Read documents or materials to inform work processes.,2025-03-06,53.72,1109516.71,61628698734.66
Purchase goods or services.,2025-03-06,53.99,950452.78,55290574101.46
Explain technical details of products or services.,2025-03-06,62.07,948278.92,44662345021.42
"Prepare documentation for contracts, applications, or permits.",2025-03-06,61.29,941599.23,47384667927.58
Maintain current knowledge in area of expertise.,2025-03-06,55.27,810095.23,64369213912.64
Monitor individual behavior or performance.,2025-03-06,54.46,791056.69,46476331810.93
Train others on operational or work procedures.,2025-03-06,45.75,789535.22,54105470802.13
Maintain operational records.,2025-03-06,9.88,787493.61,48969440016.44
Perform administrative or clerical activities.,2025-03-06,58.48,745974.99,41508284567.62
"Measure physical characteristics of materials, products, or equipment.",2025-03-06,50.21,730870.25,33127125622.50
Evaluate the quality or accuracy of data.,2025-03-06,48.76,721996.64,41449903390.76
Advise others on products or services.,2025-03-06,55.83,671533.25,46438618008.67
"Direct organizational operations, activities, or procedures.",2025-03-06,12.70,655551.78,57732500004.83
Prepare informational or instructional materials.,2025-03-06,63.83,631764.45,42441290903.66
Train others on health or medical topics.,2025-03-06,42.79,612562.88,32420951999.39
Advise others on business or operational matters.,2025-03-06,53.14,583032.24,52716470688.16
Teach academic or vocational subjects.,2025-03-06,49.58,575432.29,36622670543.31
"Explain regulations, policies, or procedures.",2025-03-06,59.34,560527.06,38898359534.32
Implement procedures or processes.,2025-03-06,64.79,549207.04,59813391015.93
Design computer or information systems or applications.,2025-03-06,60.85,541951.69,59488039745.12
"Promote products, services, or programs.",2025-03-06,56.66,532926.32,30518698737.44
"Develop organizational policies, systems, or processes.",2025-03-06,27.57,524656.97,57866695637.34
Adjust equipment to ensure adequate performance.,2025-03-06,54.71,512699.61,28045022331.60
Process digital or online data.,2025-03-06,58.13,508640.38,33453408434.76
Analyze business or financial data.,2025-03-06,54.71,488681.02,44196678586.68
Develop operational or technical procedures or standards.,2025-03-06,57.22,486849.04,49326693467.56
Arrange displays or decorations.,2025-03-06,53.09,474677.77,20096558263.25
Create visual designs or displays.,2025-03-06,55.40,469563.92,35171511510.60
Prepare mixtures or solutions.,2025-03-06,54.22,460452.97,20310395737.23
Maintain safety or security.,2025-03-06,45.04,458975.49,21384275794.51
Provide food or beverage services.,2025-03-06,17.04,456856.85,14726232216.20
"Compile records, documentation, or other data.",2025-03-06,61.87,448072.43,28379431176.50
Operate office equipment.,2025-03-06,52.22,434437.05,19832958249.29
Examine materials or documentation for accuracy or compliance.,2025-03-06,53.37,432124.31,25443486396.47
Advise others on educational or vocational matters.,2025-03-06,58.32,419086.71,29648855145.63
Analyze health or medical data.,2025-03-06,53.09,417524.78,44542541916.96
"Distribute materials, supplies, or resources.",2025-03-06,51.51,414935.68,18776408698.71
"Develop educational programs, plans, or procedures.",2025-03-06,27.00,410557.52,25763460902.13
"Assess student capabilities, needs, or performance.",2025-03-06,53.52,403268.14,27451247992.97
Test performance of equipment or systems.,2025-03-06,51.77,399665.97,25367197725.31
Collect fares or payments.,2025-03-06,13.50,398160.63,17168041979.82
Maintain health or medical records.,2025-03-06,15.40,395423.63,31229039013.00
Operate computer systems or computerized equipment.,2025-03-06,59.15,389582.20,20206433916.88
Analyze data to improve operations.,2025-03-06,25.48,385310.63,40132000474.26
Calculate financial data.,2025-03-06,60.17,378815.76,22320317829.07
Present research or technical information.,2025-03-06,59.96,376301.80,29685664254.50
Assist others to access additional services or resources.,2025-03-06,48.27,364076.17,21727853023.60
Schedule appointments.,2025-03-06,28.07,352752.97,15752265746.76
Select materials or equipment for operations or projects.,2025-03-06,53.93,346104.22,20230258576.66
Interview people to obtain information.,2025-03-06,41.99,344112.58,23872416204.56
Determine resource needs of projects or operations.,2025-03-06,50.92,342409.54,27734270836.42
Inspect characteristics or conditions of materials or products.,2025-03-06,51.50,326078.45,16905006738.75
Assist individuals with special needs.,2025-03-06,3.98,321735.26,11568667496.15
Analyze market or industry conditions.,2025-03-06,57.34,319918.52,28890894869.67
Advise others on the design or use of technologies.,2025-03-06,51.95,309964.31,29728549471.98
Explain medical information to patients or family members.,2025-03-06,53.57,304944.31,26783389953.82
Plan work activities.,2025-03-06,52.33,303982.44,20723284366.27
Gather information from physical or electronic sources.,2025-03-06,60.50,301807.07,17258084847.32
Counsel others about personal matters.,2025-03-06,48.81,291757.36,15642690680.94
Train others to use equipment or products.,2025-03-06,45.36,290721.58,18885108038.42
Prepare health or medical documents.,2025-03-06,37.20,274427.13,12041279780.91
Perform recruiting or hiring activities.,2025-03-06,24.55,272558.46,22481228474.29
Teach life skills.,2025-03-06,45.83,259634.95,10806337505.68
Communicate with others about business strategies.,2025-03-06,52.03,255377.26,21815258216.62
Collect data about consumer needs or opinions.,2025-03-06,25.33,252612.64,12066792328.72
Coordinate with others to resolve problems.,2025-03-06,50.74,248874.29,19633817962.76
Investigate criminal or legal matters.,2025-03-06,50.93,246271.89,18501877801.70
Communicate with others about specifications or project details.,2025-03-06,53.32,242890.60,22630312083.92
"Evaluate programs, practices, or processes.",2025-03-06,60.87,241420.92,21847225139.64
Provide support or encouragement to others.,2025-03-06,47.26,239096.11,16014644152.13
Monitor operation of computer or information technologies.,2025-03-06,50.19,237462.36,23367606293.99
Develop business or marketing plans.,2025-03-06,32.10,229317.93,26424059290.01
Identify business or organizational opportunities.,2025-03-06,53.43,222722.39,18252346463.83
Reconcile financial data.,2025-03-06,11.68,212709.27,9049582774.63
Connect components or supply lines to equipment or tools.,2025-03-06,55.16,206861.16,11683641330.86
Resolve computer problems.,2025-03-06,57.74,206828.32,19423365073.25
Determine operational methods or procedures.,2025-03-06,57.39,202411.82,14720847020.11
Prepare reports of operational or procedural activities.,2025-03-06,17.87,201281.54,16194472041.11
Gather data about operational or development activities.,2025-03-06,55.58,196948.22,18249029658.52
"Set up classrooms, facilities, educational materials, or equipment.",2025-03-06,30.14,191839.42,11859356260.62
Maintain sales or financial records.,2025-03-06,15.16,191357.11,8203008529.54
Supervise personnel activities.,2025-03-06,7.82,190950.41,12684750633.68
Stock supplies or products.,2025-03-06,8.57,186819.92,9600945771.97
"Monitor external affairs, trends, or events.",2025-03-06,51.48,183754.15,14347762821.43
"Clean tools, equipment, facilities, or work areas.",2025-03-06,2.81,181974.10,7667544251.71
Maintain facilities or equipment.,2025-03-06,54.80,173108.47,8646194859.08
Test performance of computer or information systems.,2025-03-06,53.06,171488.54,16620863430.49
Program computer systems or production equipment.,2025-03-06,61.88,170578.49,13787218783.96
"Monitor safety or security of work areas, facilities, or properties.",2025-03-06,10.60,170438.79,9135843477.39
"Evaluate the characteristics, usefulness, or performance of products or technologies.",2025-03-06,56.68,168141.26,18274276533.15
